================================================================================
TOP 50 STOCKS - Generated: 2026-04-06 23:24:06
Analysis Period: 2023-06-01 to 2026-04-05
Total Stocks Analyzed: 131
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d  Hist   Prior  BScore       Price   Predicted    Return
--------------------------------------------------------------------------------------------------------------------
1     PCGpD     STRONG_BUY        36.9   LOW (48%)   0.073    32    0.04    13.7       18.89       19.96    +5.69%
2     PCGPD     STRONG_BUY        36.9   LOW (48%)   0.072    15    0.02    13.0       18.89       19.96    +5.69%
3     EQX       NEUTRAL            1.2   LOW (19%)   1.000   126    0.16     4.9       14.61       11.84   -18.95%
4     GRAF      STRONG_BUY        18.1   LOW (19%)   1.000    45    0.06     4.1       10.77       10.99    +2.08%
5     ASM       NEUTRAL            1.1   LOW (24%)   1.000    95    0.12     3.7        6.77        4.85   -28.32%
6     BKTI      NEUTRAL            1.5   LOW (24%)   1.000    92    0.12     3.7       78.37       56.73   -27.61%
7     ATEK      NEUTRAL            6.9   LOW (36%)   0.116    50    0.06     3.6        9.02        9.61    +6.57%
8     IMO       SELL              -9.9   LOW (19%)   1.000   130    0.16     3.6      129.39      105.85   -18.19%
9     IDR       NEUTRAL            1.4   LOW (19%)   1.000    73    0.09     2.9       35.02       27.78   -20.68%
10    CNDA      BUY                9.0   LOW (27%)   0.104    25    0.03     2.6       11.42       11.29    -1.16%
11    BHM       NEUTRAL            1.0   LOW (24%)   1.000    62    0.08     2.5       11.26       12.27    +8.95%
12    NRXS      NEUTRAL            1.3   LOW (19%)   1.000    61    0.08     2.5        7.41        6.18   -16.63%
13    SCCB      BUY                9.9   LOW (23%)   0.120    23    0.03     2.4       24.98       25.60    +2.47%
14    DMYY      BUY                8.6   LOW (19%)   1.000    32    0.04     2.4       13.45       12.77    -5.05%
15    NAS       NEUTRAL            4.0   LOW (29%)   1.000    41    0.05     2.3      335.00      347.58    +3.75%
16    GGN       NEUTRAL            1.1   LOW (24%)   1.000    57    0.07     2.3        5.41        4.65   -14.07%
17    SVM       NEUTRAL            1.1   LOW (24%)   1.000    56    0.07     2.3       11.10        8.62   -22.31%
18    IE        NEUTRAL            1.1   LOW (24%)   1.000    56    0.07     2.3       12.23       11.22    -8.28%
19    LEGT      NEUTRAL            2.2   LOW (24%)   1.000    50    0.06     2.3       11.00       10.76    -2.17%
20    SLSR      NEUTRAL            1.1   LOW (24%)   1.000    54    0.07     2.2        8.63        6.88   -20.25%
21    OBE       NEUTRAL            1.3   LOW (19%)   1.000    54    0.07     2.2        9.39        8.27   -11.91%
22    RIFR      BUY                6.9   LOW (19%)   1.000    31    0.04     2.1       28.45       27.67    -2.75%
23    SEB       NEUTRAL            1.3   LOW (19%)   1.000    50    0.06     2.0     5807.52     5544.81    -4.52%
24    NG        SELL              -9.9   LOW (24%)   1.000    97    0.12     2.0        9.07        7.06   -22.20%
25    ORLA      SELL             -11.2   LOW (24%)   1.000   101    0.13     1.9       17.47       14.74   -15.64%
26    STRW      NEUTRAL            1.5   LOW (24%)   1.000    43    0.05     1.9       12.65       11.77    -6.99%
27    ACU       SELL             -10.0   LOW (24%)   1.000    91    0.11     1.8       44.44       41.55    -6.49%
28    UMAC      SELL              -9.8   LOW (19%)   1.000    81    0.10     1.7       13.71       12.69    -7.41%
29    CNL       NEUTRAL            1.3   LOW (19%)   1.000    41    0.05     1.7       18.50       15.60   -15.66%
30    AULTpD    NEUTRAL            0.5   LOW (29%)   1.000    42    0.05     1.7       20.70       17.43   -15.82%
31    RLGT      NEUTRAL            1.1   LOW (24%)   1.000    35    0.04     1.5        7.35        6.93    -5.68%
32    RIFr      BUY                6.9   LOW (19%)   1.000    15    0.02     1.5       28.45       27.67    -2.75%
33    GTE       NEUTRAL            1.3   LOW (19%)   1.000    33    0.04     1.4        8.67        7.88    -9.08%
34    CET       SELL             -10.1   LOW (29%)   1.000    91    0.11     1.4       50.10       42.62   -14.93%
35    EVI       BUY                6.7   LOW (24%)   1.000     6    0.01     1.3       21.42       21.59    +0.77%
36    ELA       NEUTRAL            1.1   LOW (24%)   1.000    30    0.04     1.3       16.89       12.85   -23.93%
37    SCCF      NEUTRAL            1.1   LOW (24%)   1.000    29    0.04     1.3       23.70       22.11    -6.70%
38    BHB       SELL             -11.1   LOW (24%)   1.000    82    0.10     1.2       33.25       31.65    -4.82%
39    TRT       NEUTRAL            1.1   LOW (24%)   1.000    27    0.03     1.2        6.02        5.03   -16.51%
40    TGB       NEUTRAL            1.1   LOW (24%)   1.000    26    0.03     1.2        6.77        5.23   -22.70%
41    ISOU      NEUTRAL            0.8   LOW (29%)   1.000    26    0.03     1.1       10.72       10.86    +1.27%
42    MWH       BUY                5.0   LOW (18%)   1.000    12    0.02     1.1       28.90       29.29    +1.36%
43    WYY       NEUTRAL            1.1   LOW (24%)   1.000    24    0.03     1.1        5.03        4.51   -10.27%
44    OZ        NEUTRAL            1.2   LOW (19%)   1.000    22    0.03     1.0       56.62       59.20    +4.55%
45    NBH       NEUTRAL            1.1   LOW (19%)   1.000    17    0.02     0.8       10.00       10.05    +0.53%
46    NHC       NEUTRAL            2.4   LOW (19%)   1.000    12    0.02     0.8      164.13      140.61   -14.33%
47    UUU       NEUTRAL            1.0   LOW (24%)   1.000    16    0.02     0.8        5.64        5.46    -3.18%
48    BDL       SELL             -15.7   LOW (29%)   1.000   104    0.13     0.8       32.25       28.57   -11.40%
49    CMCL      NEUTRAL            1.0   LOW (24%)   1.000    13    0.02     0.7       23.93       19.31   -19.30%
50    ANV       NEUTRAL           -5.4   LOW (25%)   1.000    41    0.05     0.6       24.55       24.40    -0.60%

====================================================================================================================
Summary: 3 STRONG_BUY, 7 BUY, 36 NEUTRAL, 53 SELL, 32 STRONG_SELL | Avg IC: 0.966 (131 IC-enabled)
Bayesian Ranking: Enabled (alpha=799 historical runs analyzed)
====================================================================================================================
