================================================================================
TOP 50 STOCKS - Generated: 2026-04-13 23:24:22
Analysis Period: 2023-06-01 to 2026-04-12
Total Stocks Analyzed: 133
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d  Hist   Prior  BScore       Price   Predicted    Return
--------------------------------------------------------------------------------------------------------------------
1     EQX       NEUTRAL            1.1   LOW (24%)   1.000   136    0.16     4.9       15.07       12.15   -19.40%
2     AAP       NEUTRAL            1.1   LOW (19%)   1.000   136    0.16     4.9       56.36       53.74    -4.65%
3     AULTpD    BUY               15.3   LOW (29%)   1.000    50    0.06     4.8       20.02       17.65   -11.82%
4     BMNR      NEUTRAL            0.9   LOW (24%)   1.000   126    0.15     4.6       21.51       21.45    -0.27%
5     NAS       STRONG_BUY        15.0   LOW (24%)   1.000    50    0.06     4.3      349.00      364.22    +4.36%
6     ASM       NEUTRAL            1.0   LOW (24%)   1.000   105    0.12     3.8        6.91        4.95   -28.42%
7     ATEK      NEUTRAL            6.9   LOW (36%)   0.116    60    0.07     3.8        9.02        9.61    +6.56%
8     CET       NEUTRAL            1.1   LOW (24%)   1.000   100    0.12     3.7       51.90       45.04   -13.21%
9     AAp       NEUTRAL            1.0   LOW (24%)   1.000    92    0.11     3.4       56.36       53.73    -4.67%
10    IMO       SELL             -10.0   LOW (24%)   1.000   140    0.16     3.2      130.19      106.34   -18.32%
11    SCCE      STRONG_BUY        15.3   LOW (24%)   1.000    18    0.02     3.2       24.00       23.05    -3.95%
12    AEF       NEUTRAL            1.1   LOW (24%)   1.000    86    0.10     3.2        8.26        7.06   -14.48%
13    BHM       NEUTRAL            2.0   LOW (24%)   1.000    69    0.08     2.7       11.09       12.19    +9.88%
14    CNDA      BUY                9.0   LOW (27%)   0.104    30    0.03     2.7       11.42       11.29    -1.17%
15    SCCB      BUY                9.8   LOW (23%)   0.121    28    0.03     2.6       24.98       25.59    +2.45%
16    CEV       NEUTRAL            1.2   LOW (19%)   1.000    66    0.08     2.5       10.32       10.00    -3.14%
17    DMYY      BUY                8.6   LOW (19%)   1.000    37    0.04     2.4       13.45       12.77    -5.07%
18    ANV       BUY                4.9   LOW (19%)   1.000    49    0.06     2.4       25.05       25.38    +1.30%
19    GGN       NEUTRAL            1.0   LOW (24%)   1.000    62    0.07     2.3        5.50        4.71   -14.39%
20    BCV       NEUTRAL            1.1   LOW (19%)   1.000    62    0.07     2.3       23.37       20.25   -13.37%
21    IE        NEUTRAL            1.3   LOW (19%)   1.000    60    0.07     2.3       13.50       12.07   -10.58%
22    OBE       NEUTRAL            1.2   LOW (19%)   1.000    58    0.07     2.2        9.62        8.42   -12.43%
23    LEGT      NEUTRAL            2.2   LOW (19%)   1.000    54    0.06     2.2       11.01       10.77    -2.19%
24    BKTI      SELL             -10.9   LOW (19%)   1.000   103    0.12     2.1       96.01       66.52   -30.71%
25    RIFR      BUY                6.8   LOW (19%)   1.000    35    0.04     2.1       28.61       27.77    -2.93%
26    GLO       NEUTRAL            1.0   LOW (24%)   1.000    53    0.06     2.0        5.83        5.43    -6.83%
27    UMAC      SELL              -9.8   LOW (19%)   1.000    91    0.11     1.9       14.00       12.88    -7.98%
28    BDL       SELL             -12.6   LOW (24%)   1.000   113    0.13     1.8       29.73       27.18    -8.57%
29    STRW      NEUTRAL            1.0   LOW (24%)   1.000    48    0.06     1.8       13.22       12.13    -8.21%
30    GLV       NEUTRAL            1.0   LOW (24%)   1.000    48    0.06     1.8        6.15        5.46   -11.15%
31    ACU       SELL             -10.0   LOW (24%)   1.000   100    0.12     1.8       45.99       42.56    -7.45%
32    GLQ       NEUTRAL            1.1   LOW (19%)   1.000    48    0.06     1.8        8.01        7.35    -8.24%
33    UTG       NEUTRAL            1.1   LOW (24%)   1.000    45    0.05     1.8       41.29       35.13   -14.92%
34    VFL       NEUTRAL            1.0   LOW (24%)   1.000    44    0.05     1.7       10.20       10.18    -0.21%
35    SCCG      NEUTRAL            1.0   LOW (24%)   1.000    43    0.05     1.7       23.87       22.36    -6.33%
36    INTT      NEUTRAL            1.2   LOW (19%)   1.000    42    0.05     1.6       15.20       12.58   -17.26%
37    RIFr      BUY                6.8   LOW (19%)   1.000    19    0.02     1.6       28.61       27.77    -2.93%
