================================================================================
TOP 50 STOCKS - Generated: 2026-03-18 09:59:21
Analysis Period: 2023-06-01 to 2026-03-16
Total Stocks Analyzed: 129
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d  Hist   Prior  BScore       Price   Predicted    Return
--------------------------------------------------------------------------------------------------------------------
1     IMO       BUY                9.6   LOW (19%)   1.000   111    0.17     6.5      123.30      106.67   -13.49%
2     SCPX      BUY               14.4   LOW (43%)   0.049     1    0.00     4.4         nan        1.23      nan%
3     NML       BUY                9.5   LOW (24%)   1.000    55    0.09     4.2       10.05        9.72    -3.27%
4     ORLA      NEUTRAL           -1.1   LOW (24%)   1.000    92    0.14     4.1       16.54       14.50   -12.32%
5     AAP       NEUTRAL            0.7   LOW (19%)   1.000    83    0.13     4.0       53.19       51.57    -3.05%
6     USAS      SELL              -9.8   LOW (29%)   1.000   126    0.20     3.9        7.39        5.00   -32.33%
7     BDL       NEUTRAL            0.6   LOW (24%)   1.000    79    0.12     3.8         nan       24.76      nan%
8     BHM       BUY                9.1   LOW (29%)   1.000    40    0.06     3.7       10.01       11.66   +16.51%
9     VFL       STRONG_BUY        11.6   LOW (19%)   1.000    43    0.07     3.6       10.10       10.11    +0.13%
10    LGL       BUY                9.5   LOW (24%)   1.000    37    0.06     3.3        7.30        7.04    -3.54%
11    LEGT      BUY                9.6   LOW (19%)   1.000    42    0.07     3.3       10.97       10.94    -0.29%
12    ATEK      NEUTRAL            6.5   LOW (36%)   0.115    28    0.04     3.0        9.02        9.60    +6.45%
13    AAp       NEUTRAL            0.5   LOW (24%)   1.000    59    0.09     2.9       53.19       51.55    -3.08%
14    EQX       SELL             -11.7   LOW (29%)   1.000   110    0.17     2.8       14.88       11.64   -21.79%
15    MPTI      NEUTRAL            0.5   LOW (29%)   1.000    58    0.09     2.8       67.00       58.20   -13.13%
16    OPHC      BUY                9.7   LOW (24%)   1.000    21    0.03     2.6        5.42        5.27    -2.83%
17    SENS      BUY               11.5   LOW (24%)   1.000    14    0.02     2.6        6.31        6.75    +7.01%
18    MXC       BUY                9.4   LOW (24%)   1.000    19    0.03     2.5       11.50       11.83    +2.87%
19    CATX      NEUTRAL            0.7   LOW (24%)   1.000    47    0.07     2.3        5.22        4.66   -10.66%
20    CNDA      BUY                8.6   LOW (27%)   0.104    13    0.02     2.2       11.42       11.28    -1.26%
21    NG        SELL              -9.8   LOW (29%)   1.000    89    0.14     2.2       10.15        7.76   -23.54%
22    UTG       NEUTRAL            0.7   LOW (19%)   1.000    42    0.07     2.1       40.72       34.71   -14.75%
23    OBE       NEUTRAL            0.8   LOW (19%)   1.000    41    0.06     2.0        8.50        7.65   -10.00%
24    EGG       BUY                9.5   LOW (25%)   1.000     5    0.01     1.9         nan        6.19      nan%
25    SCCB      BUY                8.5   LOW (22%)  -0.050    11    0.02     1.9       24.98       25.22    +0.98%
26    BCV       NEUTRAL           -1.1   LOW (24%)   1.000    43    0.07     1.8       22.69       19.68   -13.27%
27    NHS       NEUTRAL           -0.1   LOW (24%)   1.000    38    0.06     1.8        6.87        6.88    +0.21%
28    PCGPD     NEUTRAL            5.2   LOW (39%)   0.073     7    0.01     1.8       19.00       18.59    -2.15%
29    IAF       NEUTRAL            0.2   LOW (19%)   1.000    37    0.06     1.8       12.84       11.96    -6.85%
30    PHGE      NEUTRAL            0.2   LOW (33%)   1.000    33    0.05     1.6        5.48        6.84   +24.81%
31    BMNR      SELL             -11.9   LOW (30%)   1.000    87    0.14     1.6       23.39       25.03    +7.03%
32    UAMY      NEUTRAL            0.7   LOW (19%)   1.000    30    0.05     1.5       10.98        9.93    -9.52%
33    SCCG      NEUTRAL           -1.1   LOW (24%)   1.000    36    0.06     1.5       23.41       21.93    -6.31%
34    EAD       NEUTRAL           -0.5   LOW (33%)   1.000    34    0.05     1.5        6.59        6.63    +0.64%
35    CIX       NEUTRAL            0.5   LOW (29%)   1.000    27    0.04     1.4       23.27       22.27    -4.28%
36    BATL      SELL             -10.9   LOW (29%)   1.000    73    0.11     1.2       14.95       11.04   -26.14%
37    SIF       NEUTRAL            0.8   LOW (24%)   1.000    23    0.04     1.2       14.24       10.75   -24.49%
38    SCCF      NEUTRAL            0.7   LOW (24%)   1.000    23    0.04     1.2         nan       18.77      nan%
39    LGCY      NEUTRAL            0.8   LOW (24%)   1.000    22    0.03     1.2       13.78       11.93   -13.45%
40    SCCD      NEUTRAL            5.9   LOW (24%)   1.000     3    0.00     1.1         nan       21.04      nan%
41    ERC       NEUTRAL           -0.1   LOW (29%)   1.000    22    0.03     1.0        8.96        8.56    -4.50%
42    CET       SELL              -9.9   LOW (33%)   1.000    70    0.11     1.0       50.55       42.93   -15.07%
43    DMYY      NEUTRAL            0.7   LOW (24%)   1.000    16    0.03     0.9       12.00       11.55    -3.71%
44    INFU      NEUTRAL            0.3   LOW (29%)   1.000    17    0.03     0.9        9.57        9.77    +2.07%
45    OZ        NEUTRAL            0.1   LOW (33%)   1.000    17    0.03     0.8       55.77       58.48    +4.85%
46    PTHS      NEUTRAL           -1.2   LOW (29%)   1.000    18    0.03     0.6       24.00       23.53    -1.94%
47    AEF       SELL             -11.7   LOW (29%)   1.000    62    0.10     0.6        7.71        6.48   -15.91%
48    LEU       SELL             -10.1   LOW (33%)   1.000    61    0.10     0.5      212.84      167.81   -21.16%
49    ERH       NEUTRAL            0.9   LOW (24%)   1.000     6    0.01     0.4       12.31       10.84   -11.97%
50    NGD       SELL             -20.7   LOW (38%)   1.000   124    0.19     0.3       10.32        7.40   -28.29%

====================================================================================================================
Summary: 1 STRONG_BUY, 12 BUY, 34 NEUTRAL, 58 SELL, 24 STRONG_SELL | Avg IC: 0.956 (129 IC-enabled)
Bayesian Ranking: Enabled (alpha=639 historical runs analyzed)
====================================================================================================================
