================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NASDAQ_Yahoo
Date: 2026-09-04
Ranking Method: Baseline (Rule-Based)
Fallback Reason: model_stale
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      RANG        80.00   100.00     0.2352   POS         
2      CPSS        80.00   100.00     1.0000   CupHandle   
3      SHOT        80.00   100.00     0.2088   POS         
4      CMBO        80.00   100.00     0.2696   POS         
5      SEIE        80.00   100.00     0.2200   POS         
6      CNOBP       80.00   100.00     0.2776   POS         
7      SEEM        80.00   100.00     0.1108   POS         
8      SDHIU       80.00   100.00     0.2810   POS         
9      COPJ        80.00   100.00     1.0000   CupHandle   
10     SBFG        80.00   100.00     0.1243   POS         
11     CPLS        80.00   100.00     0.1135   POS         
12     CPST        80.00   100.00     0.1117   POS         
13     SJLD        80.00   100.00     0.1109   POS         
14     CRACU       80.00   100.00     0.2213   POS         
15     RWAYL       80.00   100.00     0.1897   POS         
16     RUNN        80.00   100.00     0.0987   POS         
17     RNGTU       80.00   100.00     0.4842   POS         
18     RNEM        80.00   100.00     0.2456   POS         
19     RILYT       80.00   100.00     0.1659   POS         
20     RILYN       80.00   100.00     0.2345   POS         
21     RILYG       80.00   100.00     0.2047   POS         
22     RIFR        80.00   100.00     0.1305   POS         
23     SJCP        80.00   100.00     0.1090   POS         
24     CIZN        80.00   100.00     0.0974   POS         
25     PSC         80.00   100.00     0.1248   POS         
26     SMCO        80.00   100.00     0.1347   POS         
27     SPIT        80.00   100.00     0.3435   POS         
28     CCNEP       80.00   100.00     0.2321   POS         
29     SPEGU       80.00   100.00     0.4473   POS         
30     SPCT        80.00   100.00     0.1669   POS         
31     CDIG        80.00   100.00     0.3948   POS         
32     SOCAU       80.00   100.00     0.2058   POS         
33     SOCA        80.00   100.00     0.2907   POS         
34     CGABL       80.00   100.00     0.1230   POS         
35     SMCP        80.00   100.00     0.1162   POS         
36     SMCF        80.00   100.00     0.1136   POS         
37     SLMBP       80.00   100.00     0.2441   POS         
38     CHAR        80.00   100.00     0.2795   POS         
39     CHI         80.00   100.00     0.1504   POS         
40     CHPG        80.00   100.00     0.3481   POS         
41     CHRI        80.00   100.00     0.1683   POS         
42     CHSCL       80.00   100.00     0.2336   POS         
43     CHSCM       80.00   100.00     0.1079   POS         
44     CHSCN       80.00   100.00     0.2508   POS         
45     CHSCO       80.00   100.00     0.2722   POS         
46     CHY         80.00   100.00     0.2356   POS         
47     DAK         80.00   100.00     0.1307   POS         
48     REGCP       80.00   100.00     0.1378   POS         
49     REAI        80.00   100.00     0.0772   POS         
50     QETA        80.00   100.00     0.2442   POS         

================================================================================
