================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NASDAQ_Yahoo
Date: 2026-08-21
Ranking Method: Baseline (Rule-Based)
Fallback Reason: ML diverging from baseline (corr=0.00, min=0.5)
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      AACB        80.00   100.00     0.2663   POS         
2      INDH        80.00   100.00     0.1074   POS         
3      INKT        80.00   100.00     0.1337   POS         
4      INMD        80.00   100.00     0.1296   POS         
5      INNV        80.00   100.00     0.0672   CupHandle   
6      INOD        80.00   100.00     0.1408   POS         
7      INRO        80.00   100.00     0.1158   POS         
8      INSE        80.00   100.00     0.1323   POS         
9      INTR        80.00   100.00     0.0792   POS         
10     INTW        80.00   100.00     0.1450   POS         
11     IONL        80.00   100.00     0.1147   POS         
12     IONX        80.00   100.00     0.1420   POS         
13     IPAR        80.00   100.00     0.1421   POS         
14     IPKW        80.00   100.00     0.1736   POS         
15     IPX         80.00   100.00     0.0852   POS         
16     IRDM        80.00   100.00     0.0774   POS         
17     IRMD        80.00   100.00     0.0785   POS         
18     INDY        80.00   100.00     0.0936   POS         
19     INBKZ       80.00   100.00     0.1631   POS         
20     IGAC        80.00   100.00     0.2918   POS         
21     INBK        80.00   100.00     0.0857   POS         
22     IIIV        80.00   100.00     0.1612   POS         
23     IJT         80.00   100.00     0.1216   POS         
24     ILIT        80.00   100.00     0.1251   POS         
25     ILMN        80.00   100.00     0.1767   POS         
26     ILPT        80.00   100.00     0.1704   POS         
27     IMA         80.00   100.00     0.1848   POS         
28     IMAQ        80.00   100.00     0.2804   POS         
29     IMKTA       80.00   100.00     0.1228   POS         
30     IMMR        80.00   100.00     0.1511   POS         
31     IMOM        80.00   100.00     0.1148   POS         
32     IMPP        80.00   100.00     0.0818   POS         
33     IMPPP       80.00   100.00     0.1050   POS         
34     IMVT        80.00   100.00     0.1579   POS         
35     INAC        80.00   100.00     0.3966   POS         
36     INACU       80.00   100.00     0.2845   POS         
37     IRON        80.00   100.00     0.1059   POS         
38     ISBA        80.00   100.00     0.1930   POS         
39     ISRL        80.00   100.00     0.2785   nan         
40     ISSC        80.00   100.00     0.1175   POS         
41     KARO        80.00   100.00     0.1539   POS         
42     KAT         80.00   100.00     0.1216   POS         
43     KBWB        80.00   100.00     0.0790   POS         
44     KBWP        80.00   100.00     0.2335   POS         
45     KBWR        80.00   100.00     1.0000   nan         
46     KBWY        80.00   100.00     0.0728   POS         
47     KCHV        80.00   100.00     0.3188   POS         
48     KCLI        80.00   100.00     0.1092   POS         
49     KDP         80.00   100.00     0.1545   POS         
50     KEAT        80.00   100.00     0.0834   POS         

================================================================================
