================================================================================
TOP 50 STOCKS - Generated: 2026-04-09 23:20:38
Analysis Period: 2023-06-01 to 2026-04-08
Total Stocks Analyzed: 131
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d  Hist   Prior  BScore       Price   Predicted    Return
--------------------------------------------------------------------------------------------------------------------
1     EQX       NEUTRAL            1.1   LOW (19%)   1.000   132    0.16     4.9       15.28       12.29   -19.58%
2     ASM       NEUTRAL            1.0   LOW (24%)   1.000   101    0.12     3.8        7.00        5.01   -28.48%
3     NG        NEUTRAL            1.0   LOW (24%)   1.000   100    0.12     3.8        9.26        7.38   -20.28%
4     BKTI      NEUTRAL            1.4   LOW (24%)   1.000    98    0.12     3.8       87.70       62.97   -28.20%
5     ATEK      NEUTRAL            6.9   LOW (36%)   0.116    56    0.07     3.8        9.02        9.61    +6.56%
6     ACU       NEUTRAL            1.4   LOW (24%)   1.000    96    0.11     3.7       45.25       43.31    -4.29%
7     AAP       SELL              -9.9   LOW (19%)   1.000   128    0.15     3.3       54.50       51.06    -6.32%
8     IMO       SELL             -10.0   LOW (24%)   1.000   136    0.16     3.2      129.75      106.04   -18.28%
9     AEF       NEUTRAL            1.2   LOW (19%)   1.000    82    0.10     3.1        8.00        6.89   -13.85%
10    BMNR      SELL              -9.9   LOW (19%)   1.000   120    0.14     3.0       21.52       20.88    -2.97%
11    USAS      SELL             -10.1   LOW (29%)   1.000   139    0.17     3.0        5.61        3.84   -31.55%
12    IDR       NEUTRAL            1.3   LOW (19%)   1.000    76    0.09     2.9       36.62       28.85   -21.23%
13    PTHS      STRONG_BUY        15.0   LOW (19%)   1.000    25    0.03     2.9       22.90       23.73    +3.62%
14    CNDA      BUY                9.0   LOW (27%)   0.104    28    0.03     2.7       11.42       11.29    -1.17%
15    NRXS      NEUTRAL            1.3   LOW (19%)   1.000    66    0.08     2.5        7.10        5.97   -15.92%
16    SCCB      BUY                9.9   LOW (23%)   0.121    26    0.03     2.5       24.98       25.59    +2.46%
17    DMYY      BUY                8.6   LOW (19%)   1.000    35    0.04     2.4       13.45       12.77    -5.07%
18    SVM       NEUTRAL            1.0   LOW (24%)   1.000    62    0.07     2.4       11.23        8.71   -22.44%
19    GGN       NEUTRAL            1.0   LOW (24%)   1.000    60    0.07     2.3        5.47        4.69   -14.29%
20    IE        NEUTRAL            1.3   LOW (24%)   1.000    58    0.07     2.3       13.13       11.83    -9.93%
21    ANV       BUY                4.9   LOW (19%)   1.000    45    0.05     2.3       24.81       25.21    +1.63%
22    LEGT      NEUTRAL            2.2   LOW (24%)   1.000    52    0.06     2.2       11.00       10.76    -2.18%
23    OBE       NEUTRAL            1.3   LOW (19%)   1.000    57    0.07     2.2        9.02        8.02   -11.05%
24    SLSR      NEUTRAL            1.1   LOW (24%)   1.000    56    0.07     2.2        9.02        7.14   -20.82%
25    RIFR      BUY                6.8   LOW (19%)   1.000    34    0.04     2.1       28.84       27.93    -3.16%
26    GLO       NEUTRAL            1.0   LOW (24%)   1.000    51    0.06     2.0        5.77        5.39    -6.56%
27    NAS       NEUTRAL            1.3   LOW (29%)   1.000    46    0.06     1.9      350.00      352.66    +0.76%
28    GLQ       NEUTRAL            1.0   LOW (24%)   1.000    46    0.06     1.8        7.96        7.32    -8.10%
29    STRW      NEUTRAL            1.3   LOW (19%)   1.000    46    0.06     1.8       12.85       11.89    -7.44%
30    CNL       NEUTRAL            1.4   LOW (24%)   1.000    44    0.05     1.8       18.76       15.78   -15.88%
31    BDL       SELL             -12.6   LOW (24%)   1.000   109    0.13     1.8       32.00       28.65   -10.48%
32    IAF       NEUTRAL            1.2   LOW (19%)   1.000    46    0.06     1.8       12.65       12.44    -1.68%
33    CET       SELL              -9.9   LOW (24%)   1.000    96    0.11     1.8       51.06       43.27   -15.27%
34    PRK       BUY                6.9   LOW (19%)   1.000    22    0.03     1.7      172.13      170.06    -1.20%
35    BHB       SELL             -10.9   LOW (19%)   1.000    88    0.11     1.7       34.49       32.47    -5.86%
36    INTT      NEUTRAL            1.4   LOW (24%)   1.000    40    0.05     1.7       14.75       12.28   -16.75%
37    RIFr      BUY                6.8   LOW (19%)   1.000    18    0.02     1.6       28.84       27.93    -3.16%
38    AULTpD    NEUTRAL           -0.5   LOW (29%)   1.000    46    0.06     1.6       20.24       17.10   -15.53%
39    EAD       NEUTRAL            0.8   LOW (24%)   1.000    38    0.05     1.5        6.59        6.65    +0.97%
40    UMAC      SELL             -10.0   LOW (24%)   1.000    87    0.10     1.5       12.85       12.13    -5.60%
41    UUUU      SELL             -10.0   LOW (24%)   1.000    86    0.10     1.4       18.38       13.87   -24.53%
42    AAp       SELL             -10.0   LOW (24%)   1.000    86    0.10     1.4       54.50       51.05    -6.34%
43    ELA       NEUTRAL            1.3   LOW (19%)   1.000    34    0.04     1.4       17.08       12.98   -24.01%
44    SCCF      NEUTRAL            1.0   LOW (24%)   1.000    31    0.04     1.3       23.68       22.10    -6.69%
45    TRT       NEUTRAL            1.2   LOW (19%)   1.000    31    0.04     1.3        6.75        5.52   -18.29%
46    FAX       NEUTRAL            1.0   LOW (19%)   1.000    31    0.04     1.2       14.94       15.01    +0.45%
47    ISOU      NEUTRAL            0.7   LOW (29%)   1.000    29    0.03     1.2       10.68       10.83    +1.39%
48    MWH       BUY                5.1   LOW (19%)   1.000    14    0.02     1.2       28.94       29.33    +1.34%
49    SACHpA    NEUTRAL            1.2   LOW (19%)   1.000    28    0.03     1.2       17.75       17.20    -3.12%
50    PTN       NEUTRAL            1.0   LOW (24%)   1.000    24    0.03     1.0       19.40       16.45   -15.23%

====================================================================================================================
Summary: 1 STRONG_BUY, 8 BUY, 45 NEUTRAL, 56 SELL, 21 STRONG_SELL | Avg IC: 0.966 (131 IC-enabled)
Bayesian Ranking: Enabled (alpha=835 historical runs analyzed)
====================================================================================================================
