================================================================================
TOP 50 STOCKS - Generated: 2026-04-08 23:23:43
Analysis Period: 2023-06-01 to 2026-04-07
Total Stocks Analyzed: 131
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d  Hist   Prior  BScore       Price   Predicted    Return
--------------------------------------------------------------------------------------------------------------------
1     EQX       NEUTRAL            1.1   LOW (19%)   1.000   130    0.16     4.9       15.28       12.29   -19.57%
2     NG        NEUTRAL            1.0   LOW (24%)   1.000    99    0.12     3.8        9.26        7.38   -20.28%
3     BKTI      NEUTRAL            1.4   LOW (24%)   1.000    96    0.12     3.7       87.70       62.96   -28.20%
4     ATEK      NEUTRAL            6.9   LOW (36%)   0.116    54    0.07     3.7        9.02        9.61    +6.56%
5     IMO       SELL              -9.9   LOW (19%)   1.000   134    0.16     3.6      129.75      106.09   -18.24%
6     BDL       NEUTRAL           -4.4   LOW (24%)   1.000   107    0.13     3.2       32.00       29.25    -8.60%
7     AEF       NEUTRAL            1.1   LOW (24%)   1.000    80    0.10     3.1        8.00        6.89   -13.87%
8     IDR       NEUTRAL            1.1   LOW (19%)   1.000    75    0.09     2.9       36.62       28.83   -21.26%
9     GRAF      BUY                6.7   LOW (24%)   1.000    47    0.06     2.8       10.74       10.67    -0.61%
10    CNDA      BUY                9.0   LOW (27%)   0.104    27    0.03     2.7       11.42       11.29    -1.17%
11    NRXS      NEUTRAL            1.3   LOW (19%)   1.000    65    0.08     2.5        7.10        5.97   -15.91%
12    SCCB      BUY                9.9   LOW (23%)   0.120    25    0.03     2.5       24.98       25.59    +2.46%
13    DMYY      BUY                8.6   LOW (19%)   1.000    34    0.04     2.4       13.45       12.77    -5.07%
14    SVM       NEUTRAL            1.0   LOW (24%)   1.000    60    0.07     2.4       11.23        8.71   -22.44%
15    GGN       NEUTRAL            1.0   LOW (24%)   1.000    59    0.07     2.3        5.47        4.69   -14.29%
16    OBE       NEUTRAL            1.3   LOW (19%)   1.000    56    0.07     2.2        9.02        8.02   -11.05%
17    BMNR      SELL             -10.3   LOW (29%)   1.000   117    0.14     2.2       21.52       20.86    -3.08%
18    GLU       NEUTRAL            3.3   LOW (24%)   1.000    45    0.05     2.2       19.28       16.83   -12.67%
19    RIFR      BUY                6.8   LOW (19%)   1.000    33    0.04     2.1       28.84       27.93    -3.16%
20    STRW      NEUTRAL            1.3   LOW (19%)   1.000    45    0.05     1.8       12.85       11.89    -7.44%
21    CNL       NEUTRAL            1.3   LOW (19%)   1.000    43    0.05     1.7       18.76       15.77   -15.91%
22    SCCG      NEUTRAL            1.2   LOW (19%)   1.000    42    0.05     1.7       23.70       22.25    -6.10%
23    PRK       BUY                6.9   LOW (19%)   1.000    21    0.03     1.7      172.13      170.06    -1.20%
24    INTT      NEUTRAL            1.2   LOW (19%)   1.000    39    0.05     1.6       14.75       12.27   -16.78%
25    ASM       SELL             -10.1   LOW (29%)   1.000    99    0.12     1.6        7.00        4.87   -30.48%
26    RIFr      BUY                6.8   LOW (19%)   1.000    17    0.02     1.5       28.84       27.93    -3.16%
