================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NYSE_Yahoo
Date: 2026-08-24
Ranking Method: Baseline (Rule-Based)
Fallback Reason: ML diverging from baseline (corr=0.00, min=0.5)
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      KEYS        80.00   100.00     0.1622   POS         
2      LOMA        80.00   100.00     0.0839   POS         
3      MC          80.00   100.00     0.0770   POS         
4      MBC         80.00   100.00     1.0000   POS         
5      MATX        80.00   100.00     0.0881   POS         
6      MARw        80.00   100.00     0.2239   POS         
7      MARW        80.00   100.00     0.2239   POS         
8      MANU        80.00   100.00     0.1125   POS         
9      MAGN        80.00   100.00     0.1793   POS         
10     MAC         80.00   100.00     1.0000   POS         
11     MAA         80.00   100.00     0.0904   POS         
12     MA          80.00   100.00     0.0853   POS         
13     LZB         80.00   100.00     0.1422   POS         
14     LYV         80.00   100.00     0.0922   POS         
15     LYG         80.00   100.00     0.1252   POS         
16     LXU         80.00   100.00     0.0844   POS         
17     LXFR        80.00   100.00     0.1185   POS         
18     LVS         80.00   100.00     0.0593   POS         
19     LUXE        80.00   100.00     0.1378   POS         
20     LUV         80.00   100.00     0.0673   POS         
21     LUMN        80.00   100.00     0.2309   POS         
22     LTM         80.00   100.00     0.0791   POS         
23     LTH         80.00   100.00     0.1154   nan         
24     LTC         80.00   100.00     0.2398   POS         
25     LRN         80.00   100.00     0.1339   POS         
26     MCD         80.00   100.00     0.0782   POS         
27     MCI         80.00   100.00     0.1850   POS         
28     MCK         80.00   100.00     0.0865   POS         
29     MGRB        80.00   100.00     0.1068   POS         
30     MKL         80.00   100.00     0.1969   POS         
31     MIY         80.00   100.00     0.0707   POS         
32     MITP        80.00   100.00     0.2936   POS         
33     MITN        80.00   100.00     0.3191   POS         
34     MIAX        80.00   100.00     0.1244   POS         
35     MHLA        80.00   100.00     0.1204   POS         
36     MHF         80.00   100.00     0.1769   POS         
37     MH          80.00   100.00     0.2205   POS         
38     MGY         80.00   100.00     0.1920   POS         
39     MGRD        80.00   100.00     0.2279   POS         
40     MGM         80.00   100.00     0.1200   POS         
41     MCN         80.00   100.00     0.0815   POS         
42     MFSB        80.00   100.00     1.0000   POS         
43     MFAO        80.00   100.00     0.3254   POS         
44     MFAN        80.00   100.00     0.3480   POS         
45     MFA         80.00   100.00     0.1124   POS         
46     MET         80.00   100.00     0.1737   nan         
47     MED         80.00   100.00     0.0903   POS         
48     MDT         80.00   100.00     0.0988   POS         
49     MD          80.00   100.00     0.0676   POS         
50     MCY         80.00   100.00     0.0768   POS         

================================================================================
