================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NYSE_Yahoo
Date: 2026-08-19
Ranking Method: Baseline (Rule-Based)
Fallback Reason: ML diverging from baseline (corr=-0.00, min=0.5)
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      ZYME        80.00   100.00     0.1533   POS         
2      FLNG        80.00   100.00     0.2463   POS         
3      FPH         80.00   100.00     0.0977   POS         
4      FPA         80.00   100.00     0.1027   POS         
5      FOUR        80.00   100.00     1.0000   POS         
6      RLI         80.00   100.00     0.0980   POS         
7      RLJ         80.00   100.00     0.1237   POS         
8      FNV         80.00   100.00     0.1761   POS         
9      FMY         80.00   100.00     0.2729   POS         
10     FMX         80.00   100.00     0.0869   POS         
11     FMS         80.00   100.00     0.0947   POS         
12     RMAX        80.00   100.00     0.1054   POS         
13     FMN         80.00   100.00     0.0893   POS         
14     FMC         80.00   100.00     0.0987   nan         
15     FLXR        80.00   100.00     1.0000   POS         
16     FLUT        80.00   100.00     0.1243   POS         
17     FLR         80.00   100.00     0.1718   POS         
18     RMM         80.00   100.00     0.1242   POS         
19     FLOC        80.00   100.00     0.2220   POS         
20     FPI         80.00   100.00     0.0547   POS         
21     RJF         80.00   100.00     0.1208   POS         
22     FRA         80.00   100.00     0.1310   POS         
23     FTWO        80.00   100.00     0.1014   POS         
24     FpA         80.00   100.00     0.1069   POS         
25     REXR        80.00   100.00     0.1097   POS         
26     FXED        80.00   100.00     0.0887   POS         
27     FVR         80.00   100.00     0.1491   POS         
28     RFMZ        80.00   100.00     0.1320   POS         
29     FUN         80.00   100.00     0.0841   POS         
30     FUBO        80.00   100.00     0.2283   POS         
31     RGA         80.00   100.00     0.2581   POS         
32     RIO         80.00   100.00     0.0704   POS         
33     FTS         80.00   100.00     0.1924   POS         
34     RGR         80.00   100.00     0.1419   POS         
35     FSM         80.00   100.00     0.1830   POS         
36     RH          80.00   100.00     1.0000   POS         
37     FSK         80.00   100.00     0.0971   POS         
38     RHI         80.00   100.00     0.1244   POS         
39     FRO         80.00   100.00     0.1416   POS         
40     RMMZ        80.00   100.00     0.0939   POS         
41     FLC         80.00   100.00     0.0744   POS         
42     SRVR        80.00   100.00     0.0953   POS         
43     FIXT        80.00   100.00     1.0000   POS         
44     RSG         80.00   100.00     0.1148   POS         
45     FCPT        80.00   100.00     0.0822   POS         
46     FCN         80.00   100.00     0.2036   POS         
47     RSI         80.00   100.00     0.1726   POS         
48     FC          80.00   100.00     0.1433   POS         
49     RTO         80.00   100.00     0.1360   POS         
50     RVLV        80.00   100.00     0.1311   POS         

================================================================================
