================================================================================
TOP 50 STOCKS - Generated: 2026-03-23 23:32:12
Analysis Period: 2023-06-01 to 2026-03-22
Total Stocks Analyzed: 127
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d  Hist   Prior  BScore       Price   Predicted    Return
--------------------------------------------------------------------------------------------------------------------
1     PCGPD     STRONG_BUY        37.5   LOW (44%)   0.072    10    0.01    11.9       18.75       19.93    +6.30%
2     IMO       NEUTRAL            0.7   LOW (19%)   1.000   115    0.17     5.1         nan       65.95      nan%
3     PCGpD     BUY               13.0   LOW (35%)   0.072    28    0.04     4.4       18.75       18.82    +0.36%
4     BDL       NEUTRAL            0.4   LOW (24%)   1.000    86    0.13     3.8       33.26       30.44    -8.46%
5     BATL      NEUTRAL            0.8   LOW (19%)   1.000    81    0.12     3.7         nan        1.29      nan%
6     ATEK      NEUTRAL            6.6   LOW (36%)   0.116    33    0.05     3.1        9.02        9.60    +6.48%
7     ACCS      BUY                9.6   LOW (24%)   1.000    33    0.05     3.0         nan        9.61      nan%
8     UMAC      NEUTRAL            0.7   LOW (19%)   1.000    66    0.10     3.0         nan        9.83      nan%
9     LEGT      NEUTRAL            5.9   LOW (24%)   1.000    44    0.06     2.9         nan       10.26      nan%
10    CNDA      BUY                8.6   LOW (27%)   0.104    16    0.02     2.3       11.42       11.28    -1.25%
11    NHS       NEUTRAL            2.6   LOW (24%)   1.000    41    0.06     2.2         nan        6.96      nan%
12    IAF       NEUTRAL            2.9   LOW (19%)   1.000    40    0.06     2.1         nan       10.26      nan%
13    BMNR      SELL             -10.3   LOW (29%)   1.000    94    0.14     2.1         nan       29.82      nan%
14    SCCB      BUY                8.6   LOW (23%)   0.116    14    0.02     2.0       24.98       25.23    +0.99%
15    DIT       NEUTRAL            1.3   LOW (29%)   1.000    37    0.05     1.9       84.80       94.65   +11.61%
16    CET       SELL              -8.9   LOW (24%)   1.000    74    0.11     1.8         nan       30.28      nan%
17    STRW      NEUTRAL            0.8   LOW (19%)   1.000    35    0.05     1.6         nan        9.89      nan%
18    USAS      STRONG_SELL      -20.6   LOW (29%)   1.000   129    0.19     1.5         nan        0.57      nan%
19    ERC       NEUTRAL            2.7   LOW (24%)   1.000    23    0.03     1.5         nan        7.81      nan%
20    MXC       NEUTRAL            0.6   LOW (19%)   1.000    22    0.03     1.0         nan       11.69      nan%
21    INFU      NEUTRAL            0.4   LOW (24%)   1.000    20    0.03     0.9         nan       10.15      nan%
22    PTN       NEUTRAL            0.7   LOW (19%)   1.000    18    0.03     0.9         nan       10.43      nan%
23    NML       SELL             -10.0   LOW (24%)   1.000    58    0.08     0.9         nan        8.17      nan%
24    ELA       NEUTRAL            1.0   LOW (24%)   1.000    16    0.02     0.9         nan        4.61      nan%
25    NGD       STRONG_SELL      -20.7   LOW (33%)   1.000   129    0.19     0.8        9.08        6.62   -27.13%
26    IE        SELL              -8.9   LOW (24%)   1.000    51    0.07     0.8         nan        8.90      nan%
27    ORLA      STRONG_SELL      -20.4   LOW (24%)   1.000    94    0.14     0.7         nan       10.01      nan%
28    NRXS      SELL             -10.9   LOW (24%)   1.000    48    0.07     0.3         nan        3.55      nan%
29    CMT       NEUTRAL            0.7   LOW (19%)   1.000     4    0.01     0.3         nan       18.17      nan%
30    ARMP      SELL             -10.1   LOW (29%)   1.000    51    0.07     0.2         nan        1.93      nan%
31    GLV       SELL              -9.0   LOW (29%)   1.000    45    0.07     0.2         nan        3.96      nan%
32    OBE       SELL             -10.9   LOW (24%)   1.000    44    0.06     0.1         nan        5.74      nan%
33    PED       SELL              -5.4   LOW (19%)   1.000     5    0.01    -0.5         nan        0.60      nan%
34    AULTpD    SELL              -7.2   LOW (29%)   1.000    31    0.05    -0.1       21.85       17.72   -18.89%
35    ERH       SELL              -8.8   LOW (24%)   1.000     7    0.01    -1.2         nan        7.64      nan%
36    TMP       SELL              -8.8   LOW (24%)   1.000    25    0.04    -0.4         nan       43.38      nan%
37    SIF       SELL              -9.9   LOW (24%)   1.000    27    0.04    -0.5         nan        3.47      nan%
38    OPHC      SELL              -9.9   LOW (24%)   1.000    23    0.03    -0.6         nan        4.47      nan%
39    PLMR      SELL             -10.0   LOW (24%)   1.000    23    0.03    -0.7         nan      120.37      nan%
40    PLMr      SELL             -10.0   LOW (24%)   1.000    22    0.03    -0.7         nan      120.37      nan%
41    CVR       SELL             -10.0   LOW (24%)   1.000    28    0.04    -0.4       13.90       13.55    -2.51%
42    PRK       SELL             -10.1   LOW (24%)   1.000    15    0.02    -1.0         nan      153.37      nan%
43    ECF       SELL              -9.0   LOW (29%)   1.000     6    0.01    -1.5         nan        6.83      nan%
44    GRF       SELL              -9.0   LOW (29%)   1.000    30    0.04    -0.5         nan        7.93      nan%
45    INLX      SELL              -9.1   LOW (29%)   1.000     3    0.00    -1.7         nan        6.97      nan%
46    SACHPA    SELL              -9.1   LOW (29%)   1.000     8    0.01    -1.5       16.90       16.20    -4.13%
47    GIF       SELL              -9.1   LOW (29%)   1.000     5    0.01    -1.6         nan        4.34      nan%
48    CTGO      SELL              -9.2   LOW (29%)   1.000    15    0.02    -1.2         nan       19.37      nan%
49    EVV       SELL              -9.2   LOW (29%)   1.000    12    0.02    -1.3         nan        9.68      nan%
50    EIM       SELL              -9.2   LOW (29%)   1.000     1    0.00    -1.8         nan        9.48      nan%

====================================================================================================================
Summary: 1 STRONG_BUY, 4 BUY, 16 NEUTRAL, 53 SELL, 53 STRONG_SELL | Avg IC: 0.964 (127 IC-enabled)
Bayesian Ranking: Enabled (alpha=683 historical runs analyzed)
====================================================================================================================
