================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NASDAQ_Yahoo
Date: 2026-08-17
Ranking Method: Baseline (Rule-Based)
Fallback Reason: ML diverging from baseline (corr=-0.00, min=0.5)
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      AACB        80.00   100.00     0.2640   POS         
2      SUNS        80.00   100.00     0.2689   POS         
3      STRO        80.00   100.00     0.1362   POS         
4      CDNS        80.00   100.00     0.2023   POS         
5      PIZ         80.00   100.00     0.1380   POS         
6      PINC        80.00   100.00     0.1564   POS         
7      PIII        80.00   100.00     0.1128   POS         
8      PID         80.00   100.00     0.1621   POS         
9      CDC         80.00   100.00     0.1676   POS         
10     STRT        80.00   100.00     0.2681   POS         
11     STTK        80.00   100.00     0.1033   POS         
12     GBNY        80.00   100.00     0.0708   POS         
13     TSAT        80.00   100.00     0.1304   POS         
14     PGJ         80.00   100.00     0.0880   POS         
15     GDEV        80.00   100.00     0.0783   POS         
16     PFXNZ       80.00   100.00     0.2749   POS         
17     PFX         80.00   100.00     0.0835   POS         
18     CCNR        80.00   100.00     0.0782   POS         
19     PFIS        80.00   100.00     0.0939   POS         
20     CCNE        80.00   100.00     0.1600   POS         
21     GECCG       80.00   100.00     0.1584   POS         
22     GECCI       80.00   100.00     0.2802   POS         
23     STRF        80.00   100.00     0.1260   POS         
24     STRA        80.00   100.00     0.3040   POS         
25     STOK        80.00   100.00     0.2045   POS         
26     STNC        80.00   100.00     0.1064   POS         
27     CEPV        80.00   100.00     0.0927   POS         
28     FULTP       80.00   100.00     0.2231   POS         
29     CEPO        80.00   100.00     0.2167   POS         
30     PLPC        80.00   100.00     0.2521   POS         
31     CEPF        80.00   100.00     0.3717   POS         
32     FUND        80.00   100.00     0.1189   POS         
33     FUSB        80.00   100.00     0.1968   POS         
34     CENTA       80.00   100.00     0.1615   POS         
35     PLMR        80.00   100.00     0.1325   POS         
36     PLMKU       80.00   100.00     0.2702   POS         
37     PLMK        80.00   100.00     0.3393   POS         
38     FVN         80.00   100.00     0.7402   POS         
39     CEFA        80.00   100.00     0.1797   POS         
40     CECO        80.00   100.00     0.1135   POS         
41     FWONA       80.00   100.00     0.2106   POS         
42     STI         80.00   100.00     0.1113   POS         
43     FYT         80.00   100.00     0.0911   POS         
44     PLAB        80.00   100.00     0.0857   POS         
45     GAINZ       80.00   100.00     0.3124   POS         
46     PFI         80.00   100.00     0.1151   POS         
47     GEME        80.00   100.00     0.1184   POS         
48     PFBC        80.00   100.00     0.1764   POS         
49     SWSS        80.00   100.00     0.5014   POS         
50     PDDL        80.00   100.00     0.1459   POS         

================================================================================
