================================================================================
TOP 50 STOCKS - Generated: 2026-04-07 23:21:52
Analysis Period: 2023-06-01 to 2026-04-06
Total Stocks Analyzed: 131
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d  Hist   Prior  BScore       Price   Predicted    Return
--------------------------------------------------------------------------------------------------------------------
1     EQX       NEUTRAL            1.1   LOW (24%)   1.000   128    0.16     4.9       14.61       11.84   -18.96%
2     GRAF      STRONG_BUY        20.8   LOW (19%)   1.000    46    0.06     4.5       10.77       11.07    +2.76%
3     NG        NEUTRAL            1.1   LOW (24%)   1.000    98    0.12     3.8        9.07        7.26   -20.01%
4     ASM       NEUTRAL            1.1   LOW (24%)   1.000    97    0.12     3.8        6.77        4.85   -28.32%
5     ATEK      NEUTRAL            6.9   LOW (36%)   0.116    52    0.06     3.7        9.02        9.61    +6.56%
6     IMO       SELL             -10.0   LOW (24%)   1.000   132    0.16     3.2      129.39      105.80   -18.23%
7     AEF       NEUTRAL            1.2   LOW (19%)   1.000    78    0.10     3.0        7.43        6.51   -12.38%
8     IDR       NEUTRAL            1.2   LOW (19%)   1.000    74    0.09     2.9       35.02       27.77   -20.72%
9     AAP       SELL             -10.0   LOW (24%)   1.000   121    0.15     2.8       53.00       50.08    -5.52%
10    ARMP      NEUTRAL            1.1   LOW (24%)   1.000    67    0.08     2.7       10.55        7.71   -26.88%
11    CNDA      BUY                9.0   LOW (27%)   0.104    26    0.03     2.6       11.42       11.29    -1.16%
12    BMNR      SELL             -10.2   LOW (24%)   1.000   114    0.14     2.5       20.60       20.27    -1.60%
13    BHM       NEUTRAL            0.9   LOW (24%)   1.000    64    0.08     2.5       11.26       12.27    +8.93%
14    NRXS      NEUTRAL            1.3   LOW (19%)   1.000    63    0.08     2.5        7.41        6.18   -16.63%
15    NAS       NEUTRAL            3.8   LOW (33%)   1.000    43    0.05     2.5      335.00      347.36    +3.69%
16    SCCB      BUY                9.9   LOW (23%)   0.120    24    0.03     2.5       24.98       25.59    +2.46%
17    DMYY      BUY                8.6   LOW (19%)   1.000    33    0.04     2.4       13.45       12.77    -5.06%
18    GGN       NEUTRAL            1.1   LOW (24%)   1.000    58    0.07     2.3        5.41        4.65   -14.07%
19    SVM       NEUTRAL            1.1   LOW (24%)   1.000    58    0.07     2.3       11.10        8.62   -22.31%
20    IE        NEUTRAL            1.1   LOW (24%)   1.000    57    0.07     2.3       12.23       11.22    -8.28%
21    LEGT      NEUTRAL            2.2   LOW (24%)   1.000    51    0.06     2.3       11.00       10.76    -2.17%
22    SLSR      NEUTRAL            1.1   LOW (24%)   1.000    55    0.07     2.2        8.63        6.88   -20.25%
23    OBE       NEUTRAL            1.3   LOW (19%)   1.000    55    0.07     2.2        9.39        8.27   -11.91%
24    RIFR      BUY                6.9   LOW (19%)   1.000    32    0.04     2.1       28.45       27.67    -2.76%
25    AXIL      NEUTRAL            0.8   LOW (29%)   1.000    49    0.06     2.0        7.23        7.44    +2.96%
26    BKTI      SELL              -9.9   LOW (24%)   1.000    94    0.12     1.8       78.37       55.12   -29.67%
27    STRW      NEUTRAL            1.3   LOW (19%)   1.000    44    0.05     1.8       12.65       11.76    -7.03%
28    ACU       SELL             -10.0   LOW (24%)   1.000    93    0.11     1.8       44.44       41.55    -6.49%
29    CNL       NEUTRAL            1.3   LOW (19%)   1.000    42    0.05     1.7       18.50       15.60   -15.67%
30    REPX      NEUTRAL            1.3   LOW (19%)   1.000    41    0.05     1.7       36.84       33.32    -9.55%
31    INTT      NEUTRAL            1.2   LOW (19%)   1.000    38    0.05     1.6       14.56       12.15   -16.56%
32    RLGT      NEUTRAL            1.1   LOW (24%)   1.000    36    0.04     1.5        7.35        6.93    -5.69%
33    RIFr      BUY                6.9   LOW (19%)   1.000    16    0.02     1.5       28.45       27.67    -2.76%
34    EAD       NEUTRAL            0.8   LOW (29%)   1.000    36    0.04     1.5        6.48        6.58    +1.54%
35    GTE       NEUTRAL            1.3   LOW (19%)   1.000    34    0.04     1.4        8.67        7.88    -9.08%
36    CET       SELL             -10.1   LOW (29%)   1.000    93    0.11     1.4       50.10       42.62   -14.93%
37    UMAC      SELL             -10.0   LOW (24%)   1.000    83    0.10     1.4       13.71       12.69    -7.45%
38    AAp       SELL             -10.0   LOW (24%)   1.000    81    0.10     1.3       53.00       50.07    -5.53%
39    SCCF      NEUTRAL            1.1   LOW (24%)   1.000    30    0.04     1.3       23.70       22.11    -6.71%
40    BHB       SELL             -11.1   LOW (24%)   1.000    84    0.10     1.3       33.25       31.65    -4.82%
41    EVI       BUY                6.7   LOW (19%)   1.000     8    0.01     1.2       21.42       21.59    +0.78%
42    TRT       NEUTRAL            1.2   LOW (19%)   1.000    28    0.03     1.2        6.02        5.03   -16.49%
43    TGB       NEUTRAL            1.1   LOW (24%)   1.000    27    0.03     1.2        6.77        5.23   -22.70%
44    ISOU      NEUTRAL            1.0   LOW (24%)   1.000    27    0.03     1.2       10.72       10.86    +1.31%
45    MWH       BUY                4.9   LOW (18%)   1.000    13    0.02     1.1       28.90       29.28    +1.33%
46    WYY       NEUTRAL            1.1   LOW (24%)   1.000    25    0.03     1.1        5.03        4.51   -10.27%
