================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NYSE_Yahoo
Date: 2026-08-21
Ranking Method: Baseline (Rule-Based)
Fallback Reason: ML diverging from baseline (corr=0.00, min=0.5)
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      KEYS        80.00   100.00     0.1584   POS         
2      KTN         80.00   100.00     0.2777   POS         
3      LGI         80.00   100.00     0.1216   POS         
4      LEVI        80.00   100.00     0.1449   POS         
5      LEG         80.00   100.00     0.1001   POS         
6      LEA         80.00   100.00     0.1718   POS         
7      LBRT        80.00   100.00     0.2121   POS         
8      LB          80.00   100.00     0.1966   POS         
9      KYN         80.00   100.00     0.1835   POS         
10     KVYO        80.00   100.00     1.0000   POS         
11     KVUE        80.00   100.00     0.1712   POS         
12     KTH         80.00   100.00     0.3201   POS         
13     LIN         80.00   100.00     0.1348   POS         
14     KTB         80.00   100.00     0.1138   POS         
15     KRP         80.00   100.00     0.1980   POS         
16     KRG         80.00   100.00     0.1011   POS         
17     KR          80.00   100.00     0.0799   POS         
18     KOF         80.00   100.00     0.0858   POS         
19     KODK        80.00   100.00     0.1143   POS         
20     KNX         80.00   100.00     1.0000   POS         
21     KNTK        80.00   100.00     0.1184   POS         
22     KNF         80.00   100.00     0.1258   POS         
23     LII         80.00   100.00     0.1365   POS         
24     LION        80.00   100.00     0.1343   POS         
25     KMB         80.00   100.00     0.1247   POS         
26     LXFR        80.00   100.00     0.1185   POS         
27     MARw        80.00   100.00     0.2237   POS         
28     MARW        80.00   100.00     0.2237   POS         
29     MANU        80.00   100.00     0.1111   POS         
30     MAGN        80.00   100.00     0.1792   POS         
31     MAC         80.00   100.00     1.0000   POS         
32     MA          80.00   100.00     0.0866   POS         
33     LZB         80.00   100.00     0.1414   POS         
34     LYG         80.00   100.00     0.1253   POS         
35     LXU         80.00   100.00     0.0837   POS         
36     LUXE        80.00   100.00     0.1378   POS         
37     LMND        80.00   100.00     0.0707   POS         
38     LTM         80.00   100.00     0.0830   POS         
39     LTC         80.00   100.00     0.2394   POS         
40     LRN         80.00   100.00     0.1335   POS         
41     LOW         80.00   100.00     1.0000   POS         
42     LOMA        80.00   100.00     0.0825   POS         
43     LOB         80.00   100.00     0.0828   POS         
44     LOAR        80.00   100.00     0.1337   POS         
45     LNN         80.00   100.00     0.1841   POS         
46     LNC         80.00   100.00     0.1300   POS         
47     KMX         80.00   100.00     1.0000   POS         
48     KKRT        80.00   100.00     0.1445   POS         
49     MBC         80.00   100.00     1.0000   POS         
50     INVH        80.00   100.00     0.1614   POS         

================================================================================
