================================================================================
TOP 50 STOCKS - ML + FUNDAMENTAL RANKING
Database: NYSE_Yahoo
Date: 2026-09-15
Ranking Method: Baseline (Rule-Based)
Fallback Reason: model_stale
Scoring: Technical Only (Fundamental scoring disabled)
Fundamental Filter: DISABLED
================================================================================

Rank  Symbol    Score   Baseline  IC_10d  Pattern     
--------------------------------------------------------------------------------
1      ZYME        80.00   100.00     0.1314   POS         
2      MRP         80.00   100.00     0.2784   POS         
3      D           80.00   100.00     1.0000   POS         
4      MTH         80.00   100.00     0.1280   POS         
5      DAL         80.00   100.00     0.1434   POS         
6      MTDR        80.00   100.00     0.1476   POS         
7      MTD         80.00   100.00     0.0898   POS         
8      MTBPH       80.00   100.00     1.0000   POS         
9      MSM         80.00   100.00     0.1882   POS         
10     MSGS        80.00   100.00     0.1585   POS         
11     MSGE        80.00   100.00     0.0975   POS         
12     DBD         80.00   100.00     0.1637   POS         
13     DBI         80.00   100.00     0.1404   POS         
14     MSDL        80.00   100.00     1.0000   POS         
15     MSCI        80.00   100.00     0.2964   POS         
16     MPV         80.00   100.00     0.1565   POS         
17     LNN         80.00   100.00     0.1827   POS         
18     MP          80.00   100.00     0.0950   POS         
19     MO          80.00   100.00     0.1274   POS         
20     MMS         80.00   100.00     0.1507   POS         
21     DDS         80.00   100.00     0.1046   POS         
22     DDT         80.00   100.00     0.3867   POS         
23     DE          80.00   100.00     0.1791   POS         
24     DEA         80.00   100.00     0.1534   POS         
25     DEC         80.00   100.00     0.2184   POS         
26     MMM         80.00   100.00     0.0891   POS         
27     MMKT        80.00   100.00     0.7157   POS         
28     MMID        80.00   100.00     0.1753   POS         
29     DEO         80.00   100.00     0.1956   POS         
30     DEw         80.00   100.00     0.1956   POS         
31     MTN         80.00   100.00     1.0000   POS         
32     MTRN        80.00   100.00     0.2083   POS         
33     MTUS        80.00   100.00     0.1661   POS         
34     MTX         80.00   100.00     0.0954   POS         
35     NIQ         80.00   100.00     0.0628   POS         
36     NINE        80.00   100.00     0.1458   POS         
37     NIM         80.00   100.00     0.1202   POS         
38     NIC         80.00   100.00     0.1882   POS         
39     NGVT        80.00   100.00     0.1382   POS         
40     CURB        80.00   100.00     0.1652   POS         
41     NGVC        80.00   100.00     0.1567   POS         
42     CUZ         80.00   100.00     0.1375   POS         
43     CVE         80.00   100.00     0.0988   POS         
44     CVEO        80.00   100.00     0.1728   POS         
45     NFG         80.00   100.00     0.0819   POS         
46     CVLG        80.00   100.00     0.0635   POS         
47     NCLH        80.00   100.00     0.1274   POS         
48     CVX         80.00   100.00     1.0000   POS         
49     CW          80.00   100.00     0.0944   POS         
50     NBR         80.00   100.00     0.1612   POS         

================================================================================
