================================================================================
TOP 50 STOCKS - Generated: 2026-03-24 22:56:37
Analysis Period: 2023-06-01 to 2026-03-23
Total Stocks Analyzed: 128
================================================================================

Rank  Symbol    Signal           Score    Confidence   IC10d  Hist   Prior  BScore       Price   Predicted    Return
--------------------------------------------------------------------------------------------------------------------
1     IMO       NEUTRAL            0.7   LOW (19%)   1.000   115    0.17     5.1         nan       65.95      nan%
2     BDL       NEUTRAL            0.8   LOW (24%)   1.000    86    0.12     3.9       33.26       30.47    -8.38%
3     BATL      NEUTRAL            0.8   LOW (19%)   1.000    81    0.12     3.6         nan        1.29      nan%
4     ATEK      NEUTRAL            6.7   LOW (36%)   0.116    33    0.05     3.1        9.02        9.61    +6.51%
5     OBE       BUY                6.2   LOW (19%)   1.000    44    0.06     2.7         nan        6.00      nan%
6     BMNR      SELL             -10.2   LOW (24%)   1.000    94    0.14     2.4         nan       29.84      nan%
7     CNDA      BUY                8.8   LOW (27%)   0.104    16    0.02     2.3       11.42       11.28    -1.22%
8     NHS       NEUTRAL            3.0   LOW (19%)   1.000    41    0.06     2.2         nan        6.97      nan%
9     IAF       NEUTRAL            3.0   LOW (19%)   1.000    40    0.06     2.1         nan       10.26      nan%
10    BHM       NEUTRAL            0.8   LOW (19%)   1.000    44    0.06     2.0         nan       14.22      nan%
11    SCCB      BUY                8.7   LOW (23%)   0.117    14    0.02     2.0       24.98       25.24    +1.02%
12    DIT       NEUTRAL            1.7   LOW (24%)   1.000    37    0.05     1.9       84.80       94.74   +11.72%
13    CET       SELL              -9.1   LOW (24%)   1.000    74    0.11     1.7         nan       30.27      nan%
14    STRW      NEUTRAL            0.8   LOW (19%)   1.000    35    0.05     1.6         nan        9.89      nan%
15    ACCS      NEUTRAL            0.6   LOW (24%)   1.000    33    0.05     1.5         nan        9.40      nan%
16    ERC       NEUTRAL            2.8   LOW (24%)   1.000    23    0.03     1.5         nan        7.81      nan%
17    USAS      STRONG_SELL      -21.0   LOW (29%)   1.000   129    0.19     1.4         nan        0.57      nan%
18    UUU       BUY                6.0   LOW (24%)   1.000     7    0.01     1.3         nan        5.14      nan%
19    MXC       NEUTRAL            0.8   LOW (19%)   1.000    22    0.03     1.1         nan       11.70      nan%
20    WYY       NEUTRAL            0.6   LOW (24%)   1.000    21    0.03     1.0         nan        3.45      nan%
21    UMAC      SELL             -11.2   LOW (24%)   1.000    66    0.10     1.0         nan        9.54      nan%
22    INFU      NEUTRAL            0.7   LOW (19%)   1.000    20    0.03     1.0         nan       10.16      nan%
23    PTN       NEUTRAL            0.6   LOW (24%)   1.000    18    0.03     0.9         nan       10.43      nan%
24    NML       SELL             -10.2   LOW (24%)   1.000    58    0.08     0.8         nan        8.17      nan%
25    ELA       NEUTRAL            0.8   LOW (19%)   1.000    16    0.02     0.8         nan        4.61      nan%
26    NGD       STRONG_SELL      -21.0   LOW (33%)   1.000   129    0.19     0.7        9.08        6.61   -27.17%
27    IE        SELL              -9.1   LOW (24%)   1.000    51    0.07     0.7         nan        8.90      nan%
28    CEV       SELL              -9.2   LOW (29%)   1.000    57    0.08     0.6         nan        9.05      nan%
29    GIF       NEUTRAL            1.7   LOW (24%)   1.000     5    0.01     0.5         nan        4.46      nan%
30    COE       NEUTRAL            1.8   LOW (24%)   1.000     4    0.01     0.5       16.63       13.55   -18.51%
31    PCGPD     NEUTRAL           -0.1   LOW (44%)   0.072    10    0.01     0.4       18.75       18.22    -2.84%
32    REPX      NEUTRAL           -5.7   LOW (24%)   1.000    31    0.04     0.4         nan       25.36      nan%
33    CMT       NEUTRAL            0.7   LOW (19%)   1.000     4    0.01     0.3         nan       18.17      nan%
34    NRXS      SELL             -11.2   LOW (24%)   1.000    48    0.07     0.2         nan        3.55      nan%
35    ARMP      SELL             -10.3   LOW (29%)   1.000    51    0.07     0.2         nan        1.93      nan%
36    CTGO      SELL              -9.0   LOW (24%)   1.000    15    0.02    -0.8         nan       19.38      nan%
37    ERH       SELL              -9.0   LOW (24%)   1.000     7    0.01    -1.2         nan        7.64      nan%
38    EVV       SELL              -9.1   LOW (24%)   1.000    12    0.02    -1.0         nan        9.68      nan%
39    TMP       SELL              -9.1   LOW (24%)   1.000    25    0.04    -0.4         nan       43.35      nan%
40    SCCE      SELL              -9.9   LOW (24%)   1.000     4    0.01    -1.5       23.72       21.46    -9.49%
41    ELMD      SELL             -10.1   LOW (24%)   1.000     4    0.01    -1.5         nan       23.97      nan%
42    SIF       SELL             -10.1   LOW (24%)   1.000    27    0.04    -0.5         nan        3.47      nan%
43    OPHC      SELL             -10.1   LOW (24%)   1.000    23    0.03    -0.7         nan        4.47      nan%
44    PLMR      SELL             -10.1   LOW (24%)   1.000    23    0.03    -0.7         nan      120.35      nan%
45    PLMr      SELL             -10.1   LOW (24%)   1.000    22    0.03    -0.7         nan      120.35      nan%
46    UAMY      SELL             -10.2   LOW (24%)   1.000    32    0.05    -0.3         nan        7.59      nan%
47    PRK       SELL             -10.2   LOW (24%)   1.000    15    0.02    -1.0         nan      153.32      nan%
48    FAX       SELL              -9.1   LOW (29%)   1.000    29    0.04    -0.6         nan       14.69      nan%
49    FTF       SELL              -9.1   LOW (29%)   1.000    31    0.04    -0.5         nan        5.83      nan%
50    EIM       SELL              -9.2   LOW (29%)   1.000     1    0.00    -1.8         nan        9.48      nan%

====================================================================================================================
Summary: 0 STRONG_BUY, 4 BUY, 22 NEUTRAL, 45 SELL, 57 STRONG_SELL | Avg IC: 0.965 (128 IC-enabled)
Bayesian Ranking: Enabled (alpha=691 historical runs analyzed)
====================================================================================================================
