# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NASDAQ_Yahoo | End Date: 2026-04-13
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,PTF,2026-04-08,DarvasBox,98.66,86.9,1,88.7,68.0,59.9,61.6,3.5
2,FTXL,2026-04-08,DarvasBox,167.02,85.9,1,86.8,68.0,68.8,48.8,3.9
3,AIFD,2026-04-09,DarvasBox,42.22,82.3,1,88.4,68.0,35.9,50.0,11.3
4,EZPW,2026-04-08,DarvasBox,28.03,82.1,1,80.1,68.0,69.8,55.4,0.9
5,RDNW,2026-03-30,CupHandle,6.40,81.8,1,79.1,46.9,94.8,38.7,14.5
6,DCOM,2026-04-08,CupHandle,35.72,80.5,1,73.8,59.0,99.0,49.7,0.0
7,MCHP,2026-04-08,CupHandle,70.73,80.2,1,73.3,68.0,87.0,51.8,0.7
8,FOSL,2026-04-08,CupHandle,5.20,79.2,1,74.6,68.1,90.1,68.1,0.0
9,DSGN,2026-04-06,DarvasBox,12.53,78.8,1,83.0,53.1,60.9,36.6,0.0
10,VOLT,2026-04-09,DarvasBox,37.47,77.9,1,75.5,70.0,47.4,86.6,0.0
11,DGII,2026-04-08,CupHandle,54.16,76.7,1,72.4,71.3,79.2,47.1,0.0
12,RBCAA,2026-04-08,Spoon,73.04,76.4,1,71.4,59.4,85.4,51.5,6.5
13,ASTH,2026-04-07,CupHandle,27.75,75.7,1,73.3,67.9,87.5,52.6,5.7
14,SGC,2026-04-09,CupHandle,10.65,75.5,1,70.1,72.6,92.2,48.3,14.4
15,PIE,2026-04-13,DarvasBox,28.89,74.9,1,74.3,68.0,42.2,100.0,5.9
16,FRME,2026-04-08,Spoon,40.85,74.5,1,73.8,31.6,100.0,46.2,0.0
17,GRMN,2026-04-08,Spoon,252.79,73.5,1,71.0,68.0,70.8,58.7,0.5
18,TCBI,2026-04-08,CupHandle,100.42,72.5,1,68.1,56.6,90.6,41.6,0.0
19,CCBG,2026-04-07,CupHandle,45.31,71.7,1,64.5,62.7,100.0,55.5,0.0
20,MXL,2026-04-08,CupHandle,19.14,70.8,1,70.1,68.0,79.2,57.2,1.9
21,MNSB,2026-04-02,CupHandle,22.48,70.6,1,62.5,73.2,88.0,52.9,7.7
22,GCT,2026-04-08,CupHandle,45.55,70.5,1,75.4,46.6,57.8,63.2,0.7
23,RELL,2026-04-08,CupHandle,11.76,70.4,1,67.7,71.1,70.3,100.0,0.7
24,NNNN,2026-04-09,CupHandle,26.85,69.8,1,70.5,64.7,91.1,49.7,22.8
25,NBN,2026-04-09,CupHandle,124.52,69.4,1,64.9,60.1,99.5,50.4,0.0
26,PENN,2026-03-31,CupHandle,15.03,69.4,1,72.3,45.1,88.5,45.4,11.4
27,IAC,2026-03-26,CupHandle,39.88,69.3,1,63.2,66.6,87.0,38.3,0.0
28,ON,2026-04-08,CupHandle,68.38,68.9,1,69.4,68.0,65.6,49.7,1.2
29,BLBD,2026-04-09,CupHandle,63.63,68.0,1,65.6,68.0,82.8,56.1,1.0
30,ESSC,2026-04-13,CupHandle,27.78,67.7,1,66.9,72.9,50.0,29.3,14.2
31,ACMR,2026-04-08,CupHandle,46.14,67.5,1,64.1,68.0,99.0,47.2,4.3
32,SHPD,2026-04-02,CupHandle,22.22,67.4,1,73.0,46.2,50.0,51.3,18.2
33,ASND,2026-04-08,CupHandle,233.20,67.3,1,62.9,68.0,80.2,75.4,0.0
34,HOFT,2026-04-08,CupHandle,13.25,66.5,1,70.7,73.5,38.0,57.2,9.2
35,LANDO,2026-03-30,DarvasBox,20.65,66.2,1,79.3,74.5,0.5,55.0,12.4
36,MASS,2026-04-08,CupHandle,7.03,65.7,1,62.7,69.6,87.5,54.5,6.4
37,OS,2026-03-27,CupHandle,23.98,65.7,1,71.6,70.6,80.2,82.2,0.0
38,XP,2026-04-08,CupHandle,19.79,65.4,1,60.5,71.5,69.8,53.4,0.7
39,WHF,2026-04-13,CupHandle,7.68,65.1,1,67.9,70.1,31.2,49.7,5.7
40,VLGEA,2026-04-09,DarvasBox,44.83,65.1,1,80.6,46.1,67.7,59.2,5.5
41,FSUN,2026-04-09,CupHandle,37.78,65.0,1,57.6,69.8,75.5,63.4,2.9
42,UNFI,2026-03-26,CupHandle,45.12,64.9,1,71.1,52.8,52.6,42.1,0.0
43,PSNY,2026-04-13,CupHandle,20.40,64.7,1,66.8,44.0,97.9,57.2,11.4
44,OPRA,2026-04-08,CupHandle,15.60,64.6,1,71.9,48.3,76.6,63.2,11.4
45,MRTN,2026-04-09,CupHandle,13.95,63.9,1,68.5,24.6,99.5,48.2,2.9
46,AMTB,2026-04-09,CupHandle,24.22,63.0,1,64.4,43.9,92.2,47.7,0.0
47,SPRX,2026-03-25,CupHandle,39.56,63.0,1,61.3,68.0,72.9,42.7,0.7
48,FLXS,2026-04-06,CupHandle,46.52,62.9,1,59.7,68.0,81.2,75.2,19.9
49,GDEN,2026-04-13,CupHandle,28.16,62.8,1,72.1,74.3,39.6,69.3,0.0
50,GHRS,2026-04-13,CupHandle,16.34,62.7,1,64.9,68.8,55.7,34.6,0.7
