# Top 20 Chart Patterns - Last 20 Days
# Market: NYSE_Yahoo | End Date: 2026-06-02
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,IAE,2026-06-01,DarvasBox,8.74,1.94x,47.4,Box:[8.05-8.47] Ht:5.0% Vol:1.94x Boxes:5 Stop:8.05
2,GPRK,2026-06-01,DarvasBox,11.34,2.89x,56.9,Box:[9.48-10.51] Ht:9.8% Vol:2.89x Boxes:3 Stop:9.48
3,IHG,2026-05-20,CupHandle,155.10,1.49x,34.9,Depth:16.3% Handle:1.4% Vol:1.49x Target:179.67
4,MS,2026-05-29,CupHandle,208.00,1.70x,47.0,Depth:23.9% Handle:8.4% Vol:1.70x Target:255.95
5,MS,2026-05-28,CupHandle,203.79,1.31x,43.1,Depth:22.9% Handle:8.0% Vol:1.31x Target:249.06
6,URI,2026-05-29,CupHandle,995.67,1.31x,43.1,Depth:26.0% Handle:3.2% Vol:1.31x Target:1242.91
7,ATI,2026-05-29,DarvasBox,175.16,1.85x,46.5,Box:[146.34-171.11] Ht:14.5% Vol:1.85x Boxes:3 Stop:146.34
8,MGA,2026-06-02,CupHandle,68.11,1.34x,43.4,Depth:24.3% Handle:6.0% Vol:1.34x Target:84.61
9,TDI,2026-06-02,DarvasBox,46.47,4.68x,74.8,Box:[43.58-45.74] Ht:4.7% Vol:4.68x Boxes:6 Stop:43.58
10,TECK,2026-06-02,CupHandle,70.56,1.68x,46.8,Depth:28.2% Handle:5.0% Vol:1.68x Target:88.06
11,STXE,2026-05-27,DarvasBox,50.85,2.18x,44.8,Box:[46.05-49.71] Ht:7.4% Vol:2.18x Boxes:6 Stop:46.05
12,IHG,2026-05-27,CupHandle,159.17,2.53x,50.3,Depth:16.5% Handle:2.0% Vol:2.53x Target:184.23
13,TECK,2026-06-02,DarvasBox,70.56,1.60x,44.0,Box:[58.50-67.67] Ht:13.5% Vol:1.60x Boxes:3 Stop:58.50
14,HIW,2026-05-29,CupHandle,26.10,2.50x,55.0,Depth:21.3% Handle:3.0% Vol:2.50x Target:31.62
15,TECK,2026-05-19,CupHandle,59.38,1.31x,33.1,Depth:23.0% Handle:2.3% Vol:1.31x Target:72.68
16,ORCL,2026-05-28,CupHandle,203.70,1.35x,43.5,Depth:28.5% Handle:4.8% Vol:1.35x Target:257.33
17,VMI,2026-06-02,CupHandle,543.48,1.58x,45.8,Depth:25.6% Handle:8.8% Vol:1.58x Target:673.79
18,FCX,2026-06-02,CupHandle,71.72,1.63x,46.3,Depth:19.0% Handle:4.0% Vol:1.63x Target:83.64
19,TKR,2026-05-26,DarvasBox,127.42,1.66x,39.6,Box:[107.15-123.67] Ht:13.4% Vol:1.66x Boxes:4 Stop:107.15
20,IAE,2026-06-01,CupHandle,8.74,1.84x,48.4,Depth:14.5% Handle:6.8% Vol:1.84x Target:9.93
