# Top 20 Chart Patterns - Last 20 Days
# Market: NYSE_Yahoo | End Date: 2026-03-08
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,EHAB,2026-02-23,DarvasBox,13.60,31.09x,68.0,Box:[10.21-11.35] Ht:10.0% Vol:31.09x Boxes:2 Stop:10.21
2,NTR,2026-03-02,DarvasBox,75.74,2.24x,45.4,Box:[69.03-73.55] Ht:6.1% Vol:2.24x Boxes:3 Stop:69.03
3,TBN,2026-02-24,CupHandle,31.27,3.15x,51.5,Depth:24.2% Handle:6.6% Vol:3.15x Target:38.39
4,LHX,2026-03-02,DarvasBox,378.48,1.86x,41.6,Box:[336.55-369.59] Ht:8.9% Vol:1.86x Boxes:9 Stop:336.55
5,RYAM,2026-02-25,DarvasBox,10.23,9.37x,68.0,Box:[7.65-8.95] Ht:14.5% Vol:9.37x Boxes:3 Stop:7.65
6,INVX,2026-02-23,DarvasBox,27.17,3.82x,56.2,Box:[24.02-26.65] Ht:9.9% Vol:3.82x Boxes:4 Stop:24.02
7,KW,2026-02-17,DarvasBox,10.86,10.28x,68.0,Box:[9.75-10.09] Ht:3.4% Vol:10.28x Boxes:2 Stop:9.75
8,RTX,2026-03-02,DarvasBox,212.16,1.63x,39.3,Box:[193.08-206.48] Ht:6.5% Vol:1.63x Boxes:12 Stop:193.08
9,AGRO,2026-03-02,CupHandle,9.32,1.61x,41.1,Depth:24.8% Handle:8.8% Vol:1.61x Target:11.59
10,CRT,2026-03-05,CupHandle,9.50,1.73x,47.3,Depth:27.6% Handle:5.7% Vol:1.73x Target:12.11
11,TXO,2026-03-02,CupHandle,12.82,1.66x,41.6,Depth:22.3% Handle:6.9% Vol:1.66x Target:15.73
12,BP,2026-03-06,DarvasBox,40.44,2.39x,51.9,Box:[36.15-39.51] Ht:8.5% Vol:2.39x Boxes:5 Stop:36.15
13,AGRO,2026-03-05,CupHandle,9.70,3.09x,60.9,Depth:24.9% Handle:11.8% Vol:3.09x Target:11.98
14,CRT,2026-02-19,CupHandle,8.99,3.45x,54.5,Depth:19.7% Handle:11.3% Vol:3.45x Target:10.67
15,ZIM,2026-02-17,DarvasBox,27.85,11.91x,68.0,Box:[21.07-24.47] Ht:13.9% Vol:11.91x Boxes:2 Stop:21.07
16,OUT,2026-02-26,DarvasBox,28.52,2.08x,43.8,Box:[24.78-27.04] Ht:8.4% Vol:2.08x Boxes:4 Stop:24.78
17,EFXT,2026-02-26,DarvasBox,23.23,2.05x,43.5,Box:[17.09-19.65] Ht:13.0% Vol:2.05x Boxes:6 Stop:17.09
18,CF,2026-02-19,CupHandle,99.46,2.39x,43.9,Depth:20.1% Handle:5.6% Vol:2.39x Target:118.46
19,CF,2026-02-18,CupHandle,95.82,1.35x,33.5,Depth:20.6% Handle:6.7% Vol:1.35x Target:115.40
20,GPRK,2026-03-05,CupHandle,8.81,3.28x,62.8,Depth:20.9% Handle:7.2% Vol:3.28x Target:10.62
