# Top 20 Chart Patterns - Last 20 Days
# Market: NASDAQ_Yahoo | End Date: 2026-09-01
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,PPH,2026-08-19,DarvasBox,117.28,3.12x,49.2,Box:[107.70-114.57] Ht:6.0% Vol:3.12x Boxes:7 Stop:107.70
2,ARGX,2026-08-17,DarvasBox,987.84,2.37x,41.7,Box:[843.59-953.58] Ht:11.5% Vol:2.37x Boxes:9 Stop:843.59
3,WCBR,2026-08-13,DarvasBox,43.80,2.69x,44.9,Box:[35.21-41.01] Ht:14.2% Vol:2.69x Boxes:2 Stop:35.21
4,ETON,2026-08-14,DarvasBox,58.86,4.18x,59.8,Box:[43.49-50.18] Ht:13.3% Vol:4.18x Boxes:4 Stop:43.49
5,CIBR,2026-08-13,DarvasBox,102.20,1.69x,34.9,Box:[86.84-95.94] Ht:9.5% Vol:1.69x Boxes:11 Stop:86.84
6,KFFB,2026-08-25,DarvasBox,5.83,2.49x,47.9,Box:[5.44-5.65] Ht:3.7% Vol:2.49x Boxes:5 Stop:5.44
7,PCVX,2026-08-31,CupHandle,60.74,1.63x,46.3,Depth:25.4% Handle:1.9% Vol:1.63x Target:76.14
8,WAY,2026-08-25,CupHandle,24.21,1.73x,42.3,Depth:24.0% Handle:0.6% Vol:1.73x Target:29.65
9,NCIQ,2026-08-31,CupHandle,19.88,4.26x,72.6,Depth:25.0% Handle:1.7% Vol:4.26x Target:24.68
10,CANC,2026-08-19,DarvasBox,45.19,2.93x,47.3,Box:[39.93-42.63] Ht:6.3% Vol:2.93x Boxes:5 Stop:39.93
11,GNOM,2026-08-19,DarvasBox,66.48,2.21x,40.1,Box:[53.00-59.48] Ht:10.9% Vol:2.21x Boxes:4 Stop:53.00
12,ADAMN,2026-08-18,DarvasBox,24.91,2.80x,46.0,Box:[23.53-24.60] Ht:4.3% Vol:2.80x Boxes:6 Stop:23.53
13,CBOE,2026-08-20,CupHandle,294.11,1.57x,35.7,Depth:25.0% Handle:5.0% Vol:1.57x Target:370.01
14,STRC,2026-08-31,CupHandle,97.10,1.74x,47.4,Depth:28.3% Handle:0.2% Vol:1.74x Target:125.29
15,WVFC,2026-08-18,DarvasBox,19.99,2.73x,45.3,Box:[18.60-19.62] Ht:5.2% Vol:2.73x Boxes:2 Stop:18.60
16,OFED,2026-08-21,DarvasBox,21.75,43.61x,68.0,Box:[19.94-21.50] Ht:7.3% Vol:43.61x Boxes:4 Stop:19.94
17,CNXC,2026-08-31,CupHandle,30.10,1.46x,44.6,Depth:29.1% Handle:1.0% Vol:1.46x Target:37.94
18,CME,2026-08-31,CupHandle,285.50,1.86x,48.6,Depth:23.9% Handle:4.9% Vol:1.86x Target:354.17
19,NVCR,2026-08-19,CupHandle,18.20,2.37x,43.7,Depth:19.6% Handle:3.4% Vol:2.37x Target:21.47
20,XOMX,2026-08-18,CupHandle,50.53,1.53x,35.3,Depth:24.4% Handle:5.8% Vol:1.53x Target:61.56
