# Top 20 Chart Patterns - Last 20 Days
# Market: NASDAQ_Yahoo | End Date: 2026-07-23
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,BLFS,2026-07-22,DarvasBox,31.15,9.52x,78.0,Box:[26.98-30.00] Ht:10.1% Vol:9.52x Boxes:3 Stop:26.98
2,CDW,2026-07-09,CupHandle,140.21,1.50x,35.0,Depth:24.9% Handle:1.5% Vol:1.50x Target:172.42
3,GREEL,2026-07-09,DarvasBox,24.00,2.27x,40.7,Box:[21.30-22.95] Ht:7.2% Vol:2.27x Boxes:3 Stop:21.30
4,NFBK,2026-07-20,DarvasBox,15.31,3.01x,58.1,Box:[14.42-15.01] Ht:3.9% Vol:3.01x Boxes:7 Stop:14.42
5,FCBC,2026-07-22,DarvasBox,46.91,2.54x,53.4,Box:[43.05-45.84] Ht:6.1% Vol:2.54x Boxes:6 Stop:43.05
6,COWS,2026-07-16,DarvasBox,37.53,3.50x,58.0,Box:[35.84-36.98] Ht:3.1% Vol:3.50x Boxes:7 Stop:35.84
7,CVLG,2026-07-16,DarvasBox,48.21,2.28x,45.8,Box:[42.00-47.08] Ht:10.8% Vol:2.28x Boxes:5 Stop:42.00
8,HPK,2026-07-08,CupHandle,7.44,1.60x,36.0,Depth:30.0% Handle:13.3% Vol:1.60x Target:9.55
9,VGSR,2026-07-23,CupHandle,11.58,8.08x,80.0,Depth:13.7% Handle:0.9% Vol:8.08x Target:13.16
10,STBA,2026-07-23,DarvasBox,50.98,2.24x,50.4,Box:[47.90-50.40] Ht:5.0% Vol:2.24x Boxes:5 Stop:47.90
11,NVDU,2026-07-08,CupHandle,123.46,1.43x,34.3,Depth:28.4% Handle:6.2% Vol:1.43x Target:157.59
12,JBHT,2026-07-16,DarvasBox,298.41,2.45x,47.5,Box:[269.39-294.98] Ht:8.7% Vol:2.45x Boxes:5 Stop:269.39
13,RILYZ,2026-07-16,CupHandle,19.00,2.24x,47.4,Depth:17.9% Handle:5.7% Vol:2.24x Target:22.31
14,LCNB,2026-07-16,DarvasBox,19.78,2.91x,52.1,Box:[17.31-18.52] Ht:6.5% Vol:2.91x Boxes:4 Stop:17.31
15,ARGX,2026-07-23,CupHandle,924.60,1.89x,48.9,Depth:27.8% Handle:7.6% Vol:1.89x Target:1179.75
16,RILYZ,2026-07-17,CupHandle,19.00,2.55x,50.5,Depth:17.5% Handle:7.3% Vol:2.55x Target:22.24
17,COPP,2026-07-14,CupHandle,38.45,1.42x,39.2,Depth:21.4% Handle:10.5% Vol:1.42x Target:46.95
18,LOB,2026-07-23,CupHandle,42.65,2.43x,54.3,Depth:24.1% Handle:8.5% Vol:2.43x Target:52.58
19,NVCR,2026-07-08,CupHandle,17.37,1.43x,34.3,Depth:32.9% Handle:8.4% Vol:1.43x Target:22.35
20,MNDY,2026-07-20,CupHandle,76.75,1.50x,45.0,Depth:26.3% Handle:6.7% Vol:1.50x Target:97.24
