# Top 20 Chart Patterns - Last 20 Days
# Market: NYSE_Yahoo | End Date: 2026-07-27
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,WAB,2026-07-22,DarvasBox,290.00,4.18x,69.8,Box:[253.52-284.91] Ht:11.0% Vol:4.18x Boxes:7 Stop:253.52
2,DRH,2026-07-21,DarvasBox,12.97,1.60x,39.0,Box:[11.57-12.54] Ht:7.7% Vol:1.60x Boxes:5 Stop:11.57
3,CDW,2026-07-09,CupHandle,140.21,1.50x,35.0,Depth:24.9% Handle:1.5% Vol:1.50x Target:172.42
4,CDw,2026-07-09,CupHandle,140.21,1.50x,35.0,Depth:24.9% Handle:1.5% Vol:1.50x Target:172.42
5,BRC,2026-07-23,CupHandle,93.68,1.64x,46.4,Depth:23.4% Handle:7.5% Vol:1.64x Target:115.27
6,RBSPF,2026-07-21,CupHandle,9.16,3.30x,58.0,Depth:23.3% Handle:2.0% Vol:3.30x Target:11.21
7,F,2026-07-23,CupHandle,14.15,1.37x,43.7,Depth:21.2% Handle:3.0% Vol:1.37x Target:17.14
8,MTUS,2026-07-14,CupHandle,19.30,1.32x,33.2,Depth:23.7% Handle:2.3% Vol:1.32x Target:23.70
9,STRW,2026-07-17,DarvasBox,14.15,2.61x,49.1,Box:[13.23-13.91] Ht:4.9% Vol:2.61x Boxes:6 Stop:13.23
10,RBSpF,2026-07-21,CupHandle,9.16,3.30x,58.0,Depth:23.3% Handle:2.0% Vol:3.30x Target:11.21
11,TECK,2026-07-14,CupHandle,60.09,1.58x,35.8,Depth:23.0% Handle:14.0% Vol:1.58x Target:73.42
12,VVX,2026-07-21,CupHandle,78.87,1.96x,44.6,Depth:19.8% Handle:6.1% Vol:1.96x Target:94.08
13,CIB,2026-07-24,CupHandle,86.01,1.65x,46.5,Depth:24.7% Handle:4.9% Vol:1.65x Target:106.47
14,ALL,2026-07-07,DarvasBox,251.46,1.51x,33.1,Box:[202.21-227.62] Ht:11.2% Vol:1.51x Boxes:14 Stop:202.21
15,DGX,2026-07-23,DarvasBox,227.90,4.64x,74.4,Box:[201.00-219.20] Ht:8.3% Vol:4.64x Boxes:11 Stop:201.00
16,F,2026-07-22,CupHandle,14.42,1.32x,43.2,Depth:21.9% Handle:5.8% Vol:1.32x Target:17.53
17,MTUS,2026-07-23,CupHandle,20.64,2.50x,55.0,Depth:27.0% Handle:8.4% Vol:2.50x Target:25.89
18,DSMC,2026-07-15,DarvasBox,41.41,2.62x,44.2,Box:[39.26-40.97] Ht:4.2% Vol:2.62x Boxes:4 Stop:39.26
19,RBSPF,2026-07-15,CupHandle,8.83,1.94x,39.4,Depth:24.7% Handle:0.5% Vol:1.94x Target:11.05
20,ELAN,2026-07-21,CupHandle,25.48,1.46x,39.6,Depth:23.7% Handle:10.8% Vol:1.46x Target:31.49
