# Top 20 Chart Patterns - Last 20 Days
# Market: AMEX_Yahoo | End Date: 2026-02-10
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,LGCY,2026-01-26,CupHandle,10.29,1.83x,38.3,Depth:27.2% Handle:5.0% Vol:1.83x Target:13.26
2,GENC,2026-01-30,CupHandle,14.34,1.71x,37.1,Depth:13.8% Handle:8.2% Vol:1.71x Target:16.30
3,ESP,2026-02-09,CupHandle,60.14,2.56x,55.6,Depth:24.4% Handle:11.9% Vol:2.56x Target:71.72
4,ESP,2026-02-04,CupHandle,57.00,1.33x,38.3,Depth:29.5% Handle:3.7% Vol:1.33x Target:71.99
5,ACU,2026-01-22,Spoon,44.29,1.16x,26.6,Depth:18.4% Roundness:0.00 Vol:1.16x Days:78
6,ESP,2026-01-22,CupHandle,53.90,1.56x,35.6,Depth:29.5% Handle:5.9% Vol:1.56x Target:68.89
7,BCV,2026-01-29,CupHandle,24.24,1.83x,38.3,Depth:12.2% Handle:10.6% Vol:1.83x Target:27.16
8,CIX,2026-02-10,CupHandle,24.50,1.38x,43.8,Depth:14.4% Handle:5.3% Vol:1.38x Target:27.92
9,SIM,2026-01-29,CupHandle,31.50,5.00x,70.0,Depth:14.6% Handle:6.3% Vol:5.00x Target:35.77
10,UEC,2026-01-22,CupHandle,19.86,1.49x,34.9,Depth:33.6% Handle:2.6% Vol:1.49x Target:24.92
11,GGN,2026-01-21,CupHandle,5.36,1.57x,35.7,Depth:13.3% Handle:7.1% Vol:1.57x Target:6.06
12,BDL,2026-02-09,CupHandle,33.21,3.11x,61.1,Depth:18.8% Handle:7.5% Vol:3.11x Target:39.31
13,AULTpD,2026-02-02,CupHandle,23.42,1.85x,43.5,Depth:24.3% Handle:11.1% Vol:1.85x Target:29.27
14,ACU,2026-02-04,CupHandle,44.00,1.85x,43.5,Depth:18.9% Handle:11.0% Vol:1.85x Target:52.25
15,ACU,2026-01-22,CupHandle,44.29,1.42x,34.2,Depth:19.5% Handle:8.4% Vol:1.42x Target:52.87
16,TMP,2026-01-22,CupHandle,79.07,1.46x,34.6,Depth:17.2% Handle:5.2% Vol:1.46x Target:91.82
17,CIX,2026-02-09,CupHandle,24.08,1.33x,43.3,Depth:17.6% Handle:13.6% Vol:1.33x Target:28.43
18,LGCY,2026-02-04,CupHandle,10.26,2.01x,45.1,Depth:22.8% Handle:13.6% Vol:2.01x Target:12.61
19,CIX,2026-01-28,CupHandle,23.59,1.73x,37.3,Depth:16.3% Handle:2.5% Vol:1.73x Target:27.53
20,OPHC,2026-02-02,CupHandle,4.86,2.10x,46.0,Depth:18.2% Handle:1.1% Vol:2.10x Target:5.73
