# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NASDAQ_Yahoo | End Date: 2026-02-23
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,GLDD,2026-02-11,DarvasBox,16.95,78.6,2,84.4,74.3,38.0,40.7,0.0
2,GDFN,2026-02-23,CupHandle,27.45,78.3,2,84.8,69.4,50.0,75.0,19.5
3,EQFN,2026-02-06,DarvasBox,16.25,76.4,2,81.3,72.3,77.6,4.2,19.9
4,ORBT,2026-02-23,CupHandle,5.30,74.9,3,78.4,68.2,85.9,33.1,19.9
5,DVXB,2026-02-03,CupHandle,28.80,73.0,3,83.5,64.6,50.0,23.0,20.0
6,LINC,2026-02-13,DarvasBox,28.90,71.7,3,83.9,67.3,2.1,82.6,2.6
7,ROIV,2026-02-06,DarvasBox,25.82,70.7,3,91.7,56.7,18.2,37.3,1.0
8,BLTE,2026-02-03,DarvasBox,187.27,70.6,3,80.3,67.1,31.2,34.6,0.0
9,HYP,2026-02-03,CupHandle,27.11,69.0,3,76.9,73.1,50.0,20.4,13.9
10,MESO,2026-02-10,CupHandle,17.99,68.9,3,75.4,54.6,72.4,39.2,0.0
11,BIDU,2026-02-13,CupHandle,137.01,68.9,3,75.2,70.0,47.9,40.4,0.0
12,EYPT,2026-02-17,CupHandle,14.91,67.5,3,73.5,63.2,44.8,100.0,0.0
13,OPPJ,2026-02-06,DarvasBox,55.02,67.2,3,91.7,52.2,4.7,39.0,1.6
14,DXJS,2026-02-06,DarvasBox,55.02,66.9,3,91.7,52.1,4.2,36.6,1.7
15,STLY,2026-02-05,CupHandle,4.67,66.4,3,80.6,65.2,18.8,81.5,29.9
16,VALN,2026-02-23,CupHandle,11.44,66.3,3,74.4,74.1,35.9,82.0,20.6
17,SIMO,2026-02-04,DarvasBox,128.37,66.1,3,82.7,52.8,14.1,31.9,1.0
18,JOUT,2026-02-04,DarvasBox,49.52,64.9,4,81.5,49.4,19.3,53.8,7.4
19,MCW,2026-02-18,CupHandle,6.98,64.8,4,73.9,71.0,16.7,100.0,4.5
20,ASND,2026-02-20,CupHandle,225.00,64.7,4,65.2,81.4,67.7,48.2,0.0
21,PIE,2026-02-20,DarvasBox,27.65,63.7,4,74.3,73.1,5.7,100.0,6.4
22,ACNT,2026-02-03,DarvasBox,17.10,62.9,4,81.3,30.7,43.8,39.7,7.9
23,RAAQU,2026-02-23,CupHandle,11.10,62.9,4,69.2,74.2,50.0,100.0,28.9
24,QCMD,2026-02-05,CupHandle,26.98,62.6,4,77.8,52.2,50.0,4.8,20.6
25,RIGL,2026-02-20,CupHandle,35.46,62.3,4,76.6,10.8,94.3,52.3,0.0
26,CAKE,2026-02-17,CupHandle,62.56,62.1,4,73.9,72.0,1.0,81.7,0.0
27,CCNR,2026-02-23,DarvasBox,39.90,61.6,4,74.3,73.6,16.1,42.6,15.8
28,MAR,2026-02-10,DarvasBox,359.35,61.5,4,88.0,30.5,3.1,54.8,2.7
29,RPRX,2026-02-05,DarvasBox,44.10,61.1,4,82.8,34.3,13.5,33.1,0.0
30,ICCC,2026-02-20,CupHandle,6.42,61.0,4,64.2,70.1,86.5,38.1,16.5
31,DTCR,2026-02-12,DarvasBox,26.04,60.9,4,73.2,70.8,12.5,42.2,0.0
32,PRN,2026-02-06,CupHandle,201.63,60.8,4,71.2,83.5,16.7,37.0,15.7
33,BHFAN,2026-02-20,CupHandle,13.84,60.7,4,60.7,74.4,72.9,89.2,0.0
34,XRAY,2026-02-06,CupHandle,13.76,60.5,4,77.0,59.7,2.1,49.7,1.0
35,AIPO,2026-02-09,CupHandle,25.50,60.1,4,66.5,69.5,50.0,53.9,0.0
36,HROW,2026-02-20,CupHandle,52.00,60.1,4,66.0,63.4,65.6,47.9,1.0
37,KOID,2026-02-10,CupHandle,35.46,60.0,4,66.0,74.7,50.0,55.2,8.6
38,PRIM,2026-02-06,CupHandle,160.54,59.6,4,73.1,62.1,18.2,47.2,0.0
39,WING,2026-02-18,CupHandle,279.08,59.2,4,75.6,54.2,5.2,90.7,8.0
40,GDEN,2026-02-23,CupHandle,29.12,59.0,4,66.7,70.1,45.8,38.5,0.0
41,AAXJ,2026-02-11,DarvasBox,104.51,58.9,4,74.0,67.3,0.5,43.5,0.0
42,OVBC,2026-02-04,DarvasBox,42.56,58.5,4,73.0,30.3,74.5,55.5,17.6
43,PLTZ,2026-02-03,CupHandle,29.69,58.4,4,68.3,60.4,50.0,43.6,5.1
44,OPCH,2026-02-23,CupHandle,36.09,58.4,4,66.1,74.0,37.0,47.9,0.0
45,PALD,2026-02-09,CupHandle,26.13,58.3,4,68.1,68.8,50.0,54.8,28.0
46,UTMD,2026-02-20,CupHandle,67.82,58.2,4,69.3,66.5,24.0,100.0,16.8
47,SRBK,2026-02-03,DarvasBox,17.23,57.9,4,80.4,19.2,38.5,47.0,11.1
48,USCF,2026-02-11,DarvasBox,35.33,57.7,4,82.6,10.9,27.6,100.0,19.9
49,ABEO,2026-02-19,CupHandle,5.29,57.5,4,71.2,33.0,67.7,41.7,0.0
50,MCBK,2026-02-17,CupHandle,29.00,57.5,4,67.7,45.6,80.2,74.5,27.9
