# Top 20 Chart Patterns - Last 20 Days
# Market: Nasdaq_yahoo | End Date: 2026-02-06
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,QCMD,2026-02-04,CupHandle,24.74,11.49x,80.0,Depth:25.0% Handle:0.0% Vol:11.49x Target:30.73
2,DVXB,2026-02-03,CupHandle,28.80,1.43x,44.3,Depth:21.0% Handle:0.0% Vol:1.43x Target:34.32
3,GLIBA,2026-02-05,CupHandle,38.98,1.61x,46.1,Depth:22.3% Handle:0.3% Vol:1.61x Target:47.67
4,GLIBA,2026-02-04,CupHandle,39.56,1.41x,44.1,Depth:21.1% Handle:4.7% Vol:1.41x Target:47.66
5,QCMD,2026-02-03,CupHandle,25.14,2.40x,54.0,Depth:25.9% Handle:3.1% Vol:2.40x Target:31.39
6,QCMD,2026-02-05,CupHandle,26.98,28.43x,80.0,Depth:25.8% Handle:0.0% Vol:28.43x Target:33.22
7,INVA,2026-02-03,CupHandle,21.00,2.16x,51.6,Depth:19.9% Handle:2.4% Vol:2.16x Target:25.11
8,DAKT,2026-01-29,CupHandle,22.46,1.57x,40.7,Depth:25.0% Handle:3.3% Vol:1.57x Target:28.15
9,GLIBA,2026-02-03,CupHandle,38.73,1.95x,49.5,Depth:21.4% Handle:9.0% Vol:1.95x Target:46.94
10,GLIBK,2026-02-05,CupHandle,38.80,1.54x,45.4,Depth:20.0% Handle:2.8% Vol:1.54x Target:46.27
11,SNEX,2026-02-02,CupHandle,113.80,2.00x,50.0,Depth:26.3% Handle:2.3% Vol:2.00x Target:143.12
12,SNEX,2026-01-29,CupHandle,112.24,1.91x,44.1,Depth:25.8% Handle:3.3% Vol:1.91x Target:140.77
13,DAKT,2026-02-02,CupHandle,23.56,2.65x,56.5,Depth:24.6% Handle:7.2% Vol:2.65x Target:29.14
14,OVLY,2026-01-21,CupHandle,31.79,1.65x,36.5,Depth:17.6% Handle:1.1% Vol:1.65x Target:37.17
15,GLIBK,2026-02-04,CupHandle,39.10,2.50x,55.0,Depth:21.4% Handle:5.0% Vol:2.50x Target:47.22
16,OFLX,2026-02-02,CupHandle,35.53,2.13x,51.3,Depth:22.6% Handle:5.8% Vol:2.13x Target:42.92
17,SNEX,2026-02-04,CupHandle,117.37,2.85x,58.5,Depth:25.4% Handle:5.8% Vol:2.85x Target:145.33
18,FGBIP,2026-02-02,CupHandle,17.14,2.35x,53.5,Depth:19.3% Handle:6.7% Vol:2.35x Target:20.59
19,ZEUS,2026-01-20,CupHandle,49.17,1.77x,37.7,Depth:23.2% Handle:2.3% Vol:1.77x Target:57.32
20,CCFE,2026-01-21,CupHandle,28.39,6.05x,70.0,Depth:14.0% Handle:0.0% Vol:6.05x Target:32.37
