# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NYSE_Polygon | End Date: 2026-01-11
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,AIN,2026-01-08,CupHandle,55.24,73.7,3,76.0,69.8,68.8,54.7,2.2
2,SSL,2026-01-09,CupHandle,6.87,73.3,3,73.6,81.9,62.5,64.9,5.6
3,REVG,2026-01-08,CupHandle,66.15,72.3,3,76.3,50.4,85.9,65.0,0.0
4,RKT,2026-01-09,CupHandle,23.29,70.1,3,76.8,63.3,43.2,83.0,0.4
5,CLH,2026-01-09,CupHandle,253.42,68.8,3,71.6,64.1,73.4,66.7,0.9
6,BALL,2026-01-06,CupHandle,54.30,68.6,3,73.2,72.4,52.6,50.6,0.0
7,TPC,2026-01-06,CupHandle,71.14,68.6,3,67.1,69.0,96.4,55.9,0.0
8,NVGS,2026-01-07,CupHandle,18.48,68.6,3,70.6,70.2,68.2,66.0,0.0
9,SMFG,2026-01-09,CupHandle,20.20,68.0,3,72.3,71.9,53.1,58.5,0.0
10,BAP,2026-01-08,CupHandle,303.84,67.7,3,69.1,74.6,71.9,56.4,3.8
11,DIN,2025-12-29,CupHandle,32.48,67.6,3,73.1,72.8,45.3,55.7,0.0
12,WPP,2026-01-05,CupHandle,23.55,67.6,3,84.5,20.3,56.8,55.8,0.0
13,HLIO,2026-01-06,CupHandle,59.46,67.5,3,72.1,71.7,53.1,55.3,0.0
14,BTU,2026-01-09,CupHandle,33.80,66.8,3,70.9,68.4,59.4,65.9,0.7
15,IHS,2026-01-07,CupHandle,7.64,66.7,3,75.0,52.6,55.7,73.0,0.0
16,PEN,2026-01-06,CupHandle,316.97,65.9,3,70.2,54.3,79.2,73.5,0.0
17,TPVG,2025-12-31,CupHandle,6.54,65.7,3,68.7,68.8,74.5,36.7,0.0
18,ARR,2026-01-06,CupHandle,18.22,65.3,3,72.5,60.5,52.6,66.9,0.1
19,TPB,2026-01-09,CupHandle,109.97,64.8,4,72.4,66.3,46.9,46.1,0.0
20,LTM,2026-01-08,CupHandle,57.59,64.6,4,78.0,26.8,68.8,64.2,0.0
21,KNX,2026-01-07,CupHandle,55.14,64.6,4,64.0,70.4,88.5,62.4,0.0
22,VSH,2026-01-07,CupHandle,16.20,64.5,4,72.7,43.7,78.6,52.2,0.0
23,AXL,2026-01-06,CupHandle,7.05,64.3,4,69.1,68.8,58.9,59.6,1.9
24,SNDR,2026-01-06,CupHandle,28.56,64.0,4,66.6,62.7,86.5,44.3,0.0
25,JEF,2026-01-07,CupHandle,64.67,64.0,4,79.2,19.4,65.1,82.0,1.0
26,TEX,2026-01-08,CupHandle,58.66,63.9,4,69.1,49.5,84.9,65.3,0.0
27,HUN,2026-01-08,CupHandle,11.35,63.5,4,69.0,68.3,53.1,62.8,0.0
28,MSB,2025-12-22,CupHandle,35.84,63.5,4,79.3,47.0,32.3,44.1,7.9
29,USPH,2026-01-05,CupHandle,84.24,63.1,4,65.8,77.3,62.5,42.8,0.0
30,SWK,2026-01-08,CupHandle,81.49,63.1,4,72.0,71.7,27.1,56.4,0.0
31,BA,2026-01-07,CupHandle,228.12,63.0,4,70.2,66.8,49.5,62.4,6.5
32,BDX,2026-01-05,CupHandle,198.96,63.0,4,71.0,55.9,64.6,37.9,0.0
33,STLA,2025-12-22,CupHandle,11.08,62.9,4,65.2,59.9,91.1,51.9,0.0
34,STEM,2026-01-09,CupHandle,17.68,62.6,4,64.0,67.2,77.6,78.7,0.0
35,PM,2026-01-05,CupHandle,159.86,62.6,4,66.8,61.1,80.7,43.0,1.2
36,SFL,2026-01-09,CupHandle,8.30,62.4,4,68.6,67.4,52.6,55.8,0.0
37,SARO,2026-01-06,CupHandle,30.38,62.2,4,66.2,69.2,64.1,61.1,1.8
38,DOV,2026-01-06,CupHandle,203.50,62.1,4,67.2,64.5,68.2,44.8,0.0
39,HASI,2026-01-09,CupHandle,33.46,62.0,4,62.1,86.4,60.4,60.1,0.0
40,HBCP,2026-01-08,CupHandle,60.32,61.4,4,64.8,72.1,74.0,59.7,15.1
41,SUN,2026-01-08,Spoon,55.49,61.2,4,70.6,50.0,60.4,66.5,2.8
42,JKS,2026-01-08,CupHandle,26.83,60.9,4,67.5,56.0,60.4,88.2,0.0
43,AKA,2026-01-07,CupHandle,11.78,60.5,4,62.6,69.7,89.6,60.3,19.2
44,CYD,2026-01-09,CupHandle,41.61,60.3,4,74.3,30.0,59.9,75.0,1.0
45,TK,2026-01-07,CupHandle,9.69,60.3,4,66.6,66.4,55.7,54.0,0.0
46,BKKT,2026-01-05,CupHandle,14.79,60.2,4,64.5,69.2,68.2,71.1,12.2
47,SBH,2026-01-08,CupHandle,15.37,60.1,4,61.4,68.5,84.4,56.6,0.0
48,CMP,2026-01-06,CupHandle,22.68,60.0,4,72.1,56.2,38.5,40.8,0.0
49,MCS,2026-01-07,CupHandle,15.09,59.9,4,60.9,73.1,80.7,49.7,0.0
50,HCI,2026-01-05,CupHandle,181.46,59.6,4,70.6,38.7,73.4,46.4,0.0
