# Top 20 Chart Patterns - Last 20 Days
# Market: NYSE_Yahoo | End Date: 2026-03-22
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,DELL,2026-03-20,CupHandle,157.67,2.50x,55.0,Depth:28.7% Handle:5.0% Vol:2.50x Target:202.00
2,SO,2026-03-20,CupHandle,93.39,1.70x,47.0,Depth:12.5% Handle:9.8% Vol:1.70x Target:105.41
3,TS,2026-03-19,DarvasBox,56.07,2.20x,50.0,Box:[51.85-55.02] Ht:5.8% Vol:2.20x Boxes:4 Stop:51.85
4,CF,2026-03-03,DarvasBox,106.30,2.55x,43.5,Box:[93.64-105.23] Ht:11.0% Vol:2.55x Boxes:4 Stop:93.64
5,ELPC,2026-03-19,DarvasBox,11.89,3.27x,60.7,Box:[10.52-11.76] Ht:10.5% Vol:3.27x Boxes:5 Stop:10.52
6,AXR,2026-03-17,CupHandle,28.39,5.11x,80.0,Depth:18.9% Handle:5.9% Vol:5.11x Target:32.49
7,AMTB,2026-03-06,CupHandle,21.34,1.77x,37.7,Depth:26.6% Handle:3.0% Vol:1.77x Target:26.98
8,CTRA,2026-03-19,DarvasBox,33.90,1.74x,45.4,Box:[29.32-32.67] Ht:10.3% Vol:1.74x Boxes:2 Stop:29.32
9,TXO,2026-03-02,CupHandle,12.82,1.66x,36.6,Depth:22.3% Handle:6.9% Vol:1.66x Target:15.73
10,BP,2026-03-06,DarvasBox,40.44,2.39x,41.9,Box:[36.15-39.51] Ht:8.5% Vol:2.39x Boxes:5 Stop:36.15
11,TXO,2026-03-20,CupHandle,12.77,2.93x,59.3,Depth:24.1% Handle:13.0% Vol:2.93x Target:15.99
12,PUMP,2026-03-12,CupHandle,14.39,2.11x,46.1,Depth:26.9% Handle:6.8% Vol:2.11x Target:17.63
13,PDS,2026-03-19,DarvasBox,98.20,1.62x,44.2,Box:[85.27-92.36] Ht:7.7% Vol:1.62x Boxes:4 Stop:85.27
14,AMTB,2026-03-05,CupHandle,21.72,1.36x,33.6,Depth:26.0% Handle:6.2% Vol:1.36x Target:27.18
15,TTE,2026-03-19,DarvasBox,90.06,2.03x,48.3,Box:[76.56-82.21] Ht:6.9% Vol:2.03x Boxes:3 Stop:76.56
16,SPIR,2026-03-18,CupHandle,10.74,1.85x,48.5,Depth:28.5% Handle:9.7% Vol:1.85x Target:13.37
17,COP,2026-03-20,DarvasBox,126.92,3.27x,60.7,Box:[112.93-122.50] Ht:7.8% Vol:3.27x Boxes:1 Stop:112.93
18,RGR,2026-03-02,CupHandle,37.95,1.96x,39.6,Depth:25.3% Handle:5.2% Vol:1.96x Target:47.55
19,ANF,2026-03-03,CupHandle,99.22,1.91x,39.1,Depth:32.8% Handle:2.8% Vol:1.91x Target:131.17
20,SOBO,2026-03-13,CupHandle,33.49,1.53x,40.3,Depth:15.0% Handle:1.4% Vol:1.53x Target:37.92
