# Top 20 Chart Patterns - Last 20 Days
# Market: AMEX_Yahoo | End Date: 2026-02-25
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,BDL,2026-02-25,CupHandle,33.70,7.20x,80.0,Depth:21.7% Handle:0.0% Vol:7.20x Target:40.99
2,SIM,2026-02-20,CupHandle,32.48,3.39x,63.9,Depth:15.4% Handle:0.0% Vol:3.39x Target:37.23
3,BDL,2026-02-09,CupHandle,33.21,3.11x,51.1,Depth:18.7% Handle:7.6% Vol:3.11x Target:39.25
4,SCCF,2026-02-18,CupHandle,23.50,2.59x,50.9,Depth:12.5% Handle:8.5% Vol:2.59x Target:26.43
5,BKTI,2026-02-25,CupHandle,85.98,2.05x,50.5,Depth:30.0% Handle:14.3% Vol:2.05x Target:111.71
6,BDL,2026-02-18,CupHandle,33.95,1.85x,43.5,Depth:15.2% Handle:10.1% Vol:1.85x Target:38.90
7,SCCF,2026-02-23,CupHandle,23.55,1.49x,44.9,Depth:12.1% Handle:10.7% Vol:1.49x Target:26.36
8,ACU,2026-02-20,CupHandle,44.80,1.90x,49.0,Depth:21.2% Handle:14.2% Vol:1.90x Target:54.33
9,ESP,2026-02-09,DarvasBox,60.14,2.55x,43.5,Box:[51.86-56.10] Ht:7.6% Vol:2.55x Boxes:4 Stop:51.86
10,BHM,2026-02-17,CupHandle,10.82,4.71x,72.1,Depth:15.5% Handle:3.6% Vol:4.71x Target:12.28
11,ACU,2026-02-17,CupHandle,44.32,1.35x,38.5,Depth:19.0% Handle:6.6% Vol:1.35x Target:52.62
12,LGL,2026-02-20,CupHandle,7.39,1.67x,46.7,Depth:26.5% Handle:11.2% Vol:1.67x Target:9.36
13,CIX,2026-02-10,CupHandle,24.50,1.38x,33.8,Depth:14.4% Handle:5.3% Vol:1.38x Target:27.92
14,CIX,2026-02-13,CupHandle,24.58,1.40x,34.0,Depth:18.8% Handle:12.1% Vol:1.40x Target:29.27
15,LGCY,2026-02-13,CupHandle,11.55,4.89x,68.9,Depth:21.3% Handle:9.3% Vol:4.89x Target:13.70
16,ESP,2026-02-09,CupHandle,60.14,2.56x,45.6,Depth:24.4% Handle:11.9% Vol:2.56x Target:71.72
17,CKX,2026-02-20,CupHandle,11.99,4.48x,74.8,Depth:22.3% Handle:12.9% Vol:4.48x Target:14.48
18,CIX,2026-02-09,CupHandle,24.08,1.33x,33.3,Depth:16.4% Handle:14.9% Vol:1.33x Target:28.05
19,SIM,2026-02-10,CupHandle,30.75,3.20x,52.0,Depth:14.6% Handle:6.3% Vol:3.20x Target:35.02
20,CIX,2026-02-06,CupHandle,23.81,1.44x,34.4,Depth:18.5% Handle:9.1% Vol:1.44x Target:28.42
