# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NYSE_Yahoo | End Date: 2026-04-13
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,MAC,2026-04-10,DarvasBox,21.42,85.9,1,75.5,68.0,100.0,59.4,11.4
2,WSR,2026-04-09,DarvasBox,18.93,83.3,1,88.5,68.0,37.5,100.0,6.4
3,MCB,2026-04-09,CupHandle,90.06,79.4,1,68.0,74.2,99.0,62.6,0.0
4,TWN,2026-04-09,DarvasBox,72.06,78.7,1,83.1,68.0,31.2,84.5,10.0
5,AAMI,2026-04-08,DarvasBox,59.43,78.4,1,78.7,68.0,65.1,60.9,3.3
6,ETR,2026-03-27,DarvasBox,109.88,78.2,1,84.0,55.0,29.7,37.0,0.0
7,CTOS,2026-04-09,CupHandle,7.28,77.8,1,71.3,72.7,89.6,54.1,1.2
8,BWXT,2026-04-08,DarvasBox,231.78,77.0,1,76.3,68.0,61.5,48.2,0.0
9,GRMN,2026-04-08,Spoon,252.79,75.6,1,71.9,68.0,77.6,56.7,0.5
10,STZ,2026-04-09,CupHandle,163.07,74.6,1,71.1,68.0,58.3,73.8,0.0
11,TG,2026-04-07,CupHandle,8.38,74.3,1,68.4,67.6,81.2,61.0,0.0
12,CHH,2026-03-26,CupHandle,101.54,74.1,1,69.9,68.0,94.3,50.5,7.2
13,CTS,2026-04-09,CupHandle,53.39,72.8,1,71.6,68.0,65.1,67.2,2.0
14,DXYZ,2026-03-25,CupHandle,30.58,72.8,1,66.2,65.0,100.0,29.9,12.9
15,UGP,2026-03-31,DarvasBox,5.51,72.5,1,73.8,72.9,49.0,57.8,2.0
16,NIO,2026-04-10,CupHandle,6.50,71.8,1,64.0,65.0,100.0,53.1,11.4
17,SEG,2026-04-10,CupHandle,22.59,71.8,1,72.3,72.4,96.9,49.5,29.5
18,MXL,2026-04-08,CupHandle,19.14,71.5,1,70.1,68.0,83.3,56.8,1.9
19,KOF,2026-04-08,CupHandle,104.25,71.0,1,60.5,73.5,92.7,49.7,0.0
20,SMHI,2026-04-08,CupHandle,7.84,70.5,1,66.6,59.6,79.2,54.1,1.0
21,PEB,2026-03-31,CupHandle,12.63,70.1,1,62.4,73.7,94.3,63.9,0.0
22,NOK,2026-04-08,DarvasBox,9.44,70.0,1,77.1,66.7,25.5,73.0,2.9
23,AAP,2026-04-10,CupHandle,54.59,69.9,1,65.2,71.7,73.4,52.7,0.7
24,CMP,2026-03-31,CupHandle,23.35,69.7,1,63.4,73.4,87.0,31.6,0.7
25,COSO,2026-04-09,CupHandle,25.94,68.8,1,68.3,66.6,50.0,48.3,0.0
26,LION,2026-04-13,CupHandle,11.07,67.8,1,63.0,72.6,91.7,69.7,1.1
27,DLR,2026-04-09,CupHandle,188.15,67.3,1,62.6,68.0,92.7,58.7,0.1
28,TFX,2026-04-09,CupHandle,120.27,67.3,1,62.9,74.5,78.1,45.4,5.7
29,FN,2026-03-24,CupHandle,600.91,66.9,1,69.4,68.0,61.5,54.0,1.4
30,BLX,2026-03-31,CupHandle,51.08,66.8,1,66.7,74.6,51.6,39.1,0.4
31,ECVT,2026-03-24,DarvasBox,12.51,66.3,1,73.5,71.8,19.3,52.3,1.2
32,ASR,2026-03-25,Spoon,339.46,65.9,1,70.8,42.9,43.8,36.1,5.9
33,FLG,2026-03-24,CupHandle,13.14,65.3,1,58.2,67.4,98.4,43.3,0.0
34,ODC,2026-04-09,CupHandle,72.78,65.1,1,68.0,67.8,51.6,56.7,8.2
35,QUAD,2026-04-10,CupHandle,7.26,65.0,1,64.9,56.2,79.2,49.2,0.7
36,WHD,2026-04-09,CupHandle,53.95,64.9,1,58.9,58.6,97.9,62.7,0.0
37,LYV,2026-04-08,CupHandle,163.56,64.9,1,62.3,68.6,67.7,52.7,0.0
38,WT,2026-04-01,CupHandle,14.47,64.6,1,64.9,72.9,58.9,37.2,0.7
39,UNFI,2026-03-26,CupHandle,45.12,64.5,1,71.4,52.9,49.5,38.0,0.0
40,MLR,2026-04-09,CupHandle,48.38,64.1,1,68.8,68.0,26.6,56.5,0.7
41,TRN,2026-04-07,CupHandle,32.13,64.1,1,62.8,69.0,75.0,44.2,4.4
42,DSMC,2026-04-08,CupHandle,37.84,63.4,1,59.5,74.5,93.2,54.3,13.0
43,ARW,2026-04-08,CupHandle,154.98,63.1,1,66.9,68.0,52.6,73.6,5.7
44,OLN,2026-04-08,CupHandle,28.95,62.6,1,67.8,57.8,53.1,47.5,11.4
45,MTB,2026-04-07,CupHandle,212.11,62.6,1,60.0,46.8,98.4,43.1,0.1
46,CWAN,2026-04-08,CupHandle,24.02,62.3,1,63.7,64.9,81.2,47.7,0.0
47,AMTB,2026-04-09,CupHandle,24.22,62.1,1,64.3,44.0,88.0,46.1,0.0
48,GWW,2026-04-09,CupHandle,1172.21,61.1,1,59.4,68.0,61.5,52.0,3.9
49,SNDR,2026-03-24,CupHandle,25.27,61.1,1,61.3,36.9,100.0,51.9,0.0
50,CUBI,2026-04-09,CupHandle,74.95,61.1,1,60.5,39.8,100.0,50.4,0.0
