# Top 20 Chart Patterns - Last 20 Days
# Market: NASDAQ_Yahoo | End Date: 2026-06-22
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,BWFG,2026-06-09,DarvasBox,55.31,2.10x,39.0,Box:[46.92-53.86] Ht:12.9% Vol:2.10x Boxes:9 Stop:46.92
2,PCB,2026-06-18,DarvasBox,26.80,2.24x,50.4,Box:[23.26-25.15] Ht:7.5% Vol:2.24x Boxes:8 Stop:23.26
3,SUPP,2026-06-02,DarvasBox,84.92,2.29x,40.9,Box:[77.73-82.91] Ht:6.3% Vol:2.29x Boxes:6 Stop:77.73
4,CLDX,2026-06-16,CupHandle,32.32,1.40x,39.0,Depth:25.7% Handle:2.3% Vol:1.40x Target:40.04
5,TILE,2026-06-18,CupHandle,32.56,1.93x,49.3,Depth:24.6% Handle:1.5% Vol:1.93x Target:40.53
6,PLXS,2026-06-03,DarvasBox,287.55,1.79x,35.9,Box:[246.29-275.83] Ht:10.7% Vol:1.79x Boxes:8 Stop:246.29
7,CLDX,2026-06-15,CupHandle,32.12,1.41x,39.1,Depth:27.1% Handle:2.9% Vol:1.41x Target:40.41
8,FTC,2026-06-02,DarvasBox,187.44,2.01x,38.1,Box:[170.39-181.29] Ht:6.0% Vol:2.01x Boxes:9 Stop:170.39
9,VCEL,2026-06-17,CupHandle,39.13,1.40x,44.0,Depth:24.0% Handle:0.5% Vol:1.40x Target:48.27
10,PIE,2026-06-22,DarvasBox,34.30,3.69x,64.9,Box:[30.60-33.31] Ht:8.1% Vol:3.69x Boxes:5 Stop:30.60
11,HWAY,2026-06-22,CupHandle,39.32,8.89x,80.0,Depth:17.7% Handle:1.2% Vol:8.89x Target:46.05
12,SUPP,2026-06-02,CupHandle,84.92,2.35x,43.5,Depth:15.7% Handle:0.0% Vol:2.35x Target:97.44
13,HWBK,2026-06-17,DarvasBox,38.09,5.18x,78.0,Box:[34.66-37.30] Ht:7.1% Vol:5.18x Boxes:3 Stop:34.66
14,CARZ,2026-06-04,DarvasBox,120.78,2.47x,42.7,Box:[106.49-116.07] Ht:8.3% Vol:2.47x Boxes:8 Stop:106.49
15,SUPP,2026-06-11,CupHandle,83.97,12.03x,70.0,Depth:16.8% Handle:0.9% Vol:12.03x Target:97.60
16,AFSC,2026-06-16,DarvasBox,37.50,7.05x,73.0,Box:[34.28-36.33] Ht:5.6% Vol:7.05x Boxes:1 Stop:34.28
17,XCNY,2026-06-22,DarvasBox,34.41,3.86x,66.6,Box:[31.95-34.00] Ht:6.0% Vol:3.86x Boxes:3 Stop:31.95
18,JBLU,2026-06-15,CupHandle,5.36,1.87x,43.7,Depth:25.7% Handle:12.7% Vol:1.87x Target:6.70
19,CIVB,2026-06-09,CupHandle,26.48,1.75x,37.5,Depth:16.3% Handle:1.2% Vol:1.75x Target:30.69
20,PKOH,2026-06-18,DarvasBox,36.00,1.98x,47.8,Box:[31.21-35.01] Ht:10.9% Vol:1.98x Boxes:3 Stop:31.21
