# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NASDAQ_Polygon | End Date: 2026-01-26
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,FSUN,2026-01-22,CupHandle,39.93,82.1,2,77.8,87.4,74.0,61.6,0.0
2,CNTA,2026-01-21,CupHandle,23.23,79.1,2,77.5,65.8,89.1,77.8,0.0
3,BBGI,2026-01-26,CupHandle,5.58,78.4,2,73.3,74.9,95.8,91.6,2.7
4,OPCH,2026-01-13,CupHandle,34.75,73.3,3,72.4,87.7,55.7,67.8,1.0
5,LNSR,2026-01-23,CupHandle,12.51,73.1,3,75.9,69.9,78.1,49.3,13.8
6,COO,2026-01-12,CupHandle,83.23,72.8,3,72.4,74.3,77.1,58.5,0.0
7,WULF,2026-01-23,CupHandle,14.12,71.6,3,70.0,69.8,93.2,60.9,1.0
8,ADTN,2026-01-23,CupHandle,9.55,70.9,3,75.7,74.1,45.3,59.2,1.0
9,SIBN,2026-01-07,CupHandle,21.40,70.0,3,81.1,50.3,46.4,46.5,0.0
10,DXCM,2026-01-22,CupHandle,73.92,69.6,3,76.1,62.6,51.0,65.7,0.0
11,UPWK,2026-01-23,CupHandle,22.11,69.3,3,70.3,81.5,59.9,52.3,0.0
12,URNJ,2026-01-20,CupHandle,32.66,68.8,3,75.2,50.0,77.6,70.5,7.4
13,OFLX,2026-01-21,CupHandle,33.09,68.5,3,74.9,64.3,61.5,60.0,12.6
14,FSTR,2026-01-21,CupHandle,29.56,68.3,3,69.5,88.8,58.3,60.8,16.3
15,OVLY,2026-01-21,CupHandle,32.17,68.0,3,73.7,88.3,29.2,66.1,17.5
16,DVXP,2026-01-26,CupHandle,24.87,67.7,3,74.1,73.2,50.0,100.0,29.0
17,HTCO,2026-01-23,CupHandle,9.10,67.7,3,75.6,67.9,41.1,74.6,11.6
18,USAU,2026-01-23,CupHandle,22.60,67.5,3,79.5,67.8,7.3,67.4,0.0
19,JRVR,2026-01-12,CupHandle,6.59,67.1,3,72.7,69.0,53.1,48.0,0.0
20,BOOM,2026-01-15,CupHandle,8.61,66.9,3,73.7,65.7,51.0,62.2,5.0
21,SHLS,2026-01-16,CupHandle,9.27,66.6,3,74.9,48.3,69.8,48.3,0.0
22,GSM,2026-01-15,CupHandle,5.31,66.4,3,69.1,69.9,65.6,67.1,0.0
23,FVCB,2026-01-12,CupHandle,13.97,66.2,3,67.8,73.8,82.8,48.6,13.5
24,CZR,2026-01-15,CupHandle,25.35,66.0,3,77.9,50.4,41.1,56.4,0.0
25,ZEUS,2026-01-20,CupHandle,49.17,66.0,3,81.9,24.5,60.4,60.1,5.0
26,ENGN,2026-01-22,CupHandle,10.64,65.7,3,69.8,67.4,51.0,100.0,0.0
27,CADL,2026-01-16,CupHandle,6.40,65.6,3,73.3,71.0,31.8,66.3,0.0
28,VEON,2026-01-22,CupHandle,55.28,65.6,3,76.3,28.9,89.1,53.5,4.9
29,CPSS,2026-01-13,CupHandle,9.40,65.5,3,76.7,58.2,44.8,61.0,16.6
30,NVTS,2026-01-13,CupHandle,9.46,65.0,3,68.7,72.4,58.9,62.6,2.0
31,ICHR,2026-01-13,CupHandle,26.13,65.0,4,75.5,68.6,18.2,86.7,8.5
32,FUSB,2026-01-23,CupHandle,14.50,64.9,4,70.8,70.4,59.9,68.2,19.6
33,INDB,2026-01-22,CupHandle,80.54,64.6,4,66.2,89.4,43.8,61.1,0.0
34,WSTL,2026-01-20,CupHandle,6.12,64.6,4,67.9,54.9,99.5,71.9,16.8
35,INTW,2026-01-09,CupHandle,64.35,64.6,4,80.6,30.0,50.0,88.4,14.0
36,PPTA,2026-01-22,CupHandle,34.85,64.4,4,69.5,65.8,60.4,58.1,0.0
37,RUSHB,2026-01-21,CupHandle,60.73,64.3,4,71.6,59.7,67.7,59.5,14.8
38,ULCC,2026-01-16,CupHandle,5.27,64.0,4,73.2,61.8,41.1,56.5,0.0
39,AMAL,2026-01-22,CupHandle,38.44,63.8,4,76.4,72.3,0.5,62.3,0.7
40,MCHPP,2026-01-20,CupHandle,65.27,63.8,4,76.4,35.1,50.0,100.0,0.0
41,SWBI,2026-01-26,CupHandle,11.19,63.8,4,71.5,66.8,42.7,56.0,0.0
42,ABEO,2026-01-15,CupHandle,5.45,63.6,4,69.5,51.4,81.2,52.9,0.0
43,NN,2026-01-22,CupHandle,17.01,63.3,4,74.2,67.7,16.7,71.3,0.0
44,MDRR,2026-01-13,CupHandle,13.04,63.3,4,73.8,55.5,51.6,81.2,20.2
45,NTLA,2026-01-20,CupHandle,12.83,63.2,4,70.1,50.0,77.1,75.6,9.0
46,FIP,2026-01-21,CupHandle,5.99,62.9,4,76.7,37.9,50.0,59.9,0.0
47,HTLD,2026-01-06,CupHandle,10.40,62.8,4,75.4,73.9,4.7,41.9,1.0
48,PONY,2026-01-13,CupHandle,15.72,62.5,4,68.9,72.0,46.9,45.4,0.0
49,DCTH,2026-01-12,CupHandle,10.29,62.3,4,67.5,63.5,66.1,53.9,0.0
50,ICFI,2026-01-22,CupHandle,95.96,62.0,4,70.3,70.0,33.9,59.6,0.0
