# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: AMEX_Yahoo | End Date: 2026-02-10
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,GENC,2026-01-30,CupHandle,14.34,59.6,4,68.3,78.5,25.0,73.7,14.1
2,ESP,2026-02-09,CupHandle,60.14,58.1,4,69.7,81.0,2.1,80.1,16.1
3,BCV,2026-01-29,CupHandle,24.24,55.5,4,61.7,62.9,73.4,63.8,16.7
4,CIX,2026-02-10,CupHandle,24.50,54.5,4,63.6,69.7,49.0,53.4,19.3
5,UEC,2026-01-22,CupHandle,19.86,53.8,4,68.2,69.0,8.3,39.1,2.0
6,GGN,2026-01-21,CupHandle,5.36,52.3,4,64.7,74.2,12.0,41.1,0.0
7,BDL,2026-02-09,CupHandle,33.21,52.2,4,68.7,27.3,76.6,40.4,21.8
8,AULTpD,2026-02-02,CupHandle,23.42,51.9,4,66.1,24.9,99.0,24.9,19.8
9,ACU,2026-02-04,CupHandle,44.00,51.1,4,65.8,51.9,42.7,50.8,18.2
10,LGCY,2026-02-04,CupHandle,10.26,49.1,4,52.9,70.7,79.7,52.8,12.5
11,OPHC,2026-02-04,CupHandle,4.95,47.5,4,67.7,52.8,2.1,55.1,12.4
12,RLGT,2026-02-09,CupHandle,7.04,47.2,4,59.6,78.5,0.5,84.3,9.0
13,CNL,2026-01-21,CupHandle,15.90,47.2,4,58.9,87.9,1.0,43.6,8.3
14,SIM,2026-02-10,CupHandle,30.75,44.8,4,61.7,42.2,53.6,40.8,23.9
15,TMP,2026-01-30,CupHandle,80.12,44.2,4,60.9,60.5,1.0,86.1,5.6
16,SCCF,2026-01-22,CupHandle,23.64,43.0,4,63.2,47.6,26.6,23.7,19.5
17,GTE,2026-01-26,CupHandle,5.46,41.1,4,59.1,62.3,2.6,41.1,1.0
18,EVI,2026-01-30,CupHandle,25.70,38.9,4,63.6,2.5,67.7,39.1,18.1
19,PRK,2026-02-03,CupHandle,171.21,29.4,4,53.2,39.1,7.3,59.7,7.4
