# Top 20 Chart Patterns - Last 20 Days
# Market: Nasdaq_yahoo | End Date: 2026-02-05
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,DVXB,2026-02-03,CupHandle,28.80,1.43x,44.3,Depth:21.0% Handle:0.0% Vol:1.43x Target:34.32
2,GLIBA,2026-02-05,CupHandle,38.98,1.61x,46.1,Depth:22.3% Handle:0.3% Vol:1.61x Target:47.67
3,GLIBA,2026-02-04,CupHandle,39.56,1.41x,44.1,Depth:21.1% Handle:4.7% Vol:1.41x Target:47.66
4,JOUT,2026-02-02,CupHandle,47.36,1.43x,44.3,Depth:21.3% Handle:12.6% Vol:1.43x Target:56.95
5,FRST,2026-01-21,CupHandle,14.02,2.21x,42.1,Depth:24.1% Handle:1.3% Vol:2.21x Target:17.03
6,FSUN,2026-01-22,CupHandle,39.93,1.61x,36.1,Depth:25.4% Handle:2.1% Vol:1.61x Target:50.12
7,INVA,2026-02-03,CupHandle,21.00,2.16x,51.6,Depth:19.9% Handle:2.4% Vol:2.16x Target:25.11
8,ZEUS,2026-01-20,CupHandle,49.17,1.77x,37.7,Depth:23.2% Handle:2.3% Vol:1.77x Target:57.32
9,GLIBA,2026-02-03,CupHandle,38.73,1.95x,49.5,Depth:21.4% Handle:9.0% Vol:1.95x Target:46.94
10,SNEX,2026-02-02,CupHandle,113.80,2.00x,50.0,Depth:26.3% Handle:2.3% Vol:2.00x Target:143.12
11,GLIBK,2026-02-05,CupHandle,38.80,1.54x,45.4,Depth:20.0% Handle:2.8% Vol:1.54x Target:46.27
12,SNEX,2026-01-29,CupHandle,112.24,1.91x,44.1,Depth:25.8% Handle:3.3% Vol:1.91x Target:140.77
13,SHLS,2026-01-16,CupHandle,9.27,1.83x,38.3,Depth:21.8% Handle:7.2% Vol:1.83x Target:11.29
14,SNEX,2026-02-04,CupHandle,117.37,2.85x,58.5,Depth:25.4% Handle:5.8% Vol:2.85x Target:145.33
15,ADTN,2026-01-23,CupHandle,9.55,1.60x,36.0,Depth:24.7% Handle:1.7% Vol:1.60x Target:11.88
16,GLIBK,2026-02-04,CupHandle,39.10,2.50x,55.0,Depth:21.4% Handle:5.0% Vol:2.50x Target:47.22
17,DAKT,2026-01-29,CupHandle,22.46,1.57x,40.7,Depth:25.0% Handle:3.3% Vol:1.57x Target:28.15
18,CIZN,2026-02-03,CupHandle,8.99,3.03x,60.3,Depth:23.3% Handle:0.0% Vol:3.03x Target:10.95
19,FGBIP,2026-02-02,CupHandle,17.14,2.35x,53.5,Depth:19.3% Handle:6.7% Vol:2.35x Target:20.59
20,OVLY,2026-01-21,CupHandle,31.79,1.65x,36.5,Depth:17.6% Handle:1.1% Vol:1.65x Target:37.17
