# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NYSE_Polygon | End Date: 2026-01-05
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,LTM,2026-01-05,CupHandle,56.77,79.2,2,77.2,74.3,85.9,49.5,0.0
2,WPP,2026-01-05,CupHandle,23.55,78.0,2,84.5,48.8,71.4,56.4,0.0
3,BA,2026-01-02,CupHandle,227.77,75.8,2,76.1,73.6,79.7,41.2,3.7
4,KEX,2026-01-05,CupHandle,117.15,74.1,3,71.6,87.8,71.4,45.9,0.0
5,SSL,2026-01-02,CupHandle,6.66,74.1,3,72.0,69.4,94.3,61.2,0.0
6,SNDR,2025-12-19,CupHandle,27.01,73.8,3,79.2,50.7,82.8,40.0,0.0
7,DIN,2025-12-29,CupHandle,32.48,72.9,3,73.1,88.9,50.5,51.8,0.0
8,AX,2026-01-05,CupHandle,89.50,72.4,3,72.1,72.9,81.8,48.5,0.0
9,MUR,2025-12-16,CupHandle,31.23,71.1,3,72.6,69.0,81.8,32.5,0.0
10,CRL,2025-12-19,CupHandle,197.06,70.5,3,71.8,66.4,87.0,35.7,0.0
11,WHD,2026-01-05,CupHandle,49.69,68.1,3,71.7,63.2,76.6,42.6,0.0
12,MEC,2025-12-19,CupHandle,17.33,67.6,3,80.8,28.4,68.2,54.6,0.0
13,DAN,2025-12-19,CupHandle,23.73,67.4,3,72.1,65.8,68.2,33.5,0.0
14,MATV,2025-12-19,CupHandle,12.49,67.0,3,68.4,66.2,87.5,40.7,0.0
15,BKKT,2026-01-05,CupHandle,14.79,66.8,3,64.5,77.3,90.1,59.6,3.0
16,DOV,2026-01-05,CupHandle,202.27,66.6,3,74.3,53.8,65.6,44.9,0.0
17,GRDN,2025-12-19,CupHandle,31.54,66.4,3,77.6,37.3,69.8,45.3,0.0
18,ARR,2026-01-02,CupHandle,18.09,65.7,3,69.8,72.0,60.9,40.2,0.0
19,STLA,2025-12-22,CupHandle,11.08,65.1,3,65.2,69.4,91.1,44.2,0.0
20,QXO,2026-01-05,CupHandle,23.30,64.7,4,67.4,68.1,67.2,75.3,0.0
21,UAN,2025-12-30,CupHandle,98.27,64.6,4,60.2,88.3,97.9,58.5,16.4
22,QTWO,2025-12-19,CupHandle,74.14,64.5,4,77.9,31.6,72.4,25.4,0.0
23,CLDT,2025-12-19,CupHandle,6.99,64.5,4,68.1,74.9,59.4,45.0,0.0
24,KNF,2025-12-16,CupHandle,76.22,63.9,4,75.9,43.6,57.8,40.5,0.0
25,MSB,2025-12-22,CupHandle,35.84,63.4,4,79.3,32.6,44.8,85.2,10.2
26,BDX,2026-01-05,CupHandle,198.96,63.1,4,71.0,48.9,78.1,33.3,0.0
27,NU,2026-01-05,CupHandle,17.94,62.5,4,64.6,74.9,69.3,48.7,0.0
28,JKS,2026-01-02,CupHandle,27.94,62.4,4,66.3,63.8,76.6,46.7,0.0
29,BROS,2025-12-18,CupHandle,64.97,62.4,4,67.2,62.9,74.0,40.2,0.0
30,HLN,2025-12-23,Spoon,10.11,62.4,4,70.5,53.0,72.9,25.1,0.0
31,SOBO,2025-12-30,CupHandle,28.40,62.3,4,68.4,57.8,61.5,82.1,0.0
32,BHC,2025-12-23,CupHandle,7.32,62.2,4,66.8,67.7,64.6,50.6,0.0
33,IRS,2025-12-18,CupHandle,15.57,61.9,4,67.6,42.8,99.5,46.0,0.0
34,SON,2026-01-05,CupHandle,45.64,61.8,4,63.3,69.9,84.9,42.2,1.8
35,USPH,2026-01-05,CupHandle,84.24,61.3,4,65.8,60.0,75.5,59.5,0.0
36,CTO,2025-12-18,CupHandle,18.52,60.8,4,65.5,73.9,58.3,36.5,0.0
37,CPAY,2025-12-16,CupHandle,312.42,60.7,4,74.7,29.8,72.4,29.1,0.0
38,PFSI,2025-12-19,CupHandle,134.62,60.5,4,66.6,56.6,80.7,26.5,0.0
39,CHCT,2025-12-19,CupHandle,15.94,59.7,4,61.7,72.5,79.7,34.4,0.0
40,AAMI,2026-01-05,CupHandle,49.28,58.7,4,66.6,48.3,81.2,36.6,0.0
41,FNB,2025-12-19,CupHandle,17.76,58.1,4,69.2,34.2,81.2,45.8,0.0
42,JEF,2025-12-19,CupHandle,61.95,58.1,4,71.3,30.0,79.2,29.0,0.0
43,HRTG,2025-12-19,CupHandle,28.96,57.7,4,61.3,57.9,92.7,41.4,0.0
44,SYF,2025-12-19,CupHandle,84.68,57.6,4,64.6,55.6,77.1,32.6,0.0
45,TDF,2026-01-02,CupHandle,11.68,57.6,4,58.6,73.1,81.2,56.6,1.8
46,PLNT,2025-12-19,CupHandle,111.38,57.0,4,58.3,68.5,91.1,40.5,0.0
47,GNL,2025-12-17,CupHandle,8.55,56.9,4,64.2,67.3,50.0,53.5,0.0
48,PIPR,2026-01-05,CupHandle,366.06,56.9,4,63.1,63.3,66.7,43.3,0.0
49,HGTY,2025-12-30,CupHandle,13.41,56.6,4,72.7,28.1,56.8,55.4,0.0
50,MATX,2025-12-18,CupHandle,127.54,56.6,4,67.0,48.9,68.2,25.7,0.0
