# Top 20 Chart Patterns - Last 20 Days
# Market: NASDAQ_Yahoo | End Date: 2026-02-22
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,GLDD,2026-02-11,DarvasBox,16.95,12.66x,68.0,Box:[14.60-16.72] Ht:12.7% Vol:12.66x Boxes:5 Stop:14.60
2,EQFN,2026-02-06,DarvasBox,16.25,4.68x,64.8,Box:[15.50-16.00] Ht:3.1% Vol:4.68x Boxes:2 Stop:15.50
3,ORBT,2026-02-10,CupHandle,5.18,2.16x,41.6,Depth:33.3% Handle:4.2% Vol:2.16x Target:6.83
4,GDFN,2026-02-20,CupHandle,27.95,2.39x,53.9,Depth:19.8% Handle:0.0% Vol:2.39x Target:33.15
5,LINC,2026-02-13,DarvasBox,28.90,3.35x,56.5,Box:[25.27-28.22] Ht:10.5% Vol:3.35x Boxes:3 Stop:25.27
6,DVXB,2026-02-03,CupHandle,28.80,1.43x,34.3,Depth:21.0% Handle:0.0% Vol:1.43x Target:34.32
7,BLTE,2026-02-03,DarvasBox,187.27,2.06x,38.6,Box:[148.10-170.24] Ht:13.0% Vol:2.06x Boxes:4 Stop:148.10
8,QCMD,2026-02-04,CupHandle,24.74,11.49x,70.0,Depth:25.0% Handle:0.0% Vol:11.49x Target:30.73
9,HYP,2026-02-03,CupHandle,27.11,3.71x,57.1,Depth:20.9% Handle:6.6% Vol:3.71x Target:32.68
10,MESO,2026-02-10,CupHandle,17.99,1.51x,35.1,Depth:20.2% Handle:4.5% Vol:1.51x Target:21.56
11,BIDU,2026-02-13,CupHandle,137.01,1.37x,38.7,Depth:21.6% Handle:4.6% Vol:1.37x Target:166.85
12,OVBC,2026-02-04,DarvasBox,42.56,2.19x,39.9,Box:[38.38-41.77] Ht:8.1% Vol:2.19x Boxes:3 Stop:38.38
13,EYPT,2026-02-17,CupHandle,14.91,7.88x,80.0,Depth:28.9% Handle:5.6% Vol:7.88x Target:18.84
14,OPPJ,2026-02-06,DarvasBox,55.02,5.84x,68.0,Box:[49.62-52.30] Ht:5.1% Vol:5.84x Boxes:8 Stop:49.62
15,STLY,2026-02-05,CupHandle,4.67,30.00x,70.0,Depth:22.1% Handle:0.0% Vol:30.00x Target:5.68
16,SIMO,2026-02-04,DarvasBox,128.37,3.15x,49.5,Box:[107.27-123.30] Ht:13.0% Vol:3.15x Boxes:3 Stop:107.27
17,JOUT,2026-02-04,DarvasBox,49.52,2.58x,43.8,Box:[41.21-48.14] Ht:14.4% Vol:2.58x Boxes:3 Stop:41.21
18,MCW,2026-02-18,CupHandle,6.98,37.23x,80.0,Depth:23.0% Handle:4.4% Vol:37.23x Target:8.36
19,ASND,2026-02-20,CupHandle,225.00,1.33x,43.3,Depth:15.7% Handle:9.5% Vol:1.33x Target:259.91
20,PIE,2026-02-20,DarvasBox,27.65,19.14x,78.0,Box:[25.30-27.13] Ht:6.7% Vol:19.14x Boxes:2 Stop:25.30
