# Top 20 Chart Patterns - Last 20 Days
# Market: AMEX_Yahoo | End Date: 2026-03-12
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,INTT,2026-02-27,DarvasBox,11.65,5.59x,68.0,Box:[9.35-10.88] Ht:14.1% Vol:5.59x Boxes:2 Stop:9.35
2,BDL,2026-02-25,CupHandle,33.70,7.20x,70.0,Depth:18.1% Handle:0.0% Vol:7.20x Target:39.77
3,UUU,2026-03-10,CupHandle,5.59,3.82x,68.2,Depth:29.2% Handle:10.7% Vol:3.82x Target:7.09
4,SIM,2026-02-20,CupHandle,32.48,3.39x,53.9,Depth:15.4% Handle:0.0% Vol:3.39x Target:37.23
5,ISOU,2026-03-05,CupHandle,10.87,1.42x,39.2,Depth:29.9% Handle:14.7% Vol:1.42x Target:13.93
6,BDL,2026-03-10,CupHandle,33.74,1.30x,43.0,Depth:15.5% Handle:11.7% Vol:1.30x Target:38.78
7,ACU,2026-02-24,Spoon,44.98,0.78x,22.8,Depth:19.7% Roundness:0.00 Vol:0.78x Days:102
8,AULTPD,2026-03-06,CupHandle,22.48,1.63x,41.3,Depth:18.4% Handle:0.0% Vol:1.63x Target:26.53
9,ISOU,2026-03-02,CupHandle,11.92,1.37x,38.7,Depth:32.2% Handle:15.0% Vol:1.37x Target:15.33
10,NML,2026-02-27,DarvasBox,10.22,1.77x,35.7,Box:[9.62-9.94] Ht:3.2% Vol:1.77x Boxes:7 Stop:9.62
11,EGG,2026-03-12,CupHandle,5.35,1.62x,46.2,Depth:32.8% Handle:9.9% Vol:1.62x Target:7.06
12,ACU,2026-02-26,CupHandle,45.88,1.46x,34.6,Depth:21.8% Handle:9.5% Vol:1.46x Target:55.72
13,LGL,2026-02-20,CupHandle,7.39,1.67x,36.7,Depth:26.5% Handle:11.2% Vol:1.67x Target:9.36
14,CMCL,2026-03-03,CupHandle,29.79,1.52x,40.2,Depth:24.8% Handle:12.5% Vol:1.52x Target:37.37
15,BKTI,2026-03-02,CupHandle,86.62,1.36x,38.6,Depth:28.1% Handle:7.4% Vol:1.36x Target:110.04
16,BHM,2026-03-03,CupHandle,11.70,4.18x,66.8,Depth:15.4% Handle:9.7% Vol:4.18x Target:13.14
17,AXIL,2026-03-02,CupHandle,7.10,2.47x,49.7,Depth:27.3% Handle:0.0% Vol:2.47x Target:8.71
18,ACU,2026-02-20,CupHandle,44.80,1.90x,39.0,Depth:20.6% Handle:14.7% Vol:1.90x Target:53.97
19,BHM,2026-02-26,CupHandle,10.24,1.35x,33.5,Depth:14.3% Handle:10.6% Vol:1.35x Target:11.57
20,CKX,2026-02-20,CupHandle,11.99,4.48x,64.8,Depth:20.8% Handle:14.1% Vol:4.48x Target:14.26
