# Top 20 Chart Patterns - Last 20 Days
# Market: NASDAQ_Yahoo | End Date: 2026-05-05
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,NWPX,2026-04-30,DarvasBox,98.34,3.21x,60.1,Box:[80.10-89.24] Ht:10.2% Vol:3.21x Boxes:5 Stop:80.10
2,KNSA,2026-04-28,DarvasBox,53.85,5.04x,73.0,Box:[44.40-50.03] Ht:11.3% Vol:5.04x Boxes:13 Stop:44.40
3,CECO,2026-04-28,CupHandle,74.29,5.42x,75.0,Depth:23.4% Handle:7.3% Vol:5.42x Target:89.60
4,ECPG,2026-04-15,DarvasBox,78.69,3.35x,51.5,Box:[65.01-74.58] Ht:12.8% Vol:3.35x Boxes:4 Stop:65.01
5,LINC,2026-05-05,DarvasBox,45.09,3.61x,64.1,Box:[39.09-42.85] Ht:8.8% Vol:3.61x Boxes:4 Stop:39.09
6,KALV,2026-04-29,DarvasBox,26.67,54.37x,73.0,Box:[19.10-21.31] Ht:10.3% Vol:54.37x Boxes:3 Stop:19.10
7,TEKX,2026-05-05,DarvasBox,55.13,2.32x,51.2,Box:[48.86-53.02] Ht:7.8% Vol:2.32x Boxes:4 Stop:48.86
8,NYAX,2026-04-23,DarvasBox,66.24,35.52x,68.0,Box:[53.05-61.65] Ht:14.0% Vol:35.52x Boxes:3 Stop:53.05
9,RELY,2026-04-15,CupHandle,18.86,1.66x,36.6,Depth:26.4% Handle:1.8% Vol:1.66x Target:23.20
10,MCHPP,2026-04-20,CupHandle,69.50,8.13x,70.0,Depth:27.0% Handle:2.1% Vol:8.13x Target:86.56
11,WAVE,2026-04-16,CupHandle,6.73,1.32x,33.2,Depth:28.3% Handle:5.6% Vol:1.32x Target:8.51
12,ELVA,2026-04-23,CupHandle,10.15,1.44x,34.4,Depth:26.6% Handle:14.1% Vol:1.44x Target:12.70
13,ROKU,2026-04-17,CupHandle,116.19,1.31x,33.1,Depth:20.6% Handle:8.0% Vol:1.31x Target:136.51
14,CTNM,2026-04-15,CupHandle,13.25,3.41x,54.1,Depth:33.6% Handle:7.6% Vol:3.41x Target:17.60
15,ROKU,2026-05-01,CupHandle,123.58,3.32x,63.2,Depth:30.6% Handle:11.1% Vol:3.32x Target:158.28
16,SILC,2026-04-17,DarvasBox,28.70,3.73x,55.3,Box:[19.85-23.10] Ht:14.1% Vol:3.73x Boxes:2 Stop:19.85
17,KVHI,2026-04-16,DarvasBox,9.68,1.78x,35.8,Box:[8.31-9.41] Ht:11.7% Vol:1.78x Boxes:5 Stop:8.31
18,RAPP,2026-04-17,CupHandle,39.71,5.75x,70.0,Depth:25.3% Handle:6.4% Vol:5.75x Target:48.24
19,INVE,2026-04-24,DarvasBox,4.37,6.06x,68.0,Box:[3.50-4.08] Ht:14.2% Vol:6.06x Boxes:1 Stop:3.50
20,CRUS,2026-04-16,DarvasBox,164.84,1.68x,34.8,Box:[140.20-154.90] Ht:9.5% Vol:1.68x Boxes:5 Stop:140.20
