# Top 20 Chart Patterns - Last 20 Days
# Market: NYSE_Yahoo | End Date: 2026-07-21
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,CVLG,2026-07-16,DarvasBox,48.21,2.28x,50.8,Box:[42.00-47.08] Ht:10.8% Vol:2.28x Boxes:5 Stop:42.00
2,RBSPF,2026-07-21,CupHandle,9.16,3.30x,63.0,Depth:19.0% Handle:2.4% Vol:3.30x Target:10.83
3,DRH,2026-07-21,DarvasBox,12.97,1.60x,44.0,Box:[11.57-12.54] Ht:7.7% Vol:1.60x Boxes:5 Stop:11.57
4,MTUS,2026-07-14,CupHandle,19.30,1.32x,38.2,Depth:23.7% Handle:2.3% Vol:1.32x Target:23.70
5,HXL,2026-07-20,CupHandle,105.73,2.22x,52.2,Depth:21.9% Handle:7.8% Vol:2.22x Target:127.11
6,MSM,2026-07-01,DarvasBox,123.34,3.61x,54.1,Box:[114.05-119.13] Ht:4.3% Vol:3.61x Boxes:4 Stop:114.05
7,CLW,2026-07-21,CupHandle,16.86,2.11x,51.1,Depth:26.0% Handle:11.0% Vol:2.11x Target:20.99
8,AOD,2026-07-21,CupHandle,10.60,1.85x,48.5,Depth:16.1% Handle:0.9% Vol:1.85x Target:12.28
9,RBSPF,2026-07-15,CupHandle,8.83,1.94x,44.4,Depth:20.5% Handle:0.5% Vol:1.94x Target:10.67
10,HXL,2026-07-06,CupHandle,101.30,1.60x,36.0,Depth:22.0% Handle:10.8% Vol:1.60x Target:122.76
11,NNN,2026-07-16,DarvasBox,49.22,2.96x,57.6,Box:[46.29-48.15] Ht:3.9% Vol:2.96x Boxes:8 Stop:46.29
12,ELAN,2026-07-21,CupHandle,25.48,1.46x,44.6,Depth:23.7% Handle:10.8% Vol:1.46x Target:31.49
13,EPR,2026-07-09,CupHandle,59.57,1.33x,33.3,Depth:19.1% Handle:2.4% Vol:1.33x Target:70.91
14,EPR,2026-07-16,CupHandle,62.26,1.95x,49.5,Depth:19.5% Handle:5.9% Vol:1.95x Target:73.90
15,WT,2026-07-09,CupHandle,19.86,1.43x,34.3,Depth:24.6% Handle:2.3% Vol:1.43x Target:24.16
16,BCS,2026-07-14,CupHandle,27.53,1.36x,38.6,Depth:26.7% Handle:2.7% Vol:1.36x Target:34.74
17,ALL,2026-07-07,DarvasBox,251.46,1.51x,33.1,Box:[202.21-227.62] Ht:11.2% Vol:1.51x Boxes:14 Stop:202.21
18,YETI,2026-07-16,CupHandle,51.06,1.54x,45.4,Depth:29.6% Handle:7.5% Vol:1.54x Target:65.75
19,USB,2026-07-16,CupHandle,64.01,1.49x,44.9,Depth:21.1% Handle:3.0% Vol:1.49x Target:77.42
20,MUFG,2026-07-14,DarvasBox,22.50,1.62x,39.2,Box:[19.73-21.17] Ht:6.8% Vol:1.62x Boxes:11 Stop:19.73
