# Top 20 Chart Patterns - Last 20 Days
# Market: NYSE_Yahoo | End Date: 2026-07-30
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,ELAN,2026-07-29,CupHandle,26.39,1.76x,47.6,Depth:26.4% Handle:7.9% Vol:1.76x Target:33.36
2,KO,2026-07-28,DarvasBox,88.27,2.22x,50.2,Box:[80.83-85.68] Ht:5.7% Vol:2.22x Boxes:10 Stop:80.83
3,SMHI,2026-07-30,DarvasBox,9.54,7.02x,78.0,Box:[7.63-8.51] Ht:10.3% Vol:7.02x Boxes:4 Stop:7.63
4,BBVA,2026-07-30,DarvasBox,27.60,2.88x,56.8,Box:[24.90-26.40] Ht:5.7% Vol:2.88x Boxes:9 Stop:24.90
5,ELAN,2026-07-21,CupHandle,25.48,1.46x,39.6,Depth:23.8% Handle:10.7% Vol:1.46x Target:31.55
6,RBSPF,2026-07-21,CupHandle,9.16,3.30x,58.0,Depth:23.3% Handle:2.0% Vol:3.30x Target:11.21
7,RBSpF,2026-07-21,CupHandle,9.16,3.30x,58.0,Depth:23.3% Handle:2.0% Vol:3.30x Target:11.21
8,ELAN,2026-07-30,CupHandle,26.46,1.94x,49.4,Depth:24.9% Handle:11.7% Vol:1.94x Target:32.88
9,IEX,2026-07-30,DarvasBox,233.77,2.60x,54.0,Box:[215.51-230.18] Ht:6.4% Vol:2.60x Boxes:3 Stop:215.51
10,MCS,2026-07-30,DarvasBox,29.69,3.42x,62.2,Box:[21.71-24.89] Ht:12.8% Vol:3.42x Boxes:4 Stop:21.71
11,JHX,2026-07-21,CupHandle,24.90,1.64x,41.4,Depth:26.5% Handle:0.1% Vol:1.64x Target:31.17
12,CIB,2026-07-28,DarvasBox,89.07,2.03x,48.3,Box:[77.94-87.68] Ht:11.1% Vol:2.03x Boxes:10 Stop:77.94
13,RCL,2026-07-27,CupHandle,305.04,1.55x,45.5,Depth:23.8% Handle:15.0% Vol:1.55x Target:377.34
14,J,2026-07-28,CupHandle,140.61,1.53x,45.3,Depth:21.8% Handle:5.1% Vol:1.53x Target:170.03
15,GFL,2026-07-29,CupHandle,40.24,1.85x,48.5,Depth:15.8% Handle:1.8% Vol:1.85x Target:46.48
16,OBK,2026-07-24,DarvasBox,53.62,2.07x,43.7,Box:[50.03-52.90] Ht:5.4% Vol:2.07x Boxes:5 Stop:50.03
17,TXO,2026-07-13,CupHandle,13.13,1.82x,38.2,Depth:12.1% Handle:4.5% Vol:1.82x Target:14.68
18,THG,2026-07-30,DarvasBox,230.09,1.82x,46.2,Box:[203.36-225.29] Ht:9.7% Vol:1.82x Boxes:12 Stop:203.36
19,FCF,2026-07-29,DarvasBox,21.79,2.10x,49.0,Box:[20.43-21.41] Ht:4.6% Vol:2.10x Boxes:5 Stop:20.43
20,CIB,2026-07-24,CupHandle,86.01,1.65x,41.5,Depth:24.7% Handle:4.9% Vol:1.65x Target:106.47
