# Top 20 Chart Patterns - Last 20 Days
# Market: NASDAQ_Yahoo | End Date: 2026-06-16
# Format: Rank,Symbol,Date,Pattern,Price,VolumeRatio,Score,Details
#
1,SUPP,2026-06-02,DarvasBox,84.92,2.29x,40.9,Box:[77.73-82.91] Ht:6.3% Vol:2.29x Boxes:6 Stop:77.73
2,OPHC,2026-06-15,DarvasBox,5.75,10.35x,78.0,Box:[5.36-5.61] Ht:4.4% Vol:10.35x Boxes:3 Stop:5.36
3,SUPP,2026-06-02,CupHandle,84.92,2.35x,43.5,Depth:15.7% Handle:0.0% Vol:2.35x Target:97.44
4,CLDX,2026-06-16,CupHandle,32.32,1.40x,44.0,Depth:25.7% Handle:2.3% Vol:1.40x Target:40.04
5,SUPP,2026-06-11,CupHandle,83.97,12.03x,80.0,Depth:16.8% Handle:0.9% Vol:12.03x Target:97.60
6,FTC,2026-06-02,DarvasBox,187.44,2.01x,38.1,Box:[170.39-181.29] Ht:6.0% Vol:2.01x Boxes:9 Stop:170.39
7,WLFC,2026-06-11,CupHandle,191.84,1.40x,44.0,Depth:13.4% Handle:7.9% Vol:1.40x Target:216.62
8,CLDX,2026-06-15,CupHandle,32.12,1.41x,44.1,Depth:27.1% Handle:2.9% Vol:1.41x Target:40.41
9,AFSC,2026-06-16,DarvasBox,37.50,7.05x,78.0,Box:[34.28-36.33] Ht:5.6% Vol:7.05x Boxes:1 Stop:34.28
10,AMLX,2026-06-04,CupHandle,14.31,2.14x,41.4,Depth:23.7% Handle:4.3% Vol:2.14x Target:17.68
11,COPP,2026-06-01,CupHandle,43.63,1.37x,33.7,Depth:25.1% Handle:3.8% Vol:1.37x Target:54.09
12,HCSG,2026-06-10,CupHandle,21.31,1.36x,38.6,Depth:19.5% Handle:7.6% Vol:1.36x Target:25.50
13,COPP,2026-06-15,CupHandle,43.78,1.74x,47.4,Depth:24.9% Handle:6.7% Vol:1.74x Target:54.12
14,COPP,2026-06-02,CupHandle,45.70,1.48x,34.8,Depth:22.3% Handle:4.5% Vol:1.48x Target:54.68
15,TRVI,2026-06-16,CupHandle,15.40,3.35x,63.5,Depth:30.6% Handle:3.0% Vol:3.35x Target:19.74
16,OSW,2026-06-11,CupHandle,24.81,1.48x,44.8,Depth:22.2% Handle:7.0% Vol:1.48x Target:30.26
17,NFXS,2026-06-16,CupHandle,19.81,2.60x,56.0,Depth:26.0% Handle:1.2% Vol:2.60x Target:24.90
18,ACOG,2026-05-29,CupHandle,6.19,3.47x,54.7,Depth:26.9% Handle:11.5% Vol:3.47x Target:7.84
19,GRIN,2026-06-11,CupHandle,32.31,7.19x,80.0,Depth:16.6% Handle:6.1% Vol:7.19x Target:37.53
20,QQQA,2026-06-15,DarvasBox,85.93,3.61x,64.1,Box:[72.75-82.86] Ht:12.2% Vol:3.61x Boxes:5 Stop:72.75
