# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: NYSE_Yahoo | End Date: 2026-07-02
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,FIHL,2026-06-26,DarvasBox,24.74,96.2,1,93.1,65.0,100.0,67.3,11.4
2,ACA,2026-06-22,DarvasBox,144.90,91.1,1,87.8,55.0,100.0,53.5,0.7
3,VNOpN,2026-06-16,CupHandle,17.53,87.6,1,100.0,65.0,100.0,91.1,20.3
4,NXG,2026-06-30,DarvasBox,64.71,84.9,1,89.0,68.0,41.1,99.0,0.7
5,AXP,2026-06-15,Spoon,335.38,83.8,1,100.0,72.5,35.6,57.0,22.9
6,CW,2026-06-18,DarvasBox,771.93,80.3,1,84.2,66.4,39.1,48.0,13.4
7,HBB,2026-06-29,CupHandle,21.74,77.2,1,75.2,74.2,71.4,57.4,13.7
8,UBS,2026-06-16,CupHandle,50.46,77.1,1,76.0,73.7,47.4,34.3,0.0
9,MSM,2026-07-01,DarvasBox,123.34,76.6,1,83.2,68.0,16.1,76.2,0.0
10,PSTL,2026-06-26,DarvasBox,24.88,76.6,1,86.2,26.9,44.8,69.8,0.0
11,LION,2026-06-16,DarvasBox,16.36,75.9,1,90.5,15.0,72.9,40.2,12.1
12,GUT,2026-06-23,DarvasBox,6.48,75.5,1,87.4,36.2,39.1,46.3,0.0
13,AGM,2026-06-23,CupHandle,189.38,75.3,1,77.4,73.2,28.6,48.9,0.0
14,RMT,2026-06-30,DarvasBox,14.64,75.2,1,80.2,68.2,32.8,63.2,0.0
15,IFF,2026-06-30,CupHandle,79.22,73.6,1,69.2,68.0,80.7,60.3,0.6
16,NNI,2026-06-26,CupHandle,134.41,72.8,1,64.4,64.6,99.5,48.9,0.0
17,SAN,2026-07-01,CupHandle,13.81,72.6,1,73.5,69.6,41.7,48.6,0.0
18,LNG,2026-06-17,CupHandle,231.41,72.5,1,68.1,74.4,56.8,65.2,0.0
19,ING,2026-06-18,CupHandle,31.36,72.4,1,76.3,74.2,34.9,40.9,11.4
20,DT,2026-06-26,CupHandle,43.37,71.4,1,72.4,68.0,79.7,69.1,5.7
21,CPA,2026-06-18,CupHandle,151.04,71.4,1,77.7,39.7,58.3,38.1,0.0
22,PPG,2026-06-23,CupHandle,117.70,70.9,1,70.9,69.4,44.8,49.0,0.0
23,AAP,2026-06-26,CupHandle,62.18,70.7,1,76.9,39.0,51.6,54.4,0.0
24,CRBG,2026-06-15,CupHandle,29.46,70.7,1,71.4,58.3,61.5,34.6,5.7
25,PD,2026-06-23,CupHandle,8.49,70.5,1,74.3,71.6,54.7,48.9,11.4
26,TFX,2026-07-02,CupHandle,133.99,70.4,1,67.7,70.9,74.5,47.3,0.0
27,BOW,2026-06-29,CupHandle,30.01,70.1,1,74.8,63.5,45.3,54.9,0.8
28,TSQ,2026-07-02,CupHandle,7.25,69.9,1,68.3,73.8,51.0,87.0,5.2
29,DV,2026-06-26,CupHandle,10.82,69.8,1,67.7,73.5,50.5,96.9,5.7
30,NXDT,2026-06-29,CupHandle,5.17,69.8,1,72.3,74.8,59.9,68.9,0.0
31,UVE,2026-06-23,CupHandle,39.97,69.7,1,70.4,61.9,60.9,66.9,0.1
32,URI,2026-06-25,DarvasBox,1139.51,69.4,1,76.3,45.8,56.8,48.4,0.5
33,MUFG,2026-06-22,CupHandle,20.86,69.3,1,74.1,71.8,26.6,40.4,11.4
34,PXED,2026-06-26,CupHandle,33.11,69.0,1,70.0,69.0,50.0,65.6,1.0
35,TEI,2026-06-30,CupHandle,6.74,68.9,1,62.5,62.9,92.7,64.0,0.0
36,SARO,2026-06-25,CupHandle,27.79,68.4,1,64.4,72.9,83.3,53.0,6.1
37,GE,2026-06-25,CupHandle,371.36,67.9,1,73.8,55.0,46.4,47.4,0.0
38,ARMK,2026-06-30,DarvasBox,56.90,67.9,1,72.1,35.5,89.6,58.2,0.0
39,LGI,2026-07-01,CupHandle,18.55,67.1,1,68.7,74.6,49.5,49.1,9.5
40,LII,2026-07-01,CupHandle,571.08,67.1,1,66.9,65.6,51.0,66.6,0.0
41,CUZ,2026-06-26,CupHandle,29.96,66.9,1,74.8,58.8,24.5,44.5,0.0
42,HRL,2026-06-30,CupHandle,24.82,66.7,1,71.8,45.0,51.5,52.8,11.4
43,GD,2026-06-18,CupHandle,350.01,66.6,1,69.2,68.0,28.6,52.4,0.2
44,AMG,2026-06-30,CupHandle,338.40,66.4,1,73.7,39.5,45.8,48.0,11.4
45,PSBD,2026-06-25,CupHandle,10.80,66.1,1,71.5,43.7,90.6,99.7,11.4
46,FG,2026-06-16,CupHandle,27.15,66.1,1,66.0,61.8,53.1,34.4,14.3
47,YETI,2026-06-18,CupHandle,48.97,65.7,1,76.0,19.0,74.0,36.6,0.0
48,GKOS,2026-07-02,CupHandle,148.34,65.6,1,71.3,35.8,85.9,55.9,0.0
49,KWR,2026-06-30,CupHandle,158.87,65.6,1,68.0,65.7,42.7,59.5,0.0
50,RVLV,2026-06-26,CupHandle,23.76,65.5,1,76.9,15.0,67.7,46.0,14.3
