# Top 50 Chart Patterns - Composite Scoring (1-Month Optimized)
# Market: AMEX_Yahoo | End Date: 2026-02-08
# Format: Rank,Symbol,Date,Pattern,Price,Composite,Tier,Pattern,Momentum,Volatility,Volume,Risk
#
1,AULTpD,2026-02-02,CupHandle,23.42,60.8,4,63.9,69.2,96.4,22.7,20.7
2,GENC,2026-01-30,CupHandle,14.34,60.0,4,68.3,75.9,33.3,68.0,14.4
3,ACU,2026-02-04,CupHandle,44.00,54.6,4,65.8,71.4,34.9,42.2,18.2
4,ESP,2026-02-04,CupHandle,57.00,52.3,4,69.1,62.3,3.6,72.3,16.1
5,LGCY,2026-02-04,CupHandle,10.26,50.4,4,52.9,73.9,82.8,51.7,12.6
6,BTG,2026-01-20,CupHandle,4.91,49.5,4,63.5,69.6,9.9,47.9,2.0
7,UEC,2026-01-22,CupHandle,19.86,48.8,4,68.2,51.9,5.7,42.3,2.0
8,GGN,2026-01-21,CupHandle,5.36,47.7,4,64.7,57.6,11.5,44.6,0.0
9,TMP,2026-01-30,CupHandle,80.12,46.7,4,60.9,71.2,3.6,73.4,7.9
10,BCV,2026-01-29,CupHandle,24.24,46.0,4,61.7,26.2,75.5,66.9,16.7
11,OPHC,2026-02-04,CupHandle,4.95,45.8,4,67.7,47.3,1.6,54.5,13.5
12,CIX,2026-02-03,CupHandle,24.07,45.2,4,54.1,72.5,49.0,55.1,19.4
13,SCCF,2026-01-22,CupHandle,23.64,43.8,4,63.2,49.2,28.1,25.0,19.4
14,IE,2026-01-20,CupHandle,17.98,42.8,4,67.6,24.4,19.8,46.1,4.0
15,CNL,2026-01-21,CupHandle,15.90,42.4,4,58.9,70.3,0.5,45.5,7.8
16,RLGT,2026-02-06,CupHandle,7.15,40.5,4,52.3,74.7,16.1,62.6,0.0
17,EVI,2026-01-30,CupHandle,25.70,40.1,4,63.6,0.6,76.0,45.6,18.0
18,SIM,2026-02-03,CupHandle,31.48,38.9,4,61.7,11.8,66.1,44.0,23.9
19,GTE,2026-01-26,CupHandle,5.46,38.8,4,59.1,55.1,1.0,41.3,1.0
20,PRK,2026-02-03,CupHandle,171.21,36.9,4,53.2,63.5,10.9,63.3,7.3
21,BHB,2026-01-20,CupHandle,32.29,33.9,4,56.6,43.2,7.8,46.1,3.8
