Symbol,Exchange,Date,IC_5d,IC_10d,IC_20d,FFT_Freq,FFT_Power,FFT_Stability,Pattern_Score,Pattern_Age,Pattern_Type,Vol_20d,ATR_20d,Volume_ZScore,Volume_Ratio_5_20,RSI_14d,RSI_Slope,MACD_Hist,MA_Ratio_50_200,Price_vs_MA50,Kurtosis_20d,Skew_20d,Current_Price,Price_Change_5d,Price_Change_20d,Num_Signals,IC_Enabled_Count,Baseline_Score,ML_Score,Final_Score,Fundamental_Score
AACB,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.52331,0.0,2.500275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096808,-0.193045,0,0,,,,50.0
AACBR,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.02643,0.0,3.049885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.99999,21.874998,0,0,,,,50.0
AACBU,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.024015,0.0,3.542228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.614436,0.942446,0,0,,,,50.0
AACG,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.052375,0.0,0.75063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.263159,11.856824,0,0,,,,50.0
AACI,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.5345,0.0,1.538865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487331,0,0,,,,50.0
AACIU,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.041065,0.0,0.004706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135601,-0.306997,0,0,,,,50.0
AADR,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.87994,0.0,0.80209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.208991,-11.77495,0,0,,,,50.0
AAGR,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.00049,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
AAGRW,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0052,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
AAL,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.68345,0.0,1.203201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.304194,-24.423633,0,0,,,,50.0
AALG,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.110505,0.0,2.029468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.475926,-44.949691,0,0,,,,50.0
AAME,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.157685,0.0,0.633781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.599279,5.390626,0,0,,,,50.0
AAOI,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,11.962515,0.0,1.183603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.961131,111.583449,0,0,,,,50.0
AAON,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,5.301585,0.0,0.796046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.70885,-19.279496,0,0,,,,50.0
AAPB,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.27614,0.0,0.580197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.392153,-3.154119,0,0,,,,50.0
AAPD,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.310545,0.0,1.081136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.884719,1.150251,0,0,,,,50.0
AAPG,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.981915,0.0,1.066436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.460948,2.896303,0,0,,,,50.0
AAPL,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,6.181926,0.0,0.828044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.716637,-1.157241,0,0,,,,50.0
AAPU,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.41544,0.0,0.806735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.655953,-3.359614,0,0,,,,50.0
AARD,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.893105,0.0,1.001727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.986864,-55.70248,0,0,,,,50.0
AATC,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.154,0.0,1.492318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.145074,-5.612243,0,0,,,,50.0
AAUS,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.35389,0.0,1.840076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.417042,-1.471899,0,0,,,,50.0
AAVM,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.43228,0.0,0.132887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.123725,-5.437849,0,0,,,,50.0
AAXJ,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.636001,0.0,0.867658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.490791,-3.203087,0,0,,,,50.0
ABAT,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.226425,0.0,1.278311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.395207,-14.210525,0,0,,,,50.0
ABCB,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.60337,0.0,1.060016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.531411,-10.461787,0,0,,,,50.0
ABCL,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.21846,0.0,0.720162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.136363,14.838711,0,0,,,,50.0
ABCS,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.33396,0.0,1.001651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.516801,-5.319159,0,0,,,,50.0
ABEO,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.21749,0.0,1.281473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.069768,-1.197613,0,0,,,,50.0
ABI,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.02208,0.0,1.710483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.758175,-0.599519,0,0,,,,50.0
ABIG,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.274565,0.0,0.456297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.839203,-2.108259,0,0,,,,50.0
ABL,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.487915,0.0,0.839529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.162791,28.322157,0,0,,,,50.0
ABLLL,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.191195,0.0,1.01373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.926304,-1.344604,0,0,,,,50.0
ABLLW,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
ABLV,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.035435,0.0,0.528343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.352634,-20.719512,0,0,,,,50.0
ABLVW,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.002102,0.0,0.016674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.869826,-7.171317,0,0,,,,50.0
ABNB,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,5.134499,0.0,0.654753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.260234,5.743724,0,0,,,,50.0
ABOS,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.25697,0.0,2.779968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36942,33.067726,0,0,,,,50.0
ABP,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.14585,0.0,0.045078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.926609,-79.578172,0,0,,,,50.0
ABPWW,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
ABSI,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.187205,0.0,0.877044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.398406,-1.960782,0,0,,,,50.0
ABTC,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.086045,0.0,1.278135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.454551,-7.964605,0,0,,,,50.0
ABTS,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.52104,0.0,0.007348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.255315,-3.225803,0,0,,,,50.0
ABUS,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.252,0.0,0.768254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.627112,9.547742,0,0,,,,50.0
ABVC,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.120205,0.0,0.88695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.58904,-20.958079,0,0,,,,50.0
ABVE,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.1314,0.0,0.861974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.446428,-28.980893,0,0,,,,50.0
ABVEW,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.115885,0.0,0.318433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.451616,-42.608692,0,0,,,,50.0
ABVX,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,5.785064,0.0,1.095301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.987957,-1.792142,0,0,,,,50.0
ACAD,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.05402,0.0,0.825247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.270153,-2.905135,0,0,,,,50.0
ACAT,NASDAQ,2026-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.9,0.0,2.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.0,-90.0,0,0,,,,50.0
