List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
,,,,,,,,,,,,,,
Top 20 Momentum,1,NBY,AMEX,,,,,     4.85,,,344.95,2488424,,
Top 20 Momentum,2,YCBD,AMEX,,,,,     1.68,,,191.41,33459722,,
Top 20 Momentum,3,AXIL,AMEX,,,,,     7.88,,,56.25,1782336,,
Top 20 Momentum,4,ZDGE,AMEX,,,,,     3.54,,,54.59,2908193,,
Top 20 Momentum,5,UMAC,AMEX,,,,,    13.01,,,53.96,2292532,,
Top 20 Momentum,6,NRXS,AMEX,,,,,     4.03,,,50.94,1039985,,
Top 20 Momentum,7,TRT,AMEX,,,,,    12.70,,,50.30,32735,,
Top 20 Momentum,8,CNL,AMEX,,,,,    15.07,,,34.91,61909,,
Top 20 Momentum,9,DC,AMEX,,,,,     6.23,,,33.40,1461240,,
Top 20 Momentum,10,AEON,AMEX,,,,,     1.04,,,31.73,181751,,
Top 20 Momentum,11,MAIA,AMEX,,,,,     1.57,,,30.83,1056373,,
Top 20 Momentum,12,CATX,AMEX,,,,,     2.85,,,30.14,1605428,,
Top 20 Momentum,13,IDR,AMEX,,,,,    46.80,,,28.78,539156,,
Top 20 Momentum,14,IAUX,AMEX,,,,,     1.54,,,28.33,8376898,,
Top 20 Momentum,15,IE,AMEX,,,,,    16.45,,,28.12,1985789,,
Top 20 Momentum,16,MCRP,AMEX,,,,,     1.22,,,25.77,1042565,,
Top 20 Momentum,17,USAS,AMEX,,,,,     5.80,,,22.88,3860147,,
Top 20 Momentum,18,BHM,AMEX,,,,,    11.34,,,22.59,7676,,
Top 20 Momentum,19,WRN,AMEX,,,,,     2.86,,,20.68,910275,,
Top 20 Momentum,20,CTGO,AMEX,,,,,    29.27,,,19.42,228834,,
,,,,,,,,,,,,,,
Top 20 Volume,1,BMNR,AMEX,,,,,    28.31,,,,,  1271628747,-8.53
Top 20 Volume,2,LEU,AMEX,,,,,   261.16,,,,,    276275636,14.17
Top 20 Volume,3,BTG,AMEX,,,,,     4.77,,,,,    167353140,3.25
Top 20 Volume,4,EQX,AMEX,,,,,    14.81,,,,,    159463820,6.16
Top 20 Volume,5,NGD,AMEX,,,,,     8.35,,,,,    139945731,1.58
Top 20 Volume,6,DNN,AMEX,,,,,     2.78,,,,,    119311897,9.45
Top 20 Volume,7,UUUU,AMEX,,,,,    14.64,,,,,    105154975,4.42
Top 20 Volume,8,AAP,AMEX,,,,,    41.25,,,,,     80394403,-9.26
Top 20 Volume,9,ORLA,AMEX,,,,,    14.60,,,,,     74941575,8.71
Top 20 Volume,10,YCBD,AMEX,,,,,     1.68,,,,,     61157319,40.00
Top 20 Volume,11,PLMR,AMEX,,,,,   134.96,,,,,     41999282,7.52
Top 20 Volume,12,UMAC,AMEX,,,,,    13.01,,,,,     38438547,43.12
Top 20 Volume,13,VZLA,AMEX,,,,,     5.77,,,,,     35045688,12.04
Top 20 Volume,14,SLI,AMEX,,,,,     4.94,,,,,     32708772,3.13
Top 20 Volume,15,IDR,AMEX,,,,,    46.80,,,,,     29790420,6.82
Top 20 Volume,16,IE,AMEX,,,,,    16.45,,,,,     29328409,9.30
Top 20 Volume,17,URG,AMEX,,,,,     1.43,,,,,     27289444,7.52
Top 20 Volume,18,NG,AMEX,,,,,     9.62,,,,,     24170515,-2.24
Top 20 Volume,19,USAS,AMEX,,,,,     5.80,,,,,     23787396,0.00
Top 20 Volume,20,NBY,AMEX,,,,,     4.85,,,,,     20984420,78.97
