Symbol,Exchange,Date,IC_5d,IC_10d,IC_20d,FFT_Freq,FFT_Power,FFT_Stability,Pattern_Score,Pattern_Age,Pattern_Type,Vol_20d,ATR_20d,Volume_ZScore,Volume_Ratio_5_20,RSI_14d,RSI_Slope,MACD_Hist,MA_Ratio_50_200,Price_vs_MA50,Kurtosis_20d,Skew_20d,Current_Price,Price_Change_5d,Price_Change_20d,Num_Signals,IC_Enabled_Count,Baseline_Score,ML_Score,Final_Score,Fundamental_Score
AACB,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.03495,0.0,1.281639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.284627,0.190662,0,0,,,,50.0
AACBR,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.002505,0.0,0.041208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.555558,-19.047616,0,0,,,,50.0
AACBU,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
AACG,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.055545,0.0,0.10648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.470356,-8.546396,0,0,,,,50.0
AACI,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0105,0.0,2.468329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100294,0.402414,0,0,,,,50.0
AACIU,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.009,0.0,3.708311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595242,0,0,,,,50.0
AADR,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.213425,0.0,2.423647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.566284,1.437168,0,0,,,,50.0
AAGR,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.00213,0.0,0.959494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.999996,-29.999996,0,0,,,,50.0
AAGRW,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0052,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
AAL,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.71525,0.0,0.813722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.371156,-17.61525,0,0,,,,50.0
AALG,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.283545,0.0,1.215953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.370909,-34.045995,0,0,,,,50.0
AAME,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.053405,0.0,0.638097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.632911,-6.547613,0,0,,,,50.0
AAOI,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,13.671131,0.0,0.820446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.206818,-27.710404,0,0,,,,50.0
AAON,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,6.731845,0.0,0.989206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.853168,-22.955124,0,0,,,,50.0
AAPB,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.03514,0.0,0.898356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.958549,45.470615,0,0,,,,50.0
AAPD,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.32685,0.0,1.064537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095422,-17.725492,0,0,,,,50.0
AAPG,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.721625,0.0,0.281122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.401275,7.272737,0,0,,,,50.0
AAPL,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,8.811604,0.0,0.724457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.215737,21.032163,0,0,,,,50.0
AAPU,NASDAQ,2026-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.224726,0.0,0.767621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.695198,44.104666,0,0,,,,50.0
