List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50 Composite,44,JHX,2026-01-09,CupHandle,22.87,61.5,4,68.6,74.0,38.0,60.1,4.0,,,,,,,,,
Top 50 Composite,45,AKA,2026-01-07,CupHandle,11.78,60.5,4,62.6,69.7,89.6,60.3,19.2,,,,,,-21.3%,,Consumer Cyclical,⚠️
Top 50 Composite,46,CYD,2026-01-09,CupHandle,41.61,60.3,4,74.3,30.0,59.9,75.0,1.0,,,,,,,,,
Top 50 Composite,47,SBH,2026-01-08,CupHandle,15.37,60.1,4,61.4,68.5,84.4,56.6,0.0,,,,,,,,,
Top 50 Composite,48,CMP,2026-01-06,CupHandle,22.68,60.0,4,72.1,56.2,38.5,40.8,0.0,,,,,,,,,
Top 50 Composite,49,MCS,2026-01-07,CupHandle,15.09,59.9,4,60.9,73.1,80.7,49.7,0.0,,,,,,,,,
Top 50 Composite,50,CPS,2026-01-06,CupHandle,35.28,59.8,4,62.4,54.0,89.1,93.6,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,RPT,,,    16.30,,,,,,,,NYSE,471.93,109412,,,,,,
Top 20 Momentum,2,AMCR,,,    44.16,,,,,,,,NYSE,429.50,13924976,,,7.5%,29.0,Consumer Cyclical,⚠️
Top 20 Momentum,3,BKKT,,,    19.39,,,,,,,,NYSE,88.62,1601446,,,-67.5%,,Technology,⚠️
Top 20 Momentum,4,BE,,,   139.17,,,,,,,,NYSE,73.51,10794087,,,2.9%,1951.6,Industrials,⚠️
Top 20 Momentum,5,BW,,,     8.31,,,,,,,,NYSE,72.77,3000219,,,,,Industrials,⚠️
Top 20 Momentum,6,LAR,,,     8.36,,,,,,,,NYSE,68.89,4030446,,,,,,
Top 20 Momentum,7,BKSY,,,    28.30,,,,,,,,NYSE,61.99,1521116,,,-88.2%,,Industrials,⚠️
Top 20 Momentum,8,LITB,,,     2.96,,,,,,,,NYSE,60.87,34492,,,,,,
Top 20 Momentum,9,KRMN,,,   109.49,,,,,,,,NYSE,60.75,2096868,,,,,,
Top 20 Momentum,10,AP,,,     5.78,,,,,,,,NYSE,58.79,277257,,,-4.1%,,Industrials,⚠️
Top 20 Momentum,11,RDW,,,    11.02,,,,,,,,NYSE,56.98,21022417,,,,,,
Top 20 Momentum,12,MVO,,,     1.96,,,,,,,,NYSE,56.80,765473,,,,,,
Top 20 Momentum,13,SRFM,,,     2.77,,,,,,,,NYSE,53.89,5847342,,,,,,
Top 20 Momentum,14,LZM,,,     5.68,,,,,,,,NYSE,51.06,303568,,,,,,
Top 20 Momentum,15,SPIR,,,    10.93,,,,,,,,NYSE,49.73,840561,,,,,,
Top 20 Momentum,16,GCO,,,    35.64,,,,,,,,NYSE,48.87,224252,,,,,,
Top 20 Momentum,17,NEXA,,,    11.82,,,,,,,,NYSE,48.68,842461,,,,,,
Top 20 Momentum,18,TGE,,,     1.43,,,,,,,,NYSE,47.39,148905,,,,,,
Top 20 Momentum,19,AGL,,,     1.02,,,,,,,,NYSE,45.96,5879049,,,-73.3%,,Healthcare,⚠️
Top 20 Momentum,20,PL,,,    25.44,,,,,,,,NYSE,45.45,11947511,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Top 20 Volume,1,TSM,,,   327.11,,,,,,,,NYSE,,,  4429056679,2.35,,,,
Top 20 Volume,2,ORCL,,,   193.61,,,,,,,,NYSE,,,  3741536376,-1.07,,,,
Top 20 Volume,3,JPM,,,   310.90,,,,,,,,NYSE,,,  3374412104,-4.48,,,,
Top 20 Volume,4,LLY,,,  1077.19,,,,,,,,NYSE,,,  3257052815,-0.29,,,,
Top 20 Volume,5,WMT,,,   120.04,,,,,,,,NYSE,,,  3146780671,6.46,,,,
Top 20 Volume,6,BABA,,,   167.01,,,,,,,,NYSE,,,  2980128841,7.24,11.2%,22.5,Consumer Cyclical,⚠️
Top 20 Volume,7,V,,,   329.17,,,,,,,,NYSE,,,  2940586760,-5.00,,,,
Top 20 Volume,8,XOM,,,   129.13,,,,,,,,NYSE,,,  2659713195,5.28,,,,
Top 20 Volume,9,UNH,,,   333.93,,,,,,,,NYSE,,,  2239419440,-0.73,,,,
Top 20 Volume,10,GS,,,   932.67,,,,,,,,NYSE,,,  2193001997,2.00,,,,
Top 20 Volume,11,MA,,,   542.65,,,,,,,,NYSE,,,  2178547218,-3.64,,,,
Top 20 Volume,12,BA,,,   244.55,,,,,,,,NYSE,,,  2174947671,7.37,290.1%,94.3,Industrials,⚠️
Top 20 Volume,13,BAC,,,    54.54,,,,,,,,NYSE,,,  2003270119,-2.52,10.2%,14.2,Financial Services,⚠️
Top 20 Volume,14,JNJ,,,   218.55,,,,,,,,NYSE,,,  1923143255,5.40,,,,
Top 20 Volume,15,HD,,,   375.95,,,,,,,,NYSE,,,  1900760843,8.71,,,,
Top 20 Volume,16,BE,,,   139.17,,,,,,,,NYSE,,,  1898242421,41.02,2.9%,1951.6,Industrials,⚠️
Top 20 Volume,17,GEV,,,   644.18,,,,,,,,NYSE,,,  1790077303,-5.20,,,,
Top 20 Volume,18,C,,,   112.41,,,,,,,,NYSE,,,  1760842098,-5.30,6.8%,16.6,Financial Services,⚠️
Top 20 Volume,19,PG,,,   144.63,,,,,,,,NYSE,,,  1687786281,2.00,,,,
Top 20 Volume,20,ABBV,,,   216.75,,,,,,,,NYSE,,,  1651949309,-5.48,138.0%,169.7,Healthcare,⚠️
