List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50,1,VIK,,STRONG_BUY,67.1,HIGH (75%),0.039,67.54,78.95,+16.89%,,,,,,,,
Top 50,2,ENVA,,STRONG_BUY,67.8,MEDIUM (75%),0.047,130.89,143.16,+9.37%,,,,,,,,
Top 50,3,AME,,STRONG_BUY,67.3,MEDIUM (74%),0.066,199.22,256.83,+28.92%,,,,,14.6%,36.0,Industrials,⚠️
Top 50,4,TKR,,STRONG_BUY,65.6,MEDIUM (74%),0.148,82.52,106.06,+28.53%,,,,,,,,
Top 50,5,MMM,,STRONG_BUY,64.3,MEDIUM (75%),0.065,171.56,216.57,+26.24%,,,,,,,,
Top 50,6,MFC,,STRONG_BUY,65.4,MEDIUM (73%),0.117,35.1,44.48,+26.73%,,,,,,,,
Top 50,7,NVS,,STRONG_BUY,62.9,HIGH (75%),0.042,133.72,165.27,+23.60%,,,,,,,,
Top 50,8,JLL,,STRONG_BUY,66.0,MEDIUM (71%),0.093,329.6,400.08,+21.38%,,,,,,,,
Top 50,9,MUR,,STRONG_BUY,63.9,MEDIUM (73%),0.113,32.07,39.56,+23.36%,,,,,,,,
Top 50,10,YETI,,STRONG_BUY,59.7,HIGH (78%),0.152,43.14,52.48,+21.65%,,,,,,,,
Top 50,11,PFSI,,STRONG_BUY,63.5,MEDIUM (73%),0.17,133.86,160.51,+19.91%,,,,,,,,
Top 50,12,AMG,,STRONG_BUY,66.4,MEDIUM (70%),0.052,271.55,309.19,+13.86%,,,,,16.2%,18.7,Financial Services,⚠️
Top 50,13,ABCB,,STRONG_BUY,65.6,MEDIUM (70%),0.036,76.71,94.53,+23.23%,,,,,10.5%,13.3,Financial Services,⚠️
Top 50,14,DDS,,STRONG_BUY,65.1,MEDIUM (70%),0.054,684.96,788.54,+15.12%,,,,,,,,
Top 50,15,MLI,,STRONG_BUY,65.2,MEDIUM (69%),0.046,111.6,132.77,+18.97%,,,,,,,,
Top 50,16,OWLT,,STRONG_BUY,62.3,MEDIUM (71%),0.127,13.12,13.09,-0.23%,,,,,,,,
Top 50,17,XPO,,STRONG_BUY,63.6,MEDIUM (69%),0.055,142.06,170.78,+20.22%,,,,,,,,
Top 50,18,TCBX,,STRONG_BUY,61.2,MEDIUM (70%),0.035,39.08,49.38,+26.35%,,,,,,,,
Top 50,19,CCS,,STRONG_BUY,65.2,MEDIUM (66%),0.046,66.14,95.21,+43.95%,,,,,5.7%,13.0,Real Estate,⚠️
Top 50,20,COHR,,STRONG_BUY,60.3,MEDIUM (70%),0.048,170.96,170.58,-0.22%,,,,,,,,
Top 50,21,TALO,,STRONG_BUY,61.1,MEDIUM (69%),0.184,11.46,14.01,+22.28%,,,,,,,,
Top 50,22,BCC,,STRONG_BUY,63.1,MEDIUM (66%),0.071,74.26,102.17,+37.58%,,,,,9.0%,15.9,Basic Materials,⚠️
Top 50,23,GNL,,STRONG_BUY,59.9,MEDIUM (70%),0.081,8.24,10.37,+25.81%,,,,,,,,
Top 50,24,TBBB,,STRONG_BUY,61.0,MEDIUM (69%),0.112,32.17,38.65,+20.14%,,,,,,,,
Top 50,25,LOW,,STRONG_BUY,59.7,MEDIUM (70%),0.069,246.94,308.17,+24.79%,,,,,,,,
Top 50,26,PRU,,STRONG_BUY,59.0,MEDIUM (70%),0.215,108.35,137.62,+27.02%,,,,,,,,
Top 50,27,LNN,,STRONG_BUY,56.8,MEDIUM (73%),0.156,118.55,149.69,+26.26%,,,,,,,,
Top 50,28,MOV,,STRONG_BUY,61.7,MEDIUM (67%),0.107,21.21,26.36,+24.27%,,,,,,,,
Top 50,29,DLX,,STRONG_BUY,60.8,MEDIUM (68%),0.034,20.38,26.02,+27.68%,,,,,,,,
Top 50,30,PHM,,STRONG_BUY,63.0,MEDIUM (65%),0.044,130.33,157.55,+20.89%,,,,,,,,
Top 50,31,IEX,,STRONG_BUY,61.9,MEDIUM (66%),0.108,175.1,222.83,+27.26%,,,,,,,,
Top 50,32,BIRK,,STRONG_BUY,61.6,MEDIUM (66%),0.056,42.97,58.42,+35.96%,,,,,13.0%,16.9,Consumer Cyclical,⚠️
Top 50,33,GS,,STRONG_BUY,57.0,MEDIUM (71%),0.05,815.21,861.68,+5.70%,,,,,,,,
Top 50,34,CPAY,,STRONG_BUY,59.7,MEDIUM (68%),0.127,299.89,387.82,+29.32%,,,,,,,,
Top 50,35,IX,,STRONG_BUY,61.1,MEDIUM (66%),0.053,27.55,32.85,+19.24%,,,,,,,,
Top 50,36,BFH,,STRONG_BUY,59.0,MEDIUM (68%),0.106,65.08,77.74,+19.45%,,,,,16.3%,7.4,Financial Services,✅
Top 50,37,NNI,,STRONG_BUY,54.3,MEDIUM (74%),0.15,133.18,149.39,+12.17%,,,,,,,,
Top 50,38,MODG,,STRONG_BUY,59.8,MEDIUM (67%),0.076,12.35,14.33,+16.04%,,,,,,,,
Top 50,39,GFF,,STRONG_BUY,54.9,MEDIUM (73%),0.143,74.57,92.08,+23.49%,,,,,,,,
Top 50,40,MIXT,,STRONG_BUY,59.1,MEDIUM (68%),0.174,14.55,15.85,+8.95%,,,,,,,,
Top 50,41,MTD,,STRONG_BUY,59.9,MEDIUM (66%),0.071,1476.72,1787.12,+21.02%,,,,,,,,
Top 50,42,VMI,,STRONG_BUY,58.3,MEDIUM (68%),0.095,414.13,451.6,+9.05%,,,,,,,,
Top 50,43,CDAY,,STRONG_BUY,57.9,MEDIUM (69%),0.397,69.52,88.15,+26.80%,,,,,,,N/A,⚠️
Top 50,44,HTH,,STRONG_BUY,59.1,MEDIUM (66%),0.093,35.11,43.21,+23.07%,,,,,,,,
Top 50,45,FET,,STRONG_BUY,57.1,MEDIUM (69%),0.16,34.11,36.73,+7.69%,,,,,,,,
Top 50,46,E,,STRONG_BUY,53.4,MEDIUM (73%),0.173,38.27,45.31,+18.40%,,,,,,,,
Top 50,47,NIC,,STRONG_BUY,57.6,MEDIUM (68%),0.105,128.88,160.14,+24.26%,,,,,,,,
Top 50,48,BME,,STRONG_BUY,58.7,MEDIUM (66%),0.105,41.36,51.0,+23.32%,,,,,-4.6%,,Financial Services,⚠️
Top 50,49,UNP,,STRONG_BUY,58.1,MEDIUM (67%),0.133,232.24,293.33,+26.31%,,,,,,,,
Top 50,50,DAN,,STRONG_BUY,58.0,MEDIUM (67%),0.1,22.51,24.42,+8.50%,,,,,,,,
,,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,HPP,NYSE,,,,,    13.94,,,478.42,6410082,,,,,,
Top 20 Momentum,2,ANVS,NYSE,,,,,     4.41,,,116.18,4038098,,,-246.1%,,Healthcare,⚠️
Top 20 Momentum,3,EB,NYSE,,,,,     4.44,,,93.89,2262888,,,,,,
Top 20 Momentum,4,SPRU,NYSE,,,,,     5.12,,,92.48,957575,,,,,,
Top 20 Momentum,5,FRGE,NYSE,,,,,    44.38,,,69.91,1075161,,,,,,
Top 20 Momentum,6,MAGN,NYSE,,,,,    13.98,,,63.13,1646140,,,,,,
Top 20 Momentum,7,OWLT,NYSE,,,,,    13.12,,,61.78,242905,,,,,,
Top 20 Momentum,8,HAE,NYSE,,,,,    80.79,,,59.29,1249318,,,,,,
Top 20 Momentum,9,MH,NYSE,,,,,    17.27,,,58.44,726412,,,,,,
Top 20 Momentum,10,AP,NYSE,,,,,     2.96,,,52.58,210293,,,-4.1%,,Industrials,⚠️
Top 20 Momentum,11,HLF,NYSE,,,,,    12.45,,,51.09,2380619,,,,,,
Top 20 Momentum,12,INSP,NYSE,,,,,   124.41,,,50.22,1552627,,,,,,
Top 20 Momentum,13,HLLY,NYSE,,,,,     4.26,,,50.00,2115093,,,,,,
Top 20 Momentum,14,NVRI,NYSE,,,,,    18.29,,,49.80,2638849,,,,,,
Top 20 Momentum,15,AAUC,NYSE,,,,,    22.02,,,46.12,562732,,,2.6%,,Basic Materials,⚠️
Top 20 Momentum,16,FSLY,NYSE,,,,,    11.74,,,45.48,5285156,,,,,,
Top 20 Momentum,17,HL,NYSE,,,,,    17.36,,,43.35,17932300,,,,,,
Top 20 Momentum,18,GMED,NYSE,,,,,    87.75,,,42.66,2536912,,,,,,
Top 20 Momentum,19,ANF,NYSE,,,,,    99.61,,,41.49,2405029,,,40.9%,9.8,Consumer Cyclical,⚠️
Top 20 Momentum,20,AG,NYSE,,,,,    15.02,,,40.77,16774841,,,4.2%,145.7,Basic Materials,⚠️
,,,,,,,,,,,,,,,,,,
Top 20 Volume,1,WMT,NYSE,,,,,   109.10,,,,,  3759848320,1.86,,,,
Top 20 Volume,2,TSM,NYSE,,,,,   295.45,,,,,  3601453792,6.47,,,,
Top 20 Volume,3,JPM,NYSE,,,,,   307.88,,,,,  2551376622,3.18,,,,
Top 20 Volume,4,BABA,NYSE,,,,,   158.08,,,,,  2448614481,3.13,11.2%,22.5,Consumer Cyclical,⚠️
Top 20 Volume,5,BAC,NYSE,,,,,    51.93,,,,,  2306933577,1.82,10.2%,14.2,Financial Services,⚠️
Top 20 Volume,6,V,NYSE,,,,,   329.61,,,,,  2237999346,1.80,,,,
Top 20 Volume,7,UNH,NYSE,,,,,   324.54,,,,,  2221781814,4.17,,,,
Top 20 Volume,8,BA,NYSE,,,,,   202.54,,,,,  2201644794,12.91,290.1%,94.3,Industrials,⚠️
Top 20 Volume,9,JNJ,NYSE,,,,,   206.92,,,,,  2112123899,1.90,,,,
Top 20 Volume,10,LEN,NYSE,,,,,   133.13,,,,,  1975708694,14.52,,,,
Top 20 Volume,11,BE,NYSE,,,,,   105.00,,,,,  1948268201,12.44,2.9%,1951.6,Industrials,⚠️
Top 20 Volume,12,HD,NYSE,,,,,   356.92,,,,,  1817500410,7.38,,,,
Top 20 Volume,13,CRM,NYSE,,,,,   230.54,,,,,  1767271649,2.29,,,,
Top 20 Volume,14,GEV,NYSE,,,,,   601.58,,,,,  1750334158,7.80,,,,
Top 20 Volume,15,MA,NYSE,,,,,   545.91,,,,,  1696762728,3.42,,,,
Top 20 Volume,16,GS,NYSE,,,,,   815.21,,,,,  1689041649,5.37,,,,
Top 20 Volume,17,PG,NYSE,,,,,   148.49,,,,,  1684020561,0.20,,,,
Top 20 Volume,18,XOM,NYSE,,,,,   117.80,,,,,  1640585260,0.67,,,,
Top 20 Volume,19,CAT,NYSE,,,,,   591.49,,,,,  1574030272,8.31,43.5%,36.8,Industrials,⚠️
