List,Rank,Symbol,Exchange,Signal,Score,Confidence,IC10d,Price,Predicted,Return,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50,1,USAS,,STRONG_BUY,59.1,MEDIUM (67%),0.101,4.95,4.35,-12.08%,,,,,,,,
Top 50,2,PAPL,,STRONG_BUY,54.4,MEDIUM (67%),0.123,3.67,3.06,-16.49%,,,,,,,,
Top 50,3,AEF,,STRONG_BUY,49.6,MEDIUM (65%),0.121,6.87,7.94,+15.60%,,,,,14.6%,8.0,Financial Services,⚠️
Top 50,4,INDO,,STRONG_BUY,48.9,MEDIUM (63%),0.07,2.89,3.63,+25.73%,,,,,,,,
Top 50,5,WRN,,STRONG_BUY,46.8,MEDIUM (65%),0.032,2.52,2.46,-2.35%,,,,,,,,
Top 50,6,NAK,,STRONG_BUY,47.1,MEDIUM (64%),0.063,2.04,1.98,-2.78%,,,,,,,,
Top 50,7,BHB,,STRONG_BUY,48.7,MEDIUM (61%),0.066,32.46,38.79,+19.49%,,,,,7.5%,15.0,Financial Services,⚠️
Top 50,8,IAUX,,STRONG_BUY,43.2,MEDIUM (65%),0.14,1.35,1.29,-4.32%,,,,,,,,
Top 50,9,DC,,STRONG_BUY,47.3,MEDIUM (60%),0.058,5.49,6.01,+9.47%,,,,,,,,
Top 50,10,TMP,,STRONG_BUY,49.1,MEDIUM (57%),0.042,71.69,85.82,+19.71%,,,,,,,,
Top 50,11,LTSF,,STRONG_BUY,41.4,MEDIUM (64%),0.254,22.75,25.89,+13.78%,,,,,,,,
Top 50,12,ELLO,,STRONG_BUY,45.1,MEDIUM (59%),0.037,21.58,24.39,+13.00%,,,,,,,,
Top 50,13,TRT,,STRONG_BUY,42.1,MEDIUM (61%),0.043,8.72,9.29,+6.57%,,,,,,,,
Top 50,14,BMNR,,STRONG_BUY,47.3,MEDIUM (54%),0.091,39.21,52.16,+33.03%,,,,,-86.3%,,Financial Services,⚠️
Top 50,15,PW,,STRONG_BUY,45.8,MEDIUM (55%),0.118,1.05,1.31,+24.70%,,,,,,,,
Top 50,16,MPTI,,STRONG_BUY,38.6,MEDIUM (63%),0.161,52.8,48.62,-7.91%,,,,,,,,
Top 50,17,STRW,,STRONG_BUY,40.7,MEDIUM (59%),0.148,13.0,14.47,+11.32%,,,,,,,,
Top 50,18,OZ,,STRONG_BUY,41.0,MEDIUM (58%),0.08,63.0,75.73,+20.21%,,,,,,,,
Top 50,19,GAU,,STRONG_BUY,40.4,MEDIUM (58%),0.096,2.39,2.44,+2.05%,,,,,,,,
Top 50,20,CHEB,,STRONG_BUY,44.4,MEDIUM (52%),0.202,10.55,12.68,+20.21%,,,,,,,,
Top 50,21,VGZ,,STRONG_BUY,39.2,MEDIUM (58%),0.054,1.98,1.76,-10.89%,,,,,,,,
Top 50,22,BATL,,STRONG_BUY,40.3,MEDIUM (55%),0.045,1.2,1.45,+21.01%,,,,,-6.1%,,Energy,⚠️
Top 50,23,ITRG,,STRONG_BUY,41.3,MEDIUM (53%),0.041,3.92,3.68,-6.04%,,,,,,,,
Top 50,24,EAD,,STRONG_BUY,39.5,MEDIUM (54%),0.142,6.89,8.29,+20.32%,,,,,,,,
Top 50,25,VFL,,STRONG_BUY,40.4,MEDIUM (53%),0.077,10.2,12.26,+20.23%,,,,,,,,
Top 50,26,SILV,,STRONG_BUY,38.5,MEDIUM (54%),0.175,11.55,12.94,+12.00%,,,,,,,,
Top 50,27,AINC,,STRONG_BUY,36.0,MEDIUM (58%),0.033,4.97,5.79,+16.44%,,,,,,,N/A,⚠️
Top 50,28,BRBS,,STRONG_BUY,38.2,MEDIUM (54%),0.121,4.39,4.57,+4.00%,,,,,3.3%,39.0,Financial Services,⚠️
Top 50,29,MI,,STRONG_BUY,42.0,LOW (49%),0.089,4.3,4.63,+7.71%,,,,,,,,
Top 50,30,OSTX,,BUY,34.4,MEDIUM (59%),0.044,1.99,2.25,+13.22%,,,,,,,,
Top 50,31,IDR,,STRONG_BUY,36.5,MEDIUM (55%),0.087,39.92,35.73,-10.48%,,,,,,,,
Top 50,32,COHN,,STRONG_BUY,36.8,MEDIUM (54%),0.145,16.76,16.71,-0.31%,,,,,,,,
Top 50,33,EQX,,STRONG_BUY,34.2,MEDIUM (55%),0.08,12.78,12.29,-3.85%,,,,,,,,
Top 50,34,ENX,,STRONG_BUY,33.4,MEDIUM (54%),0.134,10.0,11.64,+16.44%,,,,,,,,
Top 50,35,BTG,,STRONG_BUY,33.3,MEDIUM (54%),0.067,4.56,4.52,-0.98%,,,,,7.2%,32.6,Basic Materials,⚠️
Top 50,36,CIK,,STRONG_BUY,33.7,MEDIUM (53%),0.09,2.83,3.35,+18.28%,,,,,,,,
Top 50,37,NGD,,BUY,32.5,MEDIUM (55%),0.101,7.83,7.1,-9.33%,,,,,,,,
Top 50,38,NBH,,STRONG_BUY,36.2,LOW (48%),0.043,10.28,12.14,+18.13%,,,,,,,,
Top 50,39,CET,,STRONG_BUY,35.0,LOW (49%),0.092,50.29,53.94,+7.28%,,,,,13.6%,7.0,Financial Services,⚠️
Top 50,40,PRK,,STRONG_BUY,34.9,LOW (48%),0.042,159.06,190.24,+19.60%,,,,,,,,
Top 50,41,GLU,,BUY,30.3,MEDIUM (54%),0.113,18.52,20.45,+10.44%,,,,,,,,
Top 50,42,NHS,,STRONG_BUY,32.0,MEDIUM (51%),0.193,7.33,8.59,+17.09%,,,,,,,,
Top 50,43,SLSR,,STRONG_BUY,31.7,LOW (50%),0.144,7.62,7.09,-6.95%,,,,,,,,
Top 50,44,VZLA,,BUY,26.3,MEDIUM (60%),0.172,5.27,4.62,-12.24%,,,,,,,,
Top 50,45,NFGC,,BUY,28.5,MEDIUM (54%),0.079,3.1,3.0,-3.24%,,,,,,,,
Top 50,46,BITE,,BUY,27.0,MEDIUM (56%),0.165,12.5,12.98,+3.85%,,,,,,,N/A,⚠️
Top 50,47,ATNM,,STRONG_BUY,33.9,LOW (44%),0.072,1.45,1.69,+16.76%,,,,,-133.1%,,Healthcare,⚠️
Top 50,48,LUD,,STRONG_BUY,32.9,LOW (44%),0.045,10.56,9.36,-11.41%,,,,,,,,
Top 50,49,DMYY,,BUY,29.1,LOW (49%),0.089,13.75,14.28,+3.82%,,,,,,,,
Top 50,50,VCXB,,STRONG_BUY,31.0,LOW (46%),0.164,11.07,12.66,+14.38%,,,,,,,,
,,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,PHGE,AMEX,,,,,     2.75,,,630.80,551289,,,,,,
Top 20 Momentum,2,PW,AMEX,,,,,     1.05,,,69.35,2053779,,,,,,
Top 20 Momentum,3,LUD,AMEX,,,,,    10.56,,,69.23,106987,,,,,,
Top 20 Momentum,4,NBY,AMEX,,,,,     1.81,,,67.59,299788,,,,,,
Top 20 Momentum,5,NFGC,AMEX,,,,,     3.10,,,44.19,1657022,,,,,,
Top 20 Momentum,6,SLI,AMEX,,,,,     4.56,,,35.31,3636061,,,,,,
Top 20 Momentum,7,IAUX,AMEX,,,,,     1.35,,,35.15,4987653,,,,,,
Top 20 Momentum,8,TRT,AMEX,,,,,     8.72,,,31.13,25725,,,,,,
Top 20 Momentum,9,VTAK,AMEX,,,,,     3.00,,,30.15,53151,,,,,,
Top 20 Momentum,10,COHN,AMEX,,,,,    16.76,,,28.04,26357,,,,,,
Top 20 Momentum,11,CHOW,AMEX,,,,,    11.70,,,26.49,1374484,,,,,,
Top 20 Momentum,12,MAIA,AMEX,,,,,     1.35,,,26.17,559488,,,,,,
Top 20 Momentum,13,DC,AMEX,,,,,     5.49,,,25.06,1205689,,,,,,
Top 20 Momentum,14,MYO,AMEX,,,,,     1.04,,,22.35,816239,,,,,,
Top 20 Momentum,15,ELA,AMEX,,,,,    13.20,,,22.11,67961,,,,,,
Top 20 Momentum,16,ITRG,AMEX,,,,,     3.92,,,20.62,1799388,,,,,,
Top 20 Momentum,17,IDR,AMEX,,,,,    39.92,,,18.95,429278,,,,,,
Top 20 Momentum,18,LGCY,AMEX,,,,,    10.48,,,16.83,79789,,,,,,
Top 20 Momentum,19,VGZ,AMEX,,,,,     1.98,,,16.47,1230679,,,,,,
Top 20 Momentum,20,WRN,AMEX,,,,,     2.52,,,16.13,1159891,,,,,,
,,,,,,,,,,,,,,,,,,
Top 20 Volume,1,BMNR,AMEX,,,,,    39.21,,,,,  2103605639,18.39,-86.3%,,Financial Services,⚠️
Top 20 Volume,2,LEU,AMEX,,,,,   268.50,,,,,    203135171,3.55,,,,
Top 20 Volume,3,UUUU,AMEX,,,,,    15.40,,,,,    131368682,6.94,,,,
Top 20 Volume,4,BTG,AMEX,,,,,     4.56,,,,,    130770369,-1.30,7.2%,32.6,Basic Materials,⚠️
Top 20 Volume,5,NGD,AMEX,,,,,     7.83,,,,,    110786624,-6.23,,,,
Top 20 Volume,6,DNN,AMEX,,,,,     2.69,,,,,    108022926,5.08,,,,
Top 20 Volume,7,AAP,AMEX,,,,,    52.47,,,,,     66080228,1.14,-23.9%,,Consumer Cyclical,⚠️
Top 20 Volume,8,IMO,AMEX,,,,,    90.70,,,,,     57889400,-8.20,,,,
Top 20 Volume,9,IE,AMEX,,,,,    15.43,,,,,     34737910,7.83,,,,
Top 20 Volume,10,VZLA,AMEX,,,,,     5.27,,,,,     33471195,3.94,,,,
Top 20 Volume,11,CHOW,AMEX,,,,,    11.70,,,,,     27735176,24.60,,,,
Top 20 Volume,12,ORLA,AMEX,,,,,    12.42,,,,,     27173103,-11.91,,,,
Top 20 Volume,13,PLMR,AMEX,,,,,   117.85,,,,,     26397722,-5.12,,,,
Top 20 Volume,14,PMI,AMEX,,,,,     3.05,,,,,     22056060,43.19,,,,
Top 20 Volume,15,UMAC,AMEX,,,,,    10.67,,,,,     21171686,21.94,,,,
Top 20 Volume,16,NG,AMEX,,,,,     9.53,,,,,     20975124,-6.48,,,,
Top 20 Volume,17,GROY,AMEX,,,,,     4.08,,,,,     17902216,-7.06,,,,
Top 20 Volume,18,TMQ,AMEX,,,,,     4.51,,,,,     15782896,5.37,,,,
Top 20 Volume,19,USAS,AMEX,,,,,     4.95,,,,,     15413985,11.49,,,,
Top 20 Volume,20,IDR,AMEX,,,,,    39.92,,,,,     15399952,0.58,,,,
