List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,ZEUS,2026-01-20,CupHandle,49.17,82.8,2,81.9,70.3,84.9,62.1,5.8,,,,,
Top 50 Composite,2,CNTA,2026-01-21,CupHandle,23.23,82.5,2,77.5,71.0,96.9,88.9,0.0,,,,,
Top 50 Composite,3,FSUN,2026-01-22,CupHandle,39.93,82.1,2,77.8,87.4,74.0,61.6,0.0,,,,,
Top 50 Composite,4,FIP,2026-01-21,CupHandle,5.99,81.9,2,76.7,89.8,79.2,63.1,4.0,,,,,
Top 50 Composite,5,SPRX,2026-01-20,CupHandle,41.35,73.5,3,73.4,67.4,86.5,55.6,0.0,,,,,
Top 50 Composite,6,OPCH,2026-01-13,CupHandle,34.75,73.3,3,72.4,87.7,55.7,67.8,1.0,,,,,
Top 50 Composite,7,SHLS,2026-01-16,CupHandle,9.27,73.2,3,74.9,63.4,79.2,64.9,0.0,,,,,
Top 50 Composite,8,COO,2026-01-12,CupHandle,83.23,72.8,3,72.4,74.3,77.1,58.5,0.0,,,,,
Top 50 Composite,9,OS,2026-01-06,CupHandle,23.61,71.8,3,71.0,70.0,100.0,24.8,3.1,,,,,
Top 50 Composite,10,VEON,2026-01-22,CupHandle,55.28,71.0,3,76.3,46.3,90.1,64.2,5.6,,,,,
Top 50 Composite,11,BIDU,2026-01-21,CupHandle,162.28,70.2,3,75.6,88.6,21.9,49.9,2.9,,,,,
Top 50 Composite,12,SAMG,2026-01-05,CupHandle,15.67,70.1,3,73.4,70.9,75.0,45.0,13.4,,,,,
Top 50 Composite,13,MBCN,2026-01-16,CupHandle,35.04,70.0,3,73.6,74.0,68.8,54.9,17.0,,,,,
Top 50 Composite,14,SIBN,2026-01-07,CupHandle,21.40,70.0,3,81.1,50.3,46.4,46.5,0.0,,,,,
Top 50 Composite,15,DXCM,2026-01-22,CupHandle,73.92,69.6,3,76.1,62.6,51.0,65.7,0.0,,,,,
Top 50 Composite,16,BTGD,2026-01-21,CupHandle,39.44,69.5,3,67.2,70.8,97.9,58.8,1.0,,,,,
Top 50 Composite,17,MEOH,2026-01-05,CupHandle,42.93,69.1,3,75.7,73.8,35.4,56.4,0.8,,,,,
Top 50 Composite,18,RUSHB,2026-01-21,CupHandle,60.73,68.9,3,71.6,72.1,75.0,59.1,14.8,,,,,
Top 50 Composite,19,URNJ,2026-01-20,CupHandle,32.66,68.8,3,75.2,50.0,77.6,70.5,7.4,,,,,
Top 50 Composite,20,FSTR,2026-01-21,CupHandle,29.56,68.3,3,69.5,88.8,58.3,60.8,16.3,,,,,
Top 50 Composite,21,WERN,2026-01-14,CupHandle,33.09,68.2,3,69.2,71.2,70.3,76.9,0.0,,,,,
Top 50 Composite,22,EWBC,2026-01-15,CupHandle,115.77,68.0,3,68.6,71.4,67.2,95.9,0.0,,,,,
Top 50 Composite,23,OVLY,2026-01-21,CupHandle,32.17,68.0,3,73.7,88.3,29.2,66.1,17.5,,,,,
Top 50 Composite,24,UPWK,2026-01-09,CupHandle,20.05,67.2,3,68.1,78.5,67.7,50.0,0.0,,,,,
Top 50 Composite,25,MCHPP,2026-01-20,CupHandle,65.27,67.1,3,76.4,47.0,50.0,100.0,0.0,,,,,
Top 50 Composite,26,ADTN,2026-01-22,CupHandle,9.90,67.0,3,68.6,85.2,49.0,62.8,1.0,,,,,
Top 50 Composite,27,BOOM,2026-01-15,CupHandle,8.61,66.9,3,73.7,65.7,51.0,62.2,5.0,,,,,
