Symbol,Exchange,Date,IC_5d,IC_10d,IC_20d,FFT_Freq,FFT_Power,FFT_Stability,Pattern_Score,Pattern_Age,Pattern_Type,Vol_20d,ATR_20d,Volume_ZScore,Volume_Ratio_5_20,RSI_14d,RSI_Slope,MACD_Hist,MA_Ratio_50_200,Price_vs_MA50,Kurtosis_20d,Skew_20d,Current_Price,Price_Change_5d,Price_Change_20d,Num_Signals,IC_Enabled_Count,Baseline_Score,ML_Score,Final_Score,Fundamental_Score
AACB,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.01825,0.0,3.591331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574717,0.671138,0,0,,,,50.0
AACBR,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.01638,0.0,0.441039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.04,10.033329,0,0,,,,50.0
AACBU,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.687,0.0,3.799356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.095677,11.585948,0,0,,,,50.0
AACG,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.08755,0.0,1.117364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.837601,-8.403363,0,0,,,,50.0
AACI,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.01475,0.0,2.878195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201405,0.201405,0,0,,,,50.0
AACIU,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0015,0.0,2.247634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
AADR,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.188351,0.0,0.75538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.13931,-1.043728,0,0,,,,50.0
AAGR,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.002545,0.0,0.089579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,-98.989899,0,0,,,,50.0
AAGRW,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0052,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
AAL,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.574155,0.0,0.890184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.04826,2.959024,0,0,,,,50.0
AALG,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.916885,0.0,0.654315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.467345,4.090119,0,0,,,,50.0
AAME,NASDAQ,2026-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.09201,0.0,1.316818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.328771,-25.581395,0,0,,,,50.0
