Symbol,Exchange,Date,IC_5d,IC_10d,IC_20d,FFT_Freq,FFT_Power,FFT_Stability,Pattern_Score,Pattern_Age,Pattern_Type,Vol_20d,ATR_20d,Volume_ZScore,Volume_Ratio_5_20,RSI_14d,RSI_Slope,MACD_Hist,MA_Ratio_50_200,Price_vs_MA50,Kurtosis_20d,Skew_20d,Current_Price,Price_Change_5d,Price_Change_20d,Num_Signals,IC_Enabled_Count,Baseline_Score,ML_Score,Final_Score,Fundamental_Score
A,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,3.888022,0.0,0.735413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.624733,9.691394,0,0,,,,50.0
AA,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.052426,0.0,1.236007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.646661,5.848456,0,0,,,,50.0
AAM,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.02905,0.0,1.479978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093723,0.178555,0,0,,,,50.0
AAMI,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,3.30528,0.0,0.894105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.914451,12.146387,0,0,,,,50.0
AAP,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.65604,0.0,0.981892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.966847,7.961603,0,0,,,,50.0
AAPw,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.360644,0.0,0.731055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.624201,-10.534754,0,0,,,,50.0
AAT,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.55397,0.0,0.963351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.953813,-11.179889,0,0,,,,50.0
AAUC,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.2075,0.0,0.92627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.310971,4.616089,0,0,,,,50.0
AApB,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.320595,0.0,0.568858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.92014,-14.681442,0,0,,,,50.0
AB,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.614634,0.0,1.232804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7779,-4.589305,0,0,,,,50.0
ABBV,NYSE,2026-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,6.430151,0.0,0.813584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.876527,2.748764,0,0,,,,50.0
