List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,GFI,2026-01-15,CupHandle,49.84,68.5,3,72.1,88.8,25.0,79.4,2.0,,,,,
Top 50 Composite,2,WAL,2026-02-03,CupHandle,91.35,68.0,3,80.3,66.3,10.4,57.8,0.0,,,,,
Top 50 Composite,3,DXYZ,2026-01-28,CupHandle,35.42,67.7,3,74.8,73.4,32.8,61.3,1.0,,,,,
Top 50 Composite,4,KNTK,2026-01-29,CupHandle,40.69,65.8,3,73.5,73.0,31.2,57.5,0.0,,,,,
Top 50 Composite,5,NPK,2026-02-02,CupHandle,131.95,65.7,3,75.5,68.7,28.6,55.9,4.7,,,,,
Top 50 Composite,6,AMTB,2026-01-23,CupHandle,21.26,64.6,4,72.1,88.2,4.7,68.5,0.0,,,,,
Top 50 Composite,7,FFWM,2026-01-22,CupHandle,6.39,64.5,4,75.9,69.9,3.6,88.2,0.0,,,,,
Top 50 Composite,8,CCL,2026-01-29,CupHandle,31.15,64.0,4,69.2,71.5,51.0,56.2,0.0,,,,,
Top 50 Composite,9,KVUE,2026-01-20,CupHandle,17.59,63.0,4,72.9,61.8,41.7,42.3,0.0,,,,,
Top 50 Composite,10,R,2026-02-03,CupHandle,203.08,62.9,4,70.8,76.7,24.0,62.3,0.0,,,,,
Top 50 Composite,11,WTTR,2026-01-29,CupHandle,12.06,62.7,4,76.7,56.0,19.3,59.9,0.0,,,,,
Top 50 Composite,12,BBT,2026-01-22,CupHandle,29.29,62.6,4,68.7,68.2,50.0,62.6,0.0,,,,,
Top 50 Composite,13,TPC,2026-01-28,CupHandle,79.38,62.2,4,67.7,73.3,42.7,72.9,0.0,,,,,
Top 50 Composite,14,CYD,2026-01-21,CupHandle,44.17,62.2,4,78.4,62.1,0.5,43.5,1.0,,,,,
Top 50 Composite,15,AD,2026-01-14,CupHandle,57.19,61.3,4,70.3,62.6,50.0,34.7,1.0,,,,,
Top 50 Composite,16,DECK,2026-01-30,CupHandle,119.34,60.8,4,71.6,78.3,0.5,82.7,3.7,,,,,
