Symbol,Exchange,Date,IC_5d,IC_10d,IC_20d,FFT_Freq,FFT_Power,FFT_Stability,Pattern_Score,Pattern_Age,Pattern_Type,Vol_20d,ATR_20d,Volume_ZScore,Volume_Ratio_5_20,RSI_14d,RSI_Slope,MACD_Hist,MA_Ratio_50_200,Price_vs_MA50,Kurtosis_20d,Skew_20d,Current_Price,Price_Change_5d,Price_Change_20d,Num_Signals,IC_Enabled_Count,Baseline_Score,ML_Score,Final_Score,Fundamental_Score
ACI,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.496575,0.0,1.285322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.693717,-11.432087,0,0,,,,50.0
ACIW,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.462995,0.0,1.109759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080951,4.985886,0,0,,,,50.0
ACIw,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.462995,0.0,1.109759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.080951,4.985886,0,0,,,,50.0
ACL,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,747.5,0.0,1.566835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.616162,35.168196,0,0,,,,50.0
ACLO,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.044679,0.0,0.222517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009918,-0.05951,0,0,,,,50.0
ACM,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.413284,0.0,0.662161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.224842,-1.082933,0,0,,,,50.0
ACN,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,7.064243,0.0,1.146305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.498537,-12.289875,0,0,,,,50.0
ACP,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.067525,0.0,0.947569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.94877,-0.94877,0,0,,,,50.0
ACPPA,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.13247,0.0,2.185287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504543,-0.100303,0,0,,,,50.0
ACR,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.62375,0.0,1.865131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.435074,-15.471313,0,0,,,,50.0
ACRE,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.131,0.0,1.065611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.243454,-5.532786,0,0,,,,50.0
ACV,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.75165,0.0,0.668104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.148151,2.852965,0,0,,,,50.0
ACVA,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.37014,0.0,0.879954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.367,4.067793,0,0,,,,50.0
AD,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.094255,0.0,0.925968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.482332,-24.134579,0,0,,,,50.0
ADC,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.214999,0.0,1.198609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.277242,-2.470934,0,0,,,,50.0
ADCT,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.237775,0.0,0.536827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90909,-67.352942,0,0,,,,50.0
ADM,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.173945,0.0,0.964349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.880904,-0.803945,0,0,,,,50.0
ADNT,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.04375,0.0,1.17183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.893181,-2.666664,0,0,,,,50.0
ADT,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.14275,0.0,0.884769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.283579,-7.428571,0,0,,,,50.0
ADX,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.354445,0.0,0.813679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92301,0.563151,0,0,,,,50.0
AEB,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,50.0
AEE,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.121996,0.0,0.947334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137907,-0.83758,0,0,,,,50.0
AEFC,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.159245,0.0,1.221525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00796,-0.678139,0,0,,,,50.0
AEG,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.14439,0.0,1.146844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.403855,-1.388888,0,0,,,,50.0
AEM,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,7.268074,0.0,1.304181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.450951,-2.677915,0,0,,,,50.0
AEO,NYSE,2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.901525,0.0,0.855456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.452939,3.32327,0,0,,,,50.0
