List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,INTT,2026-02-27,DarvasBox,11.65,66.4,1,83.9,60.0,100.0,39.9,12.1,,,,,
Top 50 Composite,2,OPTT,2026-03-10,CupHandle,0.49,61.4,1,77.6,60.0,100.0,51.3,12.1,,,,,
Top 50 Composite,3,BDL,2026-03-12,CupHandle,34.42,57.9,1,73.9,60.0,100.0,91.7,27.1,,,,,
Top 50 Composite,4,RCG,2026-03-17,DarvasBox,3.20,57.3,1,75.2,60.0,100.0,37.9,24.4,,,,,
Top 50 Composite,5,CMCL,2026-03-03,CupHandle,29.79,57.1,1,74.5,60.0,100.0,46.3,23.6,,,,,
Top 50 Composite,6,BKTI,2026-03-02,CupHandle,86.62,54.2,2,70.2,60.0,100.0,87.3,30.3,,,,,
Top 50 Composite,7,NML,2026-02-27,DarvasBox,10.22,54.1,2,69.9,60.0,100.0,44.3,14.3,,,,,
Top 50 Composite,8,HYLN,2026-02-26,CupHandle,2.15,53.5,2,68.7,60.0,100.0,46.2,11.4,,,,,
Top 50 Composite,9,UUU,2026-03-10,CupHandle,5.59,52.7,2,68.0,60.0,100.0,60.9,18.6,,,,,
Top 50 Composite,10,VNTG,2026-03-02,CupHandle,0.95,52.4,2,75.2,60.0,50.0,22.1,3.6,,,,,
Top 50 Composite,11,BHM,2026-03-03,CupHandle,11.70,52.4,2,66.8,60.0,100.0,100.0,25.7,,,,,
Top 50 Composite,12,ISOU,2026-03-05,CupHandle,10.87,52.4,2,66.7,60.0,100.0,61.9,11.4,,,,,
Top 50 Composite,13,ACU,2026-03-16,CupHandle,46.00,52.1,2,69.8,60.0,100.0,53.4,34.5,,,,,
Top 50 Composite,14,CIX,2026-03-12,CupHandle,24.30,52.1,2,69.1,60.0,100.0,76.2,37.4,,,,,
Top 50 Composite,15,EPM,2026-03-09,CupHandle,4.64,51.5,2,66.5,60.0,100.0,45.0,11.4,,,,,
Top 50 Composite,16,XPL,2026-03-04,CupHandle,0.79,50.7,2,68.0,60.0,100.0,24.4,23.6,,,,,
Top 50 Composite,17,DIT,2026-03-18,CupHandle,118.50,49.9,2,65.8,53.9,100.0,100.0,25.7,,,,,
Top 50 Composite,18,JOB,2026-03-16,CupHandle,0.25,48.1,2,64.2,60.0,100.0,15.4,14.3,,,,,
Top 50 Composite,19,CKX,2026-03-06,CupHandle,11.01,47.0,2,66.2,60.0,100.0,10.0,39.7,,,,,
Top 50 Composite,20,EGG,2026-03-13,CupHandle,6.00,47.0,2,69.0,60.0,50.0,58.5,17.3,,,,,
Top 50 Composite,21,AXIL,2026-03-09,CupHandle,6.27,43.6,3,60.9,60.0,100.0,33.4,39.0,,,,,
Top 50 Composite,22,SACH,2026-03-11,CupHandle,1.10,39.7,3,51.7,60.0,100.0,89.0,18.6,,,,,
Top 50 Composite,23,BRIA,2026-03-11,CupHandle,2.00,35.4,3,50.1,60.0,100.0,32.9,28.5,,,,,
Top 50 Composite,24,AULTPD,2026-03-06,CupHandle,22.48,28.8,4,67.8,10.6,54.2,42.8,17.1,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,DIT,,,   118.50,,,,,,,,AMEX_Yahoo,7.63,978,,
Top 20 Momentum,2,CVR,,,    14.25,,,,,,,,AMEX_Yahoo,7.55,3469,,
Top 20 Momentum,3,IOR,,,    18.95,,,,,,,,AMEX_Yahoo,5.28,3136,,
Top 20 Momentum,4,TMI,,,    65.00,,,,,,,,AMEX_Yahoo,4.42,101161,,
Top 20 Momentum,5,PCGPE,,,    19.20,,,,,,,,AMEX_Yahoo,1.03,1631,,
Top 20 Momentum,6,PCGpE,,,    19.20,,,,,,,,AMEX_Yahoo,1.03,1941,,
Top 20 Momentum,7,ARMN,,,    18.63,,,,,,,,AMEX_Yahoo,0.54,1577214,,
Top 20 Momentum,8,MMK,,,   100.15,,,,,,,,AMEX_Yahoo,0.09,238,,
,,,,,,,,,,,,,,,,,
Top 20 Volume,1,NAS,,,   335.00,,,,,,,,AMEX_Yahoo,,,     35089944,-8.72
Top 20 Volume,2,ARMN,,,    18.63,,,,,,,,AMEX_Yahoo,,,     34000121,-11.54
Top 20 Volume,3,CYBN,,,     5.24,,,,,,,,AMEX_Yahoo,,,     20939069,-38.37
Top 20 Volume,4,TMI,,,    65.00,,,,,,,,AMEX_Yahoo,,,      4803968,4.00
Top 20 Volume,5,DIT,,,   118.50,,,,,,,,AMEX_Yahoo,,,        257441,5.94
Top 20 Volume,6,NEN,,,    61.98,,,,,,,,AMEX_Yahoo,,,        218083,-0.45
Top 20 Volume,7,GLU,,,    19.87,,,,,,,,AMEX_Yahoo,,,        144308,-3.64
Top 20 Volume,8,COE,,,    19.30,,,,,,,,AMEX_Yahoo,,,        101237,-23.62
Top 20 Volume,9,PCGPE,,,    19.20,,,,,,,,AMEX_Yahoo,,,         98874,-0.74
Top 20 Volume,10,PCGpE,,,    19.20,,,,,,,,AMEX_Yahoo,,,         98874,-0.74
Top 20 Volume,11,SACHpA,,,    16.60,,,,,,,,AMEX_Yahoo,,,         92196,-10.51
Top 20 Volume,12,SCCF,,,    23.35,,,,,,,,AMEX_Yahoo,,,         91885,0.52
Top 20 Volume,13,SACHPA,,,    16.60,,,,,,,,AMEX_Yahoo,,,         74134,-10.51
Top 20 Volume,14,SCCD,,,    24.42,,,,,,,,AMEX_Yahoo,,,         62810,-0.71
Top 20 Volume,15,CVR,,,    14.25,,,,,,,,AMEX_Yahoo,,,         51011,1.79
Top 20 Volume,16,PCGpD,,,    19.00,,,,,,,,AMEX_Yahoo,,,         34233,0.00
Top 20 Volume,17,MMK,,,   100.15,,,,,,,,AMEX_Yahoo,,,         17626,0.12
Top 20 Volume,18,IOR,,,    18.95,,,,,,,,AMEX_Yahoo,,,         14921,0.26
Top 20 Volume,19,PCGPD,,,    19.00,,,,,,,,AMEX_Yahoo,,,         14088,0.00
Top 20 Volume,20,AULTpD,,,    21.07,,,,,,,,AMEX_Yahoo,,,         13845,-6.34
