List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,49,AMTB,2026-01-23,CupHandle,21.26,58.0,4,72.4,64.7,3.1,68.1,0.0,,,,,
Top 50 Composite,50,EWBC,2026-01-15,CupHandle,114.96,58.0,4,71.7,67.5,11.5,39.5,0.0,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,VSME,,,%  $     1.5,,,,,,,,Nasdaq_yah,oo   1887.50,9        766195,,
Top 20 Momentum,2,ADIL,,,%  $     3.4,,,,,,,,Nasdaq_yah,oo   1389.13,2        431060,,
Top 20 Momentum,3,ANL,,,%  $    10.0,,,,,,,,Nasdaq_yah,oo    585.71,8      1383400,,
Top 20 Momentum,4,BNAI,,,%  $    22.2,,,,,,,,Nasdaq_yah,oo    482.98,7     12258547,,
Top 20 Momentum,5,GITS,,,%  $     4.3,,,,,,,,Nasdaq_yah,oo    450.38,7      8121658,,
Top 20 Momentum,6,EVTV,,,%  $     2.2,,,,,,,,Nasdaq_yah,oo    348.07,0     67728526,,
Top 20 Momentum,7,KELYB,,,%  $    37.9,,,,,,,,Nasdaq_yah,oo    328.44,6        184740,,
Top 20 Momentum,8,MHUA,,,%  $    11.1,,,,,,,,Nasdaq_yah,oo    321.13,6          3099,,
Top 20 Momentum,9,NAMM,,,%  $     3.6,,,,,,,,Nasdaq_yah,oo    274.49,7     27876958,,
Top 20 Momentum,10,ANPA,,,%  $    80.2,,,,,,,,Nasdaq_yah,oo    231.40,0        306132,,
Top 20 Momentum,11,LNKS,,,%  $     1.0,,,,,,,,Nasdaq_yah,oo    208.57,8      2454305,,
Top 20 Momentum,12,CRVS,,,%  $    19.0,,,,,,,,Nasdaq_yah,oo    175.43,6      7756462,,
Top 20 Momentum,13,IBRX,,,%  $     5.8,,,,,,,,Nasdaq_yah,oo    162.50,8     56398468,,
Top 20 Momentum,14,YI,,,%  $     7.4,,,,,,,,Nasdaq_yah,oo    161.40,5         93603,,
Top 20 Momentum,15,LVLU,,,%  $    16.2,,,,,,,,Nasdaq_yah,oo    158.41,8      1350016,,
Top 20 Momentum,16,TYGO,,,%  $     3.6,,,,,,,,Nasdaq_yah,oo    133.54,9      1319611,,
Top 20 Momentum,17,SEGG,,,%  $     1.3,,,,,,,,Nasdaq_yah,oo    129.97,2     34126384,,
Top 20 Momentum,18,LSTA,,,%  $     4.7,,,,,,,,Nasdaq_yah,oo    128.64,1        401479,,
Top 20 Momentum,19,SPHL,,,%  $     4.7,,,,,,,,Nasdaq_yah,oo    123.00,5      6676368,,
Top 20 Momentum,20,OPTX,,,%  $     7.5,,,,,,,,Nasdaq_yah,oo    117.24,6      2264568,,
,,,,,,,,,,,,,,,,,
Top 20 Volume,1,QQQ,,,   605.75,,,,,,,,Nasdaq_yah,,,oo$ 35455032100,-2.73
Top 20 Volume,2,NVDA,,,   171.88,,,,,,,,Nasdaq_yah,,,oo$ 29042212054,-8.41
Top 20 Volume,3,TSLA,,,   397.21,,,,,,,,Nasdaq_yah,,,oo$ 24766883225,-11.55
Top 20 Volume,4,MSFT,,,   393.67,,,,,,,,Nasdaq_yah,,,oo$ 21041053879,-15.51
Top 20 Volume,5,AAPL,,,   275.91,,,,,,,,Nasdaq_yah,,,oo$ 17363647233,11.24
Top 20 Volume,6,MU,,,   382.89,,,,,,,,Nasdaq_yah,,,oo$ 15837148361,-4.19
Top 20 Volume,7,META,,,   668.99,,,,,,,,Nasdaq_yah,,,oo$ 15364589041,1.55
Top 20 Volume,8,SNDK,,,   584.55,,,,,,,,Nasdaq_yah,,,oo$ 14141751560,23.37
Top 20 Volume,9,GOOGL,,,   331.25,,,,,,,,Nasdaq_yah,,,oo$ 13230200492,1.01
Top 20 Volume,10,AMZN,,,   222.69,,,,,,,,Nasdaq_yah,,,oo$ 10638209018,-6.89
Top 20 Volume,11,AMD,,,   192.50,,,,,,,,Nasdaq_yah,,,oo$  8869959791,-25.87
Top 20 Volume,12,GOOG,,,   331.33,,,,,,,,Nasdaq_yah,,,oo$  8421736454,0.88
Top 20 Volume,13,AVGO,,,   320.33,,,,,,,,Nasdaq_yah,,,oo$  8278876449,0.09
Top 20 Volume,14,PLTR,,,   139.54,,,,,,,,Nasdaq_yah,,,oo$  8222226656,-17.72
Top 20 Volume,15,INTC,,,    48.24,,,,,,,,Nasdaq_yah,,,oo$  7103067189,7.03
Top 20 Volume,16,TQQQ,,,    47.64,,,,,,,,Nasdaq_yah,,,oo$  4744980498,-12.39
Top 20 Volume,17,SQQQ,,,    74.58,,,,,,,,Nasdaq_yah,,,oo$  4271238007,13.15
Top 20 Volume,18,NFLX,,,    79.94,,,,,,,,Nasdaq_yah,,,oo$  3600128987,-7.18
Top 20 Volume,19,ASML,,,  1350.16,,,,,,,,Nasdaq_yah,,,oo$  3439947996,-2.80
Top 20 Volume,20,TLT,,,    87.48,,,,,,,,Nasdaq_yah,,,oo$  3428731694,-0.13
