List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,ISOU,2026-01-13,CupHandle,11.37,72.8,3,78.4,63.0,50.0,79.7,0.3,,,,,
Top 50 Composite,2,ESP,2026-01-09,CupHandle,47.32,64.9,4,78.6,50.0,46.9,47.3,17.2,,,,,
Top 50 Composite,3,GTE,2026-01-12,CupHandle,4.62,62.7,4,70.2,69.9,42.2,51.2,1.0,,,,,
Top 50 Composite,4,LGCY,2026-01-08,CupHandle,10.31,61.7,4,68.6,47.2,93.2,49.1,12.7,,,,,
Top 50 Composite,5,SCCF,2026-01-13,CupHandle,23.49,60.8,4,67.4,56.1,75.5,86.3,19.4,,,,,
Top 50 Composite,6,BHB,2026-01-16,CupHandle,32.82,56.8,4,60.2,78.3,54.7,72.3,4.6,,,,,
Top 50 Composite,7,ACU,2026-01-16,CupHandle,43.69,54.6,4,68.3,57.0,42.2,41.5,18.6,,,,,
Top 50 Composite,8,BKTI,2026-01-12,CupHandle,82.99,53.6,4,67.1,38.5,65.6,54.8,11.1,,,,,
Top 50 Composite,9,CNL,2026-01-12,CupHandle,15.23,51.2,4,71.4,48.8,7.3,49.3,10.3,,,,,
Top 50 Composite,10,UUUU,2026-01-14,CupHandle,20.91,49.1,4,57.3,50.0,75.0,69.2,3.6,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,CANF,,,     3.99,,,,,,,,AMEX,2112.98,11332524,,
Top 20 Momentum,2,MCRP,,,     2.53,,,,,,,,AMEX,102.40,274494,,
Top 20 Momentum,3,DDC,,,     3.51,,,,,,,,AMEX,59.55,97069,,
Top 20 Momentum,4,UUUU,,,    23.52,,,,,,,,AMEX,55.76,13173905,,
Top 20 Momentum,5,MAIA,,,     2.20,,,,,,,,AMEX,48.65,912031,,
Top 20 Momentum,6,UMAC,,,    18.51,,,,,,,,AMEX,41.62,4380906,,
Top 20 Momentum,7,LSF,,,     3.16,,,,,,,,AMEX,37.99,132856,,
Top 20 Momentum,8,URG,,,     1.93,,,,,,,,AMEX,35.92,10066052,,
Top 20 Momentum,9,DNN,,,     3.75,,,,,,,,AMEX,35.38,46587702,,
Top 20 Momentum,10,LUD,,,     9.29,,,,,,,,AMEX,34.44,6506,,
Top 20 Momentum,11,PHGE,,,     2.68,,,,,,,,AMEX,34.00,44038,,
Top 20 Momentum,12,GORO,,,     1.20,,,,,,,,AMEX,32.76,2090313,,
Top 20 Momentum,13,ISOU,,,    11.98,,,,,,,,AMEX,31.79,100264,,
Top 20 Momentum,14,SVM,,,    11.31,,,,,,,,AMEX,31.66,5418644,,
Top 20 Momentum,15,WYY,,,     7.38,,,,,,,,AMEX,29.47,47844,,
Top 20 Momentum,16,NRXS,,,     4.91,,,,,,,,AMEX,28.53,162384,,
Top 20 Momentum,17,SENS,,,     7.76,,,,,,,,AMEX,28.26,479942,,
Top 20 Momentum,18,COHN,,,    21.75,,,,,,,,AMEX,27.94,84543,,
Top 20 Momentum,19,MPTI,,,    64.43,,,,,,,,AMEX,27.74,46872,,
Top 20 Momentum,20,PZG,,,     1.50,,,,,,,,AMEX,27.12,860798,,
,,,,,,,,,,,,,,,,,
Top 20 Volume,1,BMNR,,,    28.24,,,,,,,,AMEX,,,  1280593833,-9.72
Top 20 Volume,2,LEU,,,   303.94,,,,,,,,AMEX,,,    414233342,6.18
Top 20 Volume,3,UUUU,,,    23.52,,,,,,,,AMEX,,,    379488259,26.52
Top 20 Volume,4,DNN,,,     3.75,,,,,,,,AMEX,,,    208550550,12.61
Top 20 Volume,5,BTG,,,     4.91,,,,,,,,AMEX,,,    192848698,9.11
Top 20 Volume,6,NGD,,,    11.20,,,,,,,,AMEX,,,    191142459,17.15
Top 20 Volume,7,EQX,,,    14.83,,,,,,,,AMEX,,,    151208873,1.30
Top 20 Volume,8,UMAC,,,    18.51,,,,,,,,AMEX,,,    109013402,22.66
Top 20 Volume,9,IMO,,,    97.98,,,,,,,,AMEX,,,     73397924,10.11
Top 20 Volume,10,AAP,,,    41.31,,,,,,,,AMEX,,,     68703988,-2.52
Top 20 Volume,11,SEB,,,  4695.52,,,,,,,,AMEX,,,     67123129,5.26
Top 20 Volume,12,SVM,,,    11.31,,,,,,,,AMEX,,,     63996897,26.23
Top 20 Volume,13,VZLA,,,     6.06,,,,,,,,AMEX,,,     54712649,8.41
Top 20 Volume,14,FLYX,,,     3.28,,,,,,,,AMEX,,,     48742213,-54.63
Top 20 Volume,15,USAS,,,     7.13,,,,,,,,AMEX,,,     46524060,32.77
Top 20 Volume,16,ASM,,,     6.90,,,,,,,,AMEX,,,     45934811,12.56
Top 20 Volume,17,ARMN,,,    19.28,,,,,,,,AMEX,,,     33634830,12.42
Top 20 Volume,18,IE,,,    17.50,,,,,,,,AMEX,,,     32552002,6.12
Top 20 Volume,19,ORLA,,,    16.89,,,,,,,,AMEX,,,     31311491,17.78
Top 20 Volume,20,CMCL,,,    27.50,,,,,,,,AMEX,,,     26477045,-5.69
