List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,GREEL,2026-07-09,DarvasBox,24.00,86.2,1,79.9,73.4,82.8,48.9,13.9,,,,,
Top 50 Composite,2,SCHL,2026-06-26,DarvasBox,46.01,85.3,1,83.3,74.6,50.5,33.9,11.4,,,,,
Top 50 Composite,3,LCFYW,2026-07-13,CupHandle,7.00,85.1,1,96.8,68.0,50.0,63.6,23.4,,,,,
Top 50 Composite,4,STRT,2026-06-26,CupHandle,82.64,84.5,1,80.1,69.9,67.2,42.6,6.9,,,,,
Top 50 Composite,5,RCKY,2026-06-26,CupHandle,41.28,79.2,1,76.5,71.4,68.2,38.9,6.3,,,,,
Top 50 Composite,6,MDRR,2026-06-30,CupHandle,11.65,78.9,1,78.4,73.4,69.8,14.7,33.4,,,,,
Top 50 Composite,7,DVXF,2026-07-06,CupHandle,27.40,78.6,1,79.4,70.4,50.0,61.9,17.0,,,,,
Top 50 Composite,8,CHRW,2026-07-14,CupHandle,199.61,78.2,1,74.1,68.0,80.7,47.1,0.0,,,,,
Top 50 Composite,9,ACNB,2026-06-26,DarvasBox,60.42,77.7,1,79.5,45.3,64.6,34.1,3.1,,,,,
Top 50 Composite,10,CPSS,2026-06-26,CupHandle,10.00,76.6,1,76.1,72.9,75.0,35.3,21.6,,,,,
Top 50 Composite,11,CIVB,2026-06-26,DarvasBox,28.67,76.1,1,80.3,38.7,53.6,39.3,0.7,,,,,
Top 50 Composite,12,CLOD,2026-07-14,CupHandle,31.93,75.9,1,70.0,69.3,100.0,59.7,14.2,,,,,
Top 50 Composite,13,BASG,2026-07-14,CupHandle,27.20,75.5,1,71.9,68.4,84.4,57.5,12.5,,,,,
Top 50 Composite,14,LCDS,2026-07-14,CupHandle,72.12,75.1,1,71.8,72.8,64.6,100.0,14.4,,,,,
Top 50 Composite,15,FRAF,2026-07-01,DarvasBox,63.84,74.9,1,79.9,39.7,62.5,41.8,8.4,,,,,
Top 50 Composite,16,KFRC,2026-07-07,DarvasBox,54.40,74.9,1,78.6,58.1,50.0,63.5,0.0,,,,,
Top 50 Composite,17,HUBG,2026-06-26,CupHandle,43.75,74.8,1,68.9,72.2,88.0,48.0,0.0,,,,,
Top 50 Composite,18,PGC,2026-06-26,DarvasBox,47.99,74.6,1,83.7,29.4,58.9,50.9,11.4,,,,,
Top 50 Composite,19,CTBI,2026-06-26,DarvasBox,72.36,73.3,1,75.4,62.9,38.5,51.5,0.0,,,,,
Top 50 Composite,20,ABIG,2026-07-14,CupHandle,34.77,73.3,1,69.1,70.3,69.3,100.0,14.1,,,,,
Top 50 Composite,21,FRST,2026-06-26,DarvasBox,16.65,73.1,1,83.4,36.1,39.6,25.1,0.0,,,,,
Top 50 Composite,22,UFCS,2026-06-26,DarvasBox,52.55,72.0,1,92.6,28.6,46.9,49.7,11.4,,,,,
Top 50 Composite,23,NVDU,2026-07-08,CupHandle,123.46,71.2,1,73.6,68.0,80.7,62.2,3.6,,,,,
Top 50 Composite,24,SEIE,2026-06-26,CupHandle,35.22,71.2,1,65.0,73.4,78.1,57.5,0.0,,,,,
Top 50 Composite,25,PEPS,2026-07-06,CupHandle,32.41,71.2,1,71.9,70.3,71.9,11.2,14.2,,,,,
Top 50 Composite,26,BGRO,2026-07-10,CupHandle,42.64,70.7,1,69.0,74.1,68.2,100.0,25.6,,,,,
Top 50 Composite,27,FTLB,2026-07-08,CupHandle,22.07,70.5,1,61.5,74.9,100.0,68.4,22.9,,,,,
Top 50 Composite,28,EUFN,2026-07-14,CupHandle,40.05,70.1,1,64.0,66.6,77.6,49.2,0.0,,,,,
Top 50 Composite,29,TRIN,2026-06-29,CupHandle,17.73,69.6,1,70.1,56.4,64.1,47.4,11.4,,,,,
Top 50 Composite,30,TECH,2026-06-24,CupHandle,58.88,69.5,1,69.2,55.0,100.0,18.0,6.4,,,,,
Top 50 Composite,31,HQY,2026-06-26,CupHandle,88.46,69.1,1,70.3,39.1,88.5,41.6,0.0,,,,,
Top 50 Composite,32,LOGO,2026-07-09,CupHandle,20.78,69.1,1,63.7,68.5,90.6,100.0,16.9,,,,,
Top 50 Composite,33,SHBI,2026-06-26,DarvasBox,23.29,69.0,1,75.1,39.8,78.6,34.1,11.4,,,,,
Top 50 Composite,34,HBNC,2026-06-26,DarvasBox,20.29,68.9,1,74.6,43.9,57.3,27.6,0.0,,,,,
Top 50 Composite,35,NFBK,2026-06-26,DarvasBox,14.99,68.8,1,78.2,44.6,20.8,44.5,0.0,,,,,
Top 50 Composite,36,GTX,2026-06-26,DarvasBox,35.11,68.6,1,83.1,56.1,68.2,27.0,14.3,,,,,
Top 50 Composite,37,RGLO,2026-07-10,CupHandle,33.03,68.5,1,64.4,70.6,84.4,56.6,11.0,,,,,
Top 50 Composite,38,LINE,2026-07-07,CupHandle,44.00,68.4,1,66.2,65.2,84.9,37.7,0.0,,,,,
Top 50 Composite,39,RAAQ,2026-07-01,DarvasBox,13.42,68.1,1,81.5,57.4,0.5,73.3,15.0,,,,,
Top 50 Composite,40,STHO,2026-06-26,CupHandle,9.18,67.9,1,74.2,58.0,58.3,38.1,23.5,,,,,
Top 50 Composite,41,SUSL,2026-07-13,CupHandle,132.44,67.6,1,68.5,70.8,68.8,44.6,22.7,,,,,
Top 50 Composite,42,RYAAY,2026-07-07,CupHandle,66.35,67.5,1,67.1,47.3,87.5,69.1,17.1,,,,,
Top 50 Composite,43,LDRX,2026-07-10,CupHandle,35.96,67.1,1,61.7,72.6,95.3,51.5,13.5,,,,,
Top 50 Composite,44,BULL,2026-06-26,CupHandle,6.82,67.0,1,70.6,72.0,41.7,42.0,5.7,,,,,
Top 50 Composite,45,SLGL,2026-07-10,CupHandle,73.95,66.8,1,62.6,69.2,87.0,53.6,22.4,,,,,
Top 50 Composite,46,TXUG,2026-07-07,CupHandle,27.22,66.5,1,64.2,69.1,82.8,50.2,14.3,,,,,
Top 50 Composite,47,GABC,2026-06-26,DarvasBox,47.65,66.3,1,77.8,38.5,17.2,29.6,0.7,,,,,
Top 50 Composite,48,ILPT,2026-06-26,DarvasBox,9.28,66.2,1,79.2,31.6,58.9,36.4,11.4,,,,,
Top 50 Composite,49,AAPB,2026-07-10,CupHandle,40.08,66.1,1,74.9,72.8,14.6,60.8,7.8,,,,,
Top 50 Composite,50,RGS,2026-07-14,CupHandle,28.20,66.1,1,66.2,68.0,62.5,50.2,13.4,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,GRTX,,,%  $    16.7,,,,,,,,NASDAQ_Yah,oo  19547.06,0         62054,,
Top 20 Momentum,2,NVVE,,,%  $    21.5,,,,,,,,NASDAQ_Yah,oo   5922.35,6      3357599,,
Top 20 Momentum,3,GDC,,,%  $     1.5,,,,,,,,NASDAQ_Yah,oo   5292.86,1    376652558,,
Top 20 Momentum,4,WOK,,,%  $     1.9,,,,,,,,NASDAQ_Yah,oo   3825.05,9      8864867,,
Top 20 Momentum,5,ALIT,,,%  $    21.7,,,,,,,,NASDAQ_Yah,oo   3425.12,5     18873986,,
Top 20 Momentum,6,PAVS,,,%  $     4.7,,,,,,,,NASDAQ_Yah,oo   2366.32,6     17070537,,
Top 20 Momentum,7,NUWE,,,%  $     3.1,,,,,,,,NASDAQ_Yah,oo   2128.57,2      1112729,,
Top 20 Momentum,8,VRAX,,,%  $     3.4,,,,,,,,NASDAQ_Yah,oo   2097.45,5      4203715,,
Top 20 Momentum,9,NTCL,,,%  $     3.9,,,,,,,,NASDAQ_Yah,oo   2013.51,1      2158218,,
Top 20 Momentum,10,QNCX,,,%  $    18.5,,,,,,,,NASDAQ_Yah,oo   1964.44,8        184941,,
Top 20 Momentum,11,GIBO,,,%  $    27.0,,,,,,,,NASDAQ_Yah,oo   1903.70,5         37326,,
Top 20 Momentum,12,WTO,,,%  $    18.1,,,,,,,,NASDAQ_Yah,oo   1853.66,3        663930,,
Top 20 Momentum,13,JZ,,,%  $     2.9,,,,,,,,NASDAQ_Yah,oo   1631.55,8      1343105,,
Top 20 Momentum,14,POM,,,%  $     1.5,,,,,,,,NASDAQ_Yah,oo   1559.34,1        272623,,
Top 20 Momentum,15,NIPG,,,%  $     6.0,,,,,,,,NASDAQ_Yah,oo   1551.23,6        188569,,
Top 20 Momentum,16,XAIR,,,%  $     5.6,,,,,,,,NASDAQ_Yah,oo   1521.39,1        266499,,
Top 20 Momentum,17,LHSW,,,%  $     2.2,,,,,,,,NASDAQ_Yah,oo   1462.50,5      6394319,,
Top 20 Momentum,18,EDBL,,,%  $     3.4,,,,,,,,NASDAQ_Yah,oo   1445.45,0     53634118,,
Top 20 Momentum,19,LMFA,,,%  $     2.8,,,,,,,,NASDAQ_Yah,oo   1402.65,4      4459886,,
Top 20 Momentum,20,NAMI,,,%  $     3.2,,,,,,,,NASDAQ_Yah,oo   1207.23,6      1431299,,
,,,,,,,,,,,,,,,,,
Top 20 Volume,1,MU,,,   904.28,,,,,,,,NASDAQ_Yah,,,oo$ 39177648235,-12.40
Top 20 Volume,2,NVDA,,,   212.50,,,,,,,,NASDAQ_Yah,,,oo$ 27195240638,7.55
Top 20 Volume,3,QQQ,,,   717.74,,,,,,,,NASDAQ_Yah,,,oo$ 25156490590,-1.02
Top 20 Volume,4,SNDK,,,  1615.00,,,,,,,,NASDAQ_Yah,,,oo$ 20839806736,-20.53
Top 20 Volume,5,META,,,   681.31,,,,,,,,NASDAQ_Yah,,,oo$ 15879439549,11.16
Top 20 Volume,6,TSLA,,,   394.46,,,,,,,,NASDAQ_Yah,,,oo$ 15574979560,-7.25
Top 20 Volume,7,AAPL,,,   327.50,,,,,,,,NASDAQ_Yah,,,oo$ 15543759969,11.25
Top 20 Volume,8,AMD,,,   529.14,,,,,,,,NASDAQ_Yah,,,oo$ 13571511783,-2.17
Top 20 Volume,9,MSFT,,,   395.63,,,,,,,,NASDAQ_Yah,,,oo$ 12502141339,2.95
Top 20 Volume,10,INTC,,,   102.99,,,,,,,,NASDAQ_Yah,,,oo$ 10767947151,-18.92
Top 20 Volume,11,SPCX,,,   135.27,,,,,,,,NASDAQ_Yah,,,oo$ 10250662731,-14.14
Top 20 Volume,12,AMZN,,,   254.96,,,,,,,,NASDAQ_Yah,,,oo$  9737737458,5.49
Top 20 Volume,13,AVGO,,,   394.28,,,,,,,,NASDAQ_Yah,,,oo$  8830068023,6.75
Top 20 Volume,14,GOOGL,,,   370.92,,,,,,,,NASDAQ_Yah,,,oo$  8473324457,2.69
Top 20 Volume,15,SMH,,,   590.77,,,,,,,,NASDAQ_Yah,,,oo$  6531182096,-4.79
Top 20 Volume,16,AMAT,,,   579.43,,,,,,,,NASDAQ_Yah,,,oo$  5892052953,-10.98
Top 20 Volume,17,GOOG,,,   370.21,,,,,,,,NASDAQ_Yah,,,oo$  5843979659,3.44
Top 20 Volume,18,PLTR,,,   133.76,,,,,,,,NASDAQ_Yah,,,oo$  5724785364,6.39
Top 20 Volume,19,MRVL,,,   206.26,,,,,,,,NASDAQ_Yah,,,oo$  5475306778,-24.18
Top 20 Volume,20,SOXX,,,   555.27,,,,,,,,NASDAQ_Yah,,,oo$  5237179667,-7.41
