List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,ICCC,2026-07-01,DarvasBox,11.00,81.3,1,78.8,72.4,70.3,77.3,11.0,,,,,
Top 50 Composite,2,SCHL,2026-06-26,DarvasBox,46.01,80.0,1,83.3,50.7,47.9,56.0,0.0,,,,,
Top 50 Composite,3,PGC,2026-06-26,DarvasBox,47.99,79.9,1,83.7,26.9,68.2,75.3,0.0,,,,,
Top 50 Composite,4,EXEL,2026-06-26,DarvasBox,54.77,78.4,1,76.8,59.5,64.1,61.6,0.0,,,,,
Top 50 Composite,5,TRIN,2026-06-29,CupHandle,17.73,78.0,1,70.1,73.2,74.0,57.2,0.0,,,,,
Top 50 Composite,6,UFCS,2026-06-26,DarvasBox,52.55,76.9,1,92.6,41.8,41.1,73.8,0.2,,,,,
Top 50 Composite,7,DGII,2026-06-29,DarvasBox,73.23,76.9,1,79.1,48.6,43.8,95.3,0.0,,,,,
Top 50 Composite,8,RAAQ,2026-07-01,DarvasBox,13.42,75.3,1,81.5,68.0,21.4,86.6,4.0,,,,,
Top 50 Composite,9,MDRR,2026-06-30,CupHandle,11.65,75.1,1,78.4,71.9,54.7,68.9,25.9,,,,,
Top 50 Composite,10,HQY,2026-06-26,CupHandle,88.46,74.8,1,70.3,68.0,83.9,63.1,5.7,,,,,
Top 50 Composite,11,CIVB,2026-06-26,DarvasBox,28.67,74.5,1,80.3,29.5,56.8,82.4,0.0,,,,,
Top 50 Composite,12,FRAF,2026-07-01,DarvasBox,63.84,74.1,1,79.9,37.3,44.8,96.8,9.4,,,,,
Top 50 Composite,13,ICFI,2026-06-29,CupHandle,74.49,73.0,1,68.7,74.5,57.3,66.0,11.4,,,,,
Top 50 Composite,14,KINS,2026-06-26,CupHandle,18.19,72.9,1,71.1,59.9,87.0,100.0,5.7,,,,,
Top 50 Composite,15,HUBG,2026-06-26,CupHandle,43.75,72.6,1,68.9,51.7,88.5,65.1,11.4,,,,,
Top 50 Composite,16,TAX,2026-07-01,DarvasBox,31.39,72.5,1,80.8,52.8,25.0,62.9,14.3,,,,,
Top 50 Composite,17,FRST,2026-06-26,DarvasBox,16.65,72.4,1,83.4,20.3,22.4,88.3,0.0,,,,,
Top 50 Composite,18,STRT,2026-06-26,CupHandle,82.64,71.8,1,80.1,15.0,87.5,81.2,7.1,,,,,
Top 50 Composite,19,OPHC,2026-06-15,DarvasBox,5.75,71.7,1,81.3,28.3,35.9,39.5,9.4,,,,,
Top 50 Composite,20,ACNB,2026-06-26,DarvasBox,60.42,71.5,1,79.5,32.2,43.2,85.7,3.3,,,,,
Top 50 Composite,21,LINE,2026-06-30,CupHandle,43.25,71.2,1,76.7,37.4,45.8,64.9,0.0,,,,,
Top 50 Composite,22,PCB,2026-06-18,DarvasBox,26.80,70.7,1,86.9,37.7,4.7,83.0,8.6,,,,,
Top 50 Composite,23,NFBK,2026-06-26,DarvasBox,14.99,70.7,1,78.2,41.4,16.1,63.8,0.0,,,,,
Top 50 Composite,24,CPSS,2026-06-26,CupHandle,10.00,70.4,1,76.3,29.4,43.8,87.3,10.5,,,,,
Top 50 Composite,25,WING,2026-07-01,CupHandle,174.97,70.3,1,74.2,66.7,46.9,55.6,11.4,,,,,
Top 50 Composite,26,CRMD,2026-06-18,CupHandle,8.67,70.3,1,76.3,68.0,11.5,54.6,14.3,,,,,
Top 50 Composite,27,STHO,2026-06-26,CupHandle,9.18,70.1,1,74.2,48.5,53.1,52.1,11.9,,,,,
Top 50 Composite,28,DVXF,2026-07-02,CupHandle,26.90,70.0,1,76.4,68.0,50.0,46.0,37.8,,,,,
Top 50 Composite,29,SGMT,2026-06-25,CupHandle,6.86,70.0,1,64.9,66.5,78.6,87.9,0.0,,,,,
Top 50 Composite,30,WCLD,2026-06-29,CupHandle,31.55,69.9,1,70.7,68.0,83.3,46.8,5.7,,,,,
