List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,1,BUUU,2026-01-30,CupHandle,11.49,68.4,3,78.7,50.0,50.0,90.0,11.1,,,,,
Top 50 Composite,2,DAKT,2026-02-02,CupHandle,23.56,67.6,3,76.0,72.1,21.4,75.1,0.0,,,,,
Top 50 Composite,3,MESO,2026-02-10,CupHandle,17.99,67.3,3,75.4,53.9,56.8,63.8,0.0,,,,,
Top 50 Composite,4,DVXB,2026-02-03,CupHandle,28.80,66.5,3,83.5,40.5,50.0,33.1,24.2,,,,,
Top 50 Composite,5,ORBT,2026-02-10,CupHandle,5.18,65.8,3,76.7,43.8,81.2,34.0,19.8,,,,,
Top 50 Composite,6,SNEX,2026-02-04,CupHandle,117.37,65.3,3,76.0,73.6,10.4,63.6,1.8,,,,,
Top 50 Composite,7,FGBIP,2026-02-02,CupHandle,17.14,63.5,4,75.0,66.2,43.8,26.8,20.3,,,,,
Top 50 Composite,8,WULF,2026-01-23,CupHandle,14.12,63.0,4,69.6,74.4,36.5,68.4,3.0,,,,,
Top 50 Composite,9,LNSR,2026-01-30,CupHandle,12.73,62.6,4,76.4,34.5,69.8,44.1,12.5,,,,,
Top 50 Composite,10,SWBI,2026-01-26,CupHandle,11.19,62.0,4,72.1,67.3,31.2,43.0,0.0,,,,,
Top 50 Composite,11,HYP,2026-02-03,CupHandle,27.11,62.0,4,79.1,35.9,50.0,35.2,14.0,,,,,
Top 50 Composite,12,PLTZ,2026-02-03,CupHandle,29.69,61.9,4,68.3,71.1,50.0,52.5,4.4,,,,,
Top 50 Composite,13,APEI,2026-02-05,CupHandle,44.28,61.9,4,78.4,51.5,13.5,50.2,0.0,,,,,
Top 50 Composite,14,UNB,2026-02-06,CupHandle,24.84,61.5,4,69.4,73.7,39.1,74.8,17.2,,,,,
Top 50 Composite,15,QCMD,2026-02-05,CupHandle,26.98,61.4,4,77.8,46.2,50.0,19.3,23.1,,,,,
Top 50 Composite,16,KOID,2026-02-10,CupHandle,35.46,61.2,4,66.0,79.4,50.0,54.7,9.0,,,,,
Top 50 Composite,17,PRN,2026-02-06,CupHandle,201.63,60.8,4,71.2,68.5,29.7,81.4,16.8,,,,,
Top 50 Composite,18,PRIM,2026-02-06,CupHandle,160.54,60.4,4,73.1,65.6,18.2,48.1,2.0,,,,,
Top 50 Composite,19,NTHI,2026-01-30,CupHandle,9.27,60.3,4,66.7,73.1,50.0,48.6,5.9,,,,,
Top 50 Composite,20,STRL,2026-02-12,CupHandle,431.43,60.2,4,68.6,77.9,23.4,67.7,6.0,,,,,
Top 50 Composite,21,WEST,2026-02-04,CupHandle,5.06,60.0,4,74.3,54.1,26.0,47.0,0.0,,,,,
Top 50 Composite,22,DVXP,2026-01-27,Spoon,25.04,59.5,4,70.4,67.3,50.0,37.6,27.9,,,,,
Top 50 Composite,23,HTCO,2026-01-23,CupHandle,9.10,58.6,4,75.6,43.6,43.2,22.1,13.7,,,,,
Top 50 Composite,24,GDEN,2026-02-04,CupHandle,27.67,58.3,4,66.3,71.9,45.8,22.9,0.0,,,,,
Top 50 Composite,25,SHLS,2026-02-04,CupHandle,10.18,58.3,4,71.6,52.6,33.9,54.0,0.0,,,,,
Top 50 Composite,26,VNET,2026-02-09,CupHandle,11.85,58.1,4,72.3,64.4,4.2,77.7,3.0,,,,,
Top 50 Composite,27,FSEA,2026-01-27,CupHandle,13.00,58.1,4,64.9,62.2,69.3,71.4,19.1,,,,,
Top 50 Composite,28,RUSHA,2026-01-30,CupHandle,64.19,57.8,4,73.8,63.1,2.6,41.9,0.0,,,,,
Top 50 Composite,29,VRTL,2026-02-06,CupHandle,68.76,57.6,4,65.4,63.8,50.0,84.4,10.0,,,,,
Top 50 Composite,30,CCEC,2026-02-12,CupHandle,21.76,57.3,4,60.2,72.8,71.4,92.4,18.9,,,,,
