Symbol,Exchange,Date,IC_5d,IC_10d,IC_20d,FFT_Freq,FFT_Power,FFT_Stability,Pattern_Score,Pattern_Age,Pattern_Type,Vol_20d,ATR_20d,Volume_ZScore,Volume_Ratio_5_20,RSI_14d,RSI_Slope,MACD_Hist,MA_Ratio_50_200,Price_vs_MA50,Kurtosis_20d,Skew_20d,Current_Price,Price_Change_5d,Price_Change_20d,Num_Signals,IC_Enabled_Count,Baseline_Score,ML_Score,Final_Score,Fundamental_Score
A,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,3.403745,0.0,1.059891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.975266,-2.316263,0,0,,,,50.0
AA,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.81674,0.0,0.758722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.274349,-12.040562,0,0,,,,50.0
AAM,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.02905,0.0,1.479978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093723,0.178555,0,0,,,,50.0
AAMI,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.474624,0.0,1.278163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.924021,20.646546,0,0,,,,50.0
AAP,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.254157,0.0,0.945514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.846722,8.745073,0,0,,,,50.0
AAPw,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.975233,0.0,1.302624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.624745,7.073272,0,0,,,,50.0
AAT,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.396465,0.0,1.042113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.878719,11.243243,0,0,,,,50.0
AAUC,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.50366,0.0,1.623081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.093595,-9.326922,0,0,,,,50.0
AApB,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.40675,0.0,1.080001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.465663,13.06792,0,0,,,,50.0
AB,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.728635,0.0,1.608294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.546095,3.356053,0,0,,,,50.0
ABBV,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,5.598371,0.0,1.140431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.461546,1.546726,0,0,,,,50.0
ABCB,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.7365,0.0,0.636574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046994,7.696205,0,0,,,,50.0
ABEV,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.07525,0.0,0.8205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34602,-3.010031,0,0,,,,50.0
ABG,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,7.096998,0.0,1.585051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.339495,-1.049124,0,0,,,,50.0
ABM,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.804675,0.0,0.876765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124655,4.122375,0,0,,,,50.0
ABR,NYSE,2026-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.229195,0.0,1.253559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.354394,5.066668,0,0,,,,50.0
