Symbol,Exchange,Date,IC_5d,IC_10d,IC_20d,FFT_Freq,FFT_Power,FFT_Stability,Pattern_Score,Pattern_Age,Pattern_Type,Vol_20d,ATR_20d,Volume_ZScore,Volume_Ratio_5_20,RSI_14d,RSI_Slope,MACD_Hist,MA_Ratio_50_200,Price_vs_MA50,Kurtosis_20d,Skew_20d,Current_Price,Price_Change_5d,Price_Change_20d,Num_Signals,IC_Enabled_Count,Baseline_Score,ML_Score,Final_Score,Fundamental_Score
A,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,3.425999,0.0,0.73654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1075,-11.548201,0,0,,,,50.0
AA,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.94737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.042012,-1.742331,0,0,,,,50.0
AAM,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.02905,0.0,1.479978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093723,0.178555,0,0,,,,50.0
AAMI,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.19225,0.0,0.924692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.499698,-1.588202,0,0,,,,50.0
AAP,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.470984,0.0,1.017767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.20357,-13.64773,0,0,,,,50.0
AAPB,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.181875,0.0,0.583826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.432685,-9.424154,0,0,,,,50.0
AAPW,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.85809,0.0,0.657903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.895007,-7.012888,0,0,,,,50.0
AAPw,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.84439,0.0,0.663407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.895007,-7.81252,0,0,,,,50.0
AAT,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.49425,0.0,0.809306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158976,0.158976,0,0,,,,50.0
AAUC,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.297005,0.0,1.012941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.273073,-0.894565,0,0,,,,50.0
AApB,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.18139,0.0,0.627771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.432685,-9.422903,0,0,,,,50.0
AB,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.09519,0.0,0.737777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.317176,-8.276202,0,0,,,,50.0
ABBV,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.0,0.0,0.895549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.492701,-8.07667,0,0,,,,50.0
ABCB,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,2.50437,0.0,0.92624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.902935,-10.008444,0,0,,,,50.0
ABEV,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,0.08899,0.0,1.134728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.439022,-9.090908,0,0,,,,50.0
ABG,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,7.326495,0.0,1.068275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.924959,-15.339817,0,0,,,,50.0
ABM,NYSE,2026-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,,0.0,1.439895,0.0,1.167807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.025597,-17.74512,0,0,,,,50.0
