List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50 Composite,1,ZEUS,2026-01-20,CupHandle,49.17,82.8,2,81.9,70.3,84.9,62.1,5.8,,,,,,,,,
Top 50 Composite,2,SHLS,2026-01-16,CupHandle,9.27,76.4,2,74.9,72.2,81.2,71.3,0.0,,,,,,,,,
Top 50 Composite,3,SPRX,2026-01-20,CupHandle,41.35,73.5,3,73.4,67.4,86.5,55.6,0.0,,,,,,,,,
Top 50 Composite,4,OPCH,2026-01-13,CupHandle,34.75,73.3,3,72.4,87.7,55.7,67.8,1.0,,,,,,,,,
Top 50 Composite,5,FIP,2026-01-20,CupHandle,5.66,73.2,3,68.8,89.8,79.2,63.1,4.0,,,,,,,,,
Top 50 Composite,6,FUSB,2026-01-13,CupHandle,14.00,72.9,3,78.3,70.4,59.9,68.2,19.6,,,,,,,,,
Top 50 Composite,7,COO,2026-01-12,CupHandle,83.23,72.8,3,72.4,74.3,77.1,58.5,0.0,,,,,,,,,
Top 50 Composite,8,OS,2026-01-06,CupHandle,23.61,70.9,3,71.0,66.0,100.0,31.4,4.1,,,,,,,,,
Top 50 Composite,9,SAMG,2026-01-05,CupHandle,15.67,70.1,3,73.4,70.9,75.0,45.0,13.4,,,,,,,,,
Top 50 Composite,10,MBCN,2026-01-16,CupHandle,35.04,70.0,3,73.6,74.0,68.8,54.9,17.0,,,,,,,,,
Top 50 Composite,11,SIBN,2026-01-07,CupHandle,21.40,70.0,3,81.1,50.3,46.4,46.5,0.0,,,,,,,,,
Top 50 Composite,12,RUSHB,2026-01-15,CupHandle,59.27,69.9,3,69.4,82.2,76.0,69.2,14.7,,,,,,,,,
Top 50 Composite,13,MEOH,2026-01-05,CupHandle,42.93,69.6,3,75.7,74.9,36.5,56.1,0.0,,,,,,,,,
Top 50 Composite,14,DXCM,2026-01-12,CupHandle,70.98,69.1,3,78.6,50.0,52.1,68.1,0.0,,,,,,,,,
Top 50 Composite,15,URNJ,2026-01-20,CupHandle,32.66,68.8,3,75.2,50.0,77.6,70.5,7.4,,,,,,,,,
Top 50 Composite,16,WERN,2026-01-14,CupHandle,33.09,68.2,3,69.2,71.2,70.3,76.9,0.0,,,,,,,,,
Top 50 Composite,17,EWBC,2026-01-15,CupHandle,115.77,68.0,3,68.6,71.4,67.2,95.9,0.0,,,,,,,,,
Top 50 Composite,18,MCHPP,2026-01-20,CupHandle,65.27,67.1,3,76.4,47.0,50.0,100.0,0.0,,,,,,,,,
Top 50 Composite,19,BOOM,2026-01-15,CupHandle,8.61,66.9,3,73.7,65.7,51.0,62.2,5.0,,,,,,-0.2%,,Industrials,⚠️
Top 50 Composite,20,DIOD,2026-01-15,CupHandle,57.47,66.7,3,72.7,61.6,59.9,59.0,0.0,,,,,,,,,
Top 50 Composite,21,QCLN,2026-01-15,CupHandle,49.34,66.6,3,65.8,65.4,100.0,52.2,0.0,,,,,,,,,
Top 50 Composite,22,GSM,2026-01-15,CupHandle,5.31,66.4,3,69.1,69.9,65.6,67.1,0.0,,,,,,,,,
Top 50 Composite,23,BKCH,2026-01-20,CupHandle,77.84,66.4,3,70.7,52.0,87.5,60.1,1.0,,,,,,,7.3,N/A,⚠️
Top 50 Composite,24,JOUT,2026-01-15,CupHandle,45.00,66.4,3,66.0,72.5,91.1,64.2,10.8,,,,,,,,,
Top 50 Composite,25,FVCB,2026-01-12,CupHandle,13.97,66.2,3,67.8,73.8,82.8,48.6,13.5,,,,,,,,,
Top 50 Composite,26,QTUM,2026-01-15,CupHandle,118.17,66.1,3,64.6,70.0,94.8,61.7,0.0,,,,,,,,,
Top 50 Composite,27,UPGR,2026-01-15,CupHandle,26.34,66.1,3,65.7,70.2,100.0,75.2,21.0,,,,,,,,,
Top 50 Composite,28,INTW,2026-01-09,CupHandle,64.35,66.1,3,80.6,35.8,50.0,75.9,10.1,,,,,,,,,
Top 50 Composite,29,PNTG,2026-01-14,CupHandle,28.82,66.0,3,70.8,70.7,50.5,67.7,0.0,,,,,,,,,
Top 50 Composite,30,ARDX,2026-01-02,CupHandle,6.15,65.9,3,77.2,72.6,9.9,52.8,1.0,,,,,,-36.2%,,Healthcare,⚠️
Top 50 Composite,31,CTSH,2026-01-15,CupHandle,84.82,65.6,3,67.6,73.6,61.5,77.0,0.0,,,,,,,,,
Top 50 Composite,32,BCPC,2026-01-15,Spoon,166.01,65.4,3,70.5,70.6,49.5,66.9,0.0,,,,,,12.1%,37.4,Basic Materials,⚠️
Top 50 Composite,33,CADL,2026-01-16,CupHandle,6.40,65.3,3,73.3,69.9,31.8,67.0,0.0,,,,,,-70.2%,,Healthcare,⚠️
Top 50 Composite,34,JRVR,2026-01-12,CupHandle,6.59,65.3,3,72.7,71.1,38.0,52.2,0.0,,,,,,,,,
Top 50 Composite,35,MOB,2026-01-20,CupHandle,7.90,65.2,3,65.1,74.0,81.8,53.5,0.0,,,,,,,,,
Top 50 Composite,36,GILT,2026-01-12,CupHandle,17.07,65.1,3,75.1,57.7,36.5,96.0,7.7,,,,,,,,,
Top 50 Composite,37,NVTS,2026-01-13,CupHandle,9.46,65.0,3,68.7,72.4,58.9,62.6,2.0,,,,,,,,,
Top 50 Composite,38,ICHR,2026-01-13,CupHandle,26.13,65.0,4,75.5,68.6,18.2,86.7,8.5,,,,,,,,,
Top 50 Composite,39,BBGI,2026-01-15,CupHandle,6.03,64.6,4,70.6,42.8,97.9,61.2,8.6,,,,,,-5.9%,,Communication Services,⚠️
Top 50 Composite,40,RYAAY,2026-01-06,CupHandle,71.57,64.5,4,63.6,74.1,83.9,65.8,0.0,,,,,,,,,
Top 50 Composite,41,APEI,2026-01-09,CupHandle,40.31,64.5,4,71.3,50.0,81.8,36.0,0.0,,,,,,11.2%,32.3,Consumer Defensive,⚠️
Top 50 Composite,42,SNPS,2026-01-05,CupHandle,494.19,64.3,4,76.8,48.0,42.2,55.2,0.0,,,,,,,,,
Top 50 Composite,43,SRTA,2026-01-13,CupHandle,5.40,64.2,4,70.9,64.5,50.0,65.8,0.0,,,,,,,,,
Top 50 Composite,44,RIOT,2026-01-16,CupHandle,19.24,64.1,4,71.4,42.5,79.2,81.4,2.0,,,,,,,,,
Top 50 Composite,45,DGICB,2026-01-20,CupHandle,17.38,64.0,4,73.0,51.9,83.3,30.5,21.4,,,,,,,,,
Top 50 Composite,46,ULCC,2026-01-16,CupHandle,5.27,64.0,4,73.2,61.8,41.1,56.5,0.0,,,,,,,,,
Top 50 Composite,47,ABEO,2026-01-15,CupHandle,5.45,63.6,4,69.5,51.4,81.2,52.9,0.0,,,,,,75.9%,4.2,Healthcare,⚠️
Top 50 Composite,48,PYZ,2026-01-20,CupHandle,126.01,63.4,4,75.5,62.4,44.8,50.6,27.0,,,,,,,,,
Top 50 Composite,49,HAS,2026-01-09,CupHandle,86.72,63.4,4,69.5,70.2,48.4,54.4,0.0,,,,,,,,,
Top 50 Composite,50,MDRR,2026-01-13,CupHandle,13.04,63.3,4,73.8,55.5,51.6,81.2,20.2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,DRCT,,,     1.72,,,,,,,,NASDAQ,3151.42,19039229,,,,,,
Top 20 Momentum,2,NVNO,,,    11.65,,,,,,,,NASDAQ,3137.01,399566,,,,,,
Top 20 Momentum,3,RVYL,,,     5.24,,,,,,,,NASDAQ,3066.16,555361,,,,,,
Top 20 Momentum,4,MLEC,,,     7.50,,,,,,,,NASDAQ,3021.10,1053468,,,,,,
Top 20 Momentum,5,BTOG,,,     4.63,,,,,,,,NASDAQ,2498.20,3444818,,,-319.9%,,Financial Services,⚠️
Top 20 Momentum,6,VINO,,,     2.00,,,,,,,,NASDAQ,2400.00,5589,,,,,,
Top 20 Momentum,7,OCG,,,     2.00,,,,,,,,NASDAQ,2225.58,148647044,,,,,,
Top 20 Momentum,8,VSME,,,     1.78,,,,,,,,NASDAQ,2173.31,1346068,,,,,,
