List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50 Composite,1,ESP,2026-01-09,CupHandle,47.32,65.1,3,78.6,50.0,48.4,54.7,20.2,,,,,,,,,
Top 50 Composite,2,BKTI,2026-01-12,CupHandle,82.99,64.4,4,67.1,72.1,71.4,68.4,11.0,,,,,,38.7%,23.1,Technology,⚠️
Top 50 Composite,3,SCCF,2026-01-13,CupHandle,23.49,60.8,4,67.4,56.1,75.5,86.3,19.4,,,,,,,,,
Top 50 Composite,4,LGCY,2026-01-08,CupHandle,10.31,55.8,4,68.6,35.1,80.7,37.5,12.2,,,,,,,,,
Top 50 Composite,5,UUUU,2026-01-14,CupHandle,20.91,55.0,4,57.3,66.6,82.3,64.3,0.2,,,,,,,,,
Top 50 Composite,6,UUU,2026-01-05,CupHandle,6.05,54.1,4,65.5,31.6,72.4,100.0,3.2,,,,,,,,,
Top 50 Composite,7,CNL,2026-01-12,CupHandle,15.23,47.9,4,71.4,34.9,8.9,55.3,10.3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,CANF,,,     4.00,,,,,,,,AMEX,1534.65,10826572,,,,,,⚠️
Top 20 Momentum,2,NBY,,,    14.77,,,,,,,,AMEX,172.01,1879217,,,,,,
Top 20 Momentum,3,MCRP,,,     2.14,,,,,,,,AMEX,65.89,229388,,,,,,
Top 20 Momentum,4,UMAC,,,    18.51,,,,,,,,AMEX,55.42,4526242,,,,,,
Top 20 Momentum,5,DDC,,,     3.51,,,,,,,,AMEX,52.61,90598,,,,,,
Top 20 Momentum,6,COHN,,,    22.60,,,,,,,,AMEX,45.81,84018,,,,,,
Top 20 Momentum,7,UUUU,,,    20.92,,,,,,,,AMEX,38.63,11643890,,,,,,
Top 20 Momentum,8,WWR,,,     1.19,,,,,,,,AMEX,37.89,3095696,,,,,,
Top 20 Momentum,9,DNN,,,     3.69,,,,,,,,AMEX,33.21,42497629,,,,,,
Top 20 Momentum,10,LSF,,,     3.34,,,,,,,,AMEX,32.02,173835,,,,,,
Top 20 Momentum,11,MAIA,,,     1.74,,,,,,,,AMEX,30.83,660875,,,,,,
Top 20 Momentum,12,URG,,,     1.86,,,,,,,,AMEX,30.07,8927131,,,,,,
Top 20 Momentum,13,GORO,,,     1.20,,,,,,,,AMEX,28.34,2207432,,,,,,
Top 20 Momentum,14,ELLO,,,    27.72,,,,,,,,AMEX,27.22,3864,,,,,,
Top 20 Momentum,15,GRO,,,     2.50,,,,,,,,AMEX,26.90,314056,,,,,,
Top 20 Momentum,16,SVM,,,    11.31,,,,,,,,AMEX,26.79,5542091,,,,,,
Top 20 Momentum,17,MPTI,,,    64.61,,,,,,,,AMEX,25.63,48099,,,,,,
Top 20 Momentum,18,SENS,,,     7.76,,,,,,,,AMEX,23.57,480250,,,,,,
Top 20 Momentum,19,GTE,,,     4.92,,,,,,,,AMEX,22.69,510148,,,,,,
Top 20 Momentum,20,PHGE,,,     2.68,,,,,,,,AMEX,22.37,45400,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Top 20 Volume,1,BMNR,,,    31.16,,,,,,,,AMEX,,,  1362097014,-3.62,-86.3%,,Financial Services,⚠️
Top 20 Volume,2,LEU,,,   306.10,,,,,,,,AMEX,,,    363191859,-1.86,,,,
Top 20 Volume,3,UUUU,,,    20.92,,,,,,,,AMEX,,,    296748422,14.07,,,,
Top 20 Volume,4,DNN,,,     3.69,,,,,,,,AMEX,,,    187340486,12.50,,,,
Top 20 Volume,5,BTG,,,     4.68,,,,,,,,AMEX,,,    181875667,3.31,7.2%,32.6,Basic Materials,⚠️
Top 20 Volume,6,NGD,,,    11.06,,,,,,,,AMEX,,,    177415104,16.18,,,,
Top 20 Volume,7,EQX,,,    14.24,,,,,,,,AMEX,,,    123482120,-1.79,,,,
Top 20 Volume,8,UMAC,,,    18.51,,,,,,,,AMEX,,,     99611834,15.69,,,,
Top 20 Volume,9,IMO,,,    97.98,,,,,,,,AMEX,,,     83829815,11.84,,,,
Top 20 Volume,10,AAP,,,    42.72,,,,,,,,AMEX,,,     76974840,3.29,-23.9%,,Consumer Cyclical,⚠️
Top 20 Volume,11,SEB,,,  4695.52,,,,,,,,AMEX,,,     67561229,2.69,,,,
Top 20 Volume,12,SVM,,,    11.31,,,,,,,,AMEX,,,     62926165,22.27,,,,
Top 20 Volume,13,FLYX,,,     3.42,,,,,,,,AMEX,,,     50617175,-3.12,,,,
Top 20 Volume,14,USAS,,,     6.48,,,,,,,,AMEX,,,     46904781,22.03,,,,
Top 20 Volume,15,VZLA,,,     6.16,,,,,,,,AMEX,,,     46214762,4.41,,,,
Top 20 Volume,16,NBY,,,    14.77,,,,,,,,AMEX,,,     40755343,99.86,,,,
Top 20 Volume,17,ASM,,,     7.04,,,,,,,,AMEX,,,     37434548,9.66,14.3%,67.6,Basic Materials,⚠️
Top 20 Volume,18,IE,,,    17.50,,,,,,,,AMEX,,,     33525522,3.24,,,,
Top 20 Volume,19,ORLA,,,    14.73,,,,,,,,AMEX,,,     25944947,4.03,,,,
Top 20 Volume,20,IDR,,,    44.36,,,,,,,,AMEX,,,     24408292,-7.41,,,,
