List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %
Top 50 Composite,49,CGEM,2026-04-02,CupHandle,14.43,67.2,1,67.5,67.1,63.0,37.4,0.0,,,,,
Top 50 Composite,50,JAZZ,2026-04-06,CupHandle,186.85,66.9,1,65.0,68.0,58.3,59.0,2.9,,,,,
,,,,,,,,,,,,,,,,,
Top 20 Momentum,1,VIVK,,,%  $     2.6,,,,,,,,NASDAQ_Yah,oo  22270.69,0      1548193,,
Top 20 Momentum,2,ENZN,,,%  $     6.0,,,,,,,,NASDAQ_Yah,oo   8855.22,0        173311,,
Top 20 Momentum,3,JTAI,,,%  $     6.0,,,,,,,,NASDAQ_Yah,oo   6021.21,6     34484469,,
Top 20 Momentum,4,SKYQ,,,%  $    12.5,,,,,,,,NASDAQ_Yah,oo   3505.38,9     18004511,,
Top 20 Momentum,5,ADV,,,%  $    26.5,,,,,,,,NASDAQ_Yah,oo   3495.29,8        526653,,
Top 20 Momentum,6,BCAB,,,%  $     4.4,,,,,,,,NASDAQ_Yah,oo   2554.76,6        990343,,
Top 20 Momentum,7,ATXG,,,%  $     7.0,,,,,,,,NASDAQ_Yah,oo   2496.30,1      2850583,,
Top 20 Momentum,8,MODD,,,%  $     4.9,,,,,,,,NASDAQ_Yah,oo   2091.96,1        694885,,
Top 20 Momentum,9,ZJYL,,,%  $     2.3,,,,,,,,NASDAQ_Yah,oo   1887.95,1         85870,,
Top 20 Momentum,10,YYGH,,,%  $     1.4,,,,,,,,NASDAQ_Yah,oo   1825.63,5     51698626,,
Top 20 Momentum,11,KXIN,,,%  $     6.2,,,,,,,,NASDAQ_Yah,oo   1650.28,8         35211,,
Top 20 Momentum,12,EJH,,,%  $     1.8,,,,,,,,NASDAQ_Yah,oo   1602.83,0      1373793,,
Top 20 Momentum,13,XLO,,,%  $     8.5,,,,,,,,NASDAQ_Yah,oo   1564.38,1        107254,,
Top 20 Momentum,14,PSTV,,,%  $     4.8,,,,,,,,NASDAQ_Yah,oo   1528.78,0      4776120,,
