List,Rank,Symbol,Date,Pattern,Price,Composite Score,Tier,Pattern Score,Momentum,Volatility,Volume,Risk,Exchange,Momentum %,Avg Volume,Dollar Volume,Momentum 5d %,ROE,P/E Ratio,Sector,Fund Quality
Top 50 Composite,1,GEV,2026-01-16,CupHandle,681.55,80.3,2,72.9,86.2,97.4,60.2,0.0,,,,,,,,,
Top 50 Composite,2,BAP,2026-01-13,CupHandle,311.50,78.8,2,74.6,82.8,87.5,62.1,4.8,,,,,,18.5%,15.5,Financial Services,✅
Top 50 Composite,3,BDX,2026-01-05,CupHandle,198.96,73.8,3,71.0,88.7,71.9,46.1,0.0,,,,,,6.5%,34.7,Healthcare,⚠️
Top 50 Composite,4,BCPC,2026-01-15,Spoon,166.01,73.3,3,74.2,82.7,56.8,49.9,0.0,,,,,,12.1%,37.4,Basic Materials,⚠️
Top 50 Composite,5,CNM,2026-01-15,CupHandle,57.86,73.2,3,76.2,69.0,66.1,48.1,0.0,,,,,,,,,
Top 50 Composite,6,JKS,2026-01-12,CupHandle,29.18,73.1,3,74.6,65.1,72.4,83.1,0.0,,,,,,,,,
Top 50 Composite,7,LTM,2026-01-13,CupHandle,58.47,71.9,3,75.5,71.2,52.6,71.6,0.0,,,,,,,,,
Top 50 Composite,8,AVNT,2026-01-15,CupHandle,36.00,71.3,3,73.5,74.0,64.6,53.5,2.1,,,,,,4.8%,29.7,Basic Materials,⚠️
Top 50 Composite,9,OOMA,2026-01-13,CupHandle,12.12,69.9,3,71.7,57.7,91.7,59.4,0.0,,,,,,,,,
Top 50 Composite,10,BTU,2026-01-09,CupHandle,33.80,69.3,3,70.9,82.2,51.0,64.9,0.0,,,,,,-0.4%,,Energy,⚠️
Top 50 Composite,11,FFWM,2026-01-08,CupHandle,6.31,68.8,3,71.8,64.5,79.7,38.3,0.0,,,,,,,,,
Top 50 Composite,12,SEI,2026-01-15,CupHandle,55.40,68.8,3,73.5,50.0,85.9,59.5,0.0,,,,,,,,,
Top 50 Composite,13,TPVG,2025-12-31,CupHandle,6.54,68.8,3,68.7,69.7,91.7,36.0,0.0,,,,,,,,,
Top 50 Composite,14,HLIO,2026-01-06,CupHandle,59.46,68.5,3,72.1,71.0,60.4,57.6,1.5,,,,,,,,,
Top 50 Composite,15,ALSN,2026-01-15,CupHandle,111.55,68.4,3,73.2,66.9,58.9,56.0,0.0,,,,,,40.4%,13.5,Consumer Cyclical,⚠️
Top 50 Composite,16,AIN,2026-01-08,CupHandle,55.24,68.2,3,76.0,50.0,72.4,38.2,0.0,,,,,,-6.1%,,Consumer Cyclical,⚠️
Top 50 Composite,17,IONQ,2026-01-16,CupHandle,50.80,68.1,3,65.0,88.2,75.5,55.1,0.0,,,,,,,,,
Top 50 Composite,18,AVNS,2026-01-15,CupHandle,12.34,68.1,3,69.7,71.2,73.4,52.9,0.0,,,,,,-46.7%,,Healthcare,⚠️
Top 50 Composite,19,BALL,2026-01-06,CupHandle,54.30,67.9,3,73.2,66.3,63.0,35.0,0.0,,,,,,11.7%,22.1,Consumer Cyclical,⚠️
Top 50 Composite,20,SMFG,2026-01-09,CupHandle,20.20,67.8,3,72.3,66.9,60.9,56.7,0.0,,,,,,,,,
Top 50 Composite,21,JBTM,2026-01-07,CupHandle,158.31,67.4,3,65.3,84.0,77.1,53.2,0.0,,,,,,,,,
Top 50 Composite,22,GFI,2026-01-15,CupHandle,49.84,67.3,3,72.1,67.3,57.8,60.1,0.0,,,,,,,,,
Top 50 Composite,23,GBCI,2026-01-15,CupHandle,48.39,66.2,3,67.6,84.1,55.2,52.4,0.0,,,,,,,,,
Top 50 Composite,24,SNDR,2026-01-06,CupHandle,28.56,66.0,3,66.6,70.8,85.4,42.3,0.0,,,,,,,,,
Top 50 Composite,25,BWXT,2026-01-15,CupHandle,213.25,66.0,3,65.4,74.7,82.8,71.6,6.2,,,,,,26.7%,61.7,Industrials,⚠️
Top 50 Composite,26,BFH,2026-01-06,CupHandle,80.26,65.8,3,73.0,73.7,23.4,92.3,1.0,,,,,,16.3%,7.4,Financial Services,✅
Top 50 Composite,27,HUN,2026-01-16,CupHandle,11.91,65.7,3,69.1,74.2,56.8,58.6,0.0,,,,,,,,,
Top 50 Composite,28,MC,2026-01-16,CupHandle,77.52,65.3,3,70.8,63.1,64.1,49.6,0.0,,,,,,,,,
Top 50 Composite,29,AMBQ,2026-01-13,CupHandle,32.88,65.3,3,75.6,49.6,50.0,66.2,0.0,,,,,,,,Technology,⚠️
